Question	Which object has a gravitational force so strong that it forms the center of the solar system?	question
Answer	the Sun	answer
0	the Sun is a kind of star	gold
1	a star is a kind of celestial object; celestial body	gold
2	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	gold
3	the sun is the strongest source of gravity in the solar system	gold
4	the solar system is a kind of system	nongold
5	gravity is a kind of force	nongold
6	gravity;gravitational force causes objects that have mass; substances to be pulled down; to fall on a planet	nongold
7	form means kind	nongold
8	strong means high in strength	nongold
9	a planet is a kind of celestial object; body	nongold
10	our Sun is located at the center of our solar system	gold
11	the Earth revolves around the sun	nongold
12	Earth is a kind of planet	nongold
13	the solar system contains the moon	nongold
14	setting is a kind of motion	nongold
15	planets in the solar system orbit the Sun	nongold
16	weak means low in strength	nongold
17	state means form	nongold
18	system means a set of objects	nongold
19	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
20	the sun rises in the east	nongold
21	a force is a kind of push or pull on an object	nongold
22	the sun is a source of light; light energy called sunlight	nongold
23	the solar system contains eight planets	nongold
24	sunlight is a kind of solar energy	nongold
25	a pull is a kind of force	nongold
26	the Sun is the  star that is closest to Earth	nongold
27	the sun sets in the west	nongold
28	a body system is a kind of object	nongold
29	the sun is a kind of yellow dwarf	nongold
30	gravitational fore is a kind of non-contact force	nongold
31	the gravitational force of a planet; of a celestial object does not change the mass of an object on that planet or celestial body	nongold
32	high is similar to increase	nongold
33	the sun is  the largest celestial body in our solar system	nongold
34	revolving  around something means orbiting that something	nongold
35	the mass of an object causes the gravitational force exerted by that object	nongold
36	a moon is a kind of celestial object; body	nongold
37	to be made of something means to be formed of that something	nongold
38	as mass of a planet; of a celestial body increases , the force of gravity on that planet will increase	nongold
39	strength is a property of an object; a material	nongold
40	the sun is a source of radiation; heat called sunlight	nongold
41	sunlight is a kind of light	nongold
42	Neptune is a kind of planet in the solar system	nongold
43	solar energy is a kind of light	nongold
44	can be means able to be	nongold
45	force requires energy	nongold
46	increase means more	nongold
47	extreme means very high in value	nongold
48	an object is made of its parts	nongold
49	the sun setting is a kind of event	nongold
50	to give off means to be the source of	nongold
51	answering questions requires information	nongold
52	gravity pulls objects towards planets	nongold
53	to make means to form	nongold
54	a living thing is a kind of object	nongold
55	the sun is not a star in the night sky	nongold
56	a motion is a kind of event; action	nongold
57	objects are made of materials; substances; matter	nongold
58	an event is a kind of action	nongold
59	a star is a source of light; light energy through nuclear reactions	nongold
60	intense means extreme	nongold
61	revolving is a kind of motion	nongold
62	the sun rising is a kind of event	nongold
63	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
64	particles in objects are a kind of matter	nongold
65	exerting force on an object means a force acts on an object	nongold
66	solar energy is a kind of energy	nongold
67	if it is night then the sun has set	nongold
68	a component of something means a part of that something	nongold
69	the sun rising; setting occurs once per day	nongold
70	sunlight means solar energy	nongold
71	a component means a part of	nongold
72	as the mass of a planet; of a celestial object decreases , the surface gravity of that planet; of that celestial object weakens	nongold
73	a star produces light and heat	nongold
74	to give is similar to to cause	nongold
75	weaker is the opposite of stronger	nongold
76	to be a source of something means to cause that something	nongold
77	gravity causes orbits	nongold
78	an part of an object is smaller than the entire object	nongold
79	pulling is a kind of motion	nongold
80	the sun is the source of solar energy called sunlight	nongold
81	to change into means to form	nongold
82	solar energy is a kind of heat energy	nongold
83	stars are some of the hottest objects	nongold
84	a source of something emits; produces; generates; provides that something	nongold
85	an increase is a kind of change	nongold
86	to form means to create	nongold
87	a whole is formed by its parts	nongold
88	magnetism is a kind of force	nongold
89	breaking down is a kind of forming	nongold
90	to add means to increase	nongold
91	to increase is similar to to create	nongold
92	where something  comes from is a source of that something	nongold
93	rising is a kind of motion	nongold
94	to cause means to have an effect	nongold
95	composed of means made of	nongold
96	additional force is similar to outside force	nongold
97	to cause the formation of means to form	nongold
98	if something weakens , then that something is weaker	nongold
99	if something comes from something else then that something else is a source of that something	nongold
