Question	A student is playing with a small toy boat on a pond. The student throws a rock in the pond. This creates waves that move the boat toward the shore. The boat moves toward the shore because the waves transfer	question
Answer	energy.	answer
0	a pond is a kind of body of water	nongold
1	a toy boat is a kind of object	gold
2	to move toward means to move nearer	nongold
3	motion; movement means moving; to move	nongold
4	waves are made of moving water	nongold
5	a rock is a kind of object	nongold
6	an aquatic animal is a kind of animal	nongold
7	a student is a kind of human	nongold
8	a pond is smaller; shallower than a lake	nongold
9	a shore is the land found at the edge of a body of water	nongold
10	a pond is a kind of environment	nongold
11	a wave is a kind of object	nongold
12	all waves transfer; transmit energy from one place to another	gold
13	convert is similar to transfer	nongold
14	a human is a kind of animal	nongold
15	motion is when moves an object; something to a direction	nongold
16	if something transfers something else then that something is a source of something else	nongold
17	a lake is a kind of body of water	nongold
18	a source of something emits; produces; generates; provides that something	nongold
19	toward is a kind of direction	nongold
20	a motion is a kind of event; action	nongold
21	an animal is a kind of living thing	nongold
22	to conduct is similar to to transfer	nongold
23	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
24	distance moved; distance travelled is a measure of how far an object moves	nongold
25	an animal requires energy to move	nongold
26	An example of playing with toys is jumping to catch a ball	nongold
27	moving is similar to travelling	nongold
28	a living thing is a kind of object	nongold
29	aquatic animal means water animal	nongold
30	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
31	transfer is a kind of change	nongold
32	motion is a source of kinetic energy in an object	nongold
33	a landform is a kind of object	nongold
34	a boat is similar to a ship	nongold
35	an ocean contains waves	nongold
36	to send means to transfer	nongold
37	water is a kind of object	nongold
38	as distance from an object decreases , the the pull of gravity on that object increases	nongold
39	producing thrust causes something; an animal; an object to move	nongold
40	ocean wave is a kind of wave	nongold
41	water is a kind of matter	nongold
42	a rock is usually a solid	nongold
43	changes potential energy into kinetic energy through motion	nongold
44	absorbing energy causes objects; materials; substances to heat	nongold
45	waves travel outward from the source	nongold
46	an ocean is a kind of body of water	nongold
47	a surface is a part of an object	nongold
48	person is synonymous with human	nongold
49	moving away from the source increases the distance	nongold
50	pulling is a kind of motion	nongold
51	waves can travel through matter	nongold
52	a person is a kind of animal	nongold
53	creating is similar to causing	nongold
54	swimming is when humans; animals can move in water	nongold
55	towards means closer to something	nongold
56	a body of water is a kind of environment	nongold
57	toward is the opposite of away	nongold
58	as the distance from an object increases , the force of gravity on that object will decrease	nongold
59	dropping an object into water causes vibrations in the water	nongold
60	moving changes potential energy; stored energy into kinetic energy and heat energy	nongold
61	playing with toys is a learned characteristic	nongold
62	if something transfers energy to something else then that something else absorbs that energy	nongold
63	an increase is a kind of change	nongold
64	An example of an object with kinetic energy is an object in motion	nongold
65	wave motion is transferred from the source to matter to produce sound	nongold
66	creating means making	nongold
67	gravitational potential energy is a kind of potential energy	nongold
68	objects are made of materials; substances; matter	nongold
69	to create means to make	nongold
70	absorbance is when a wave absorbs at; stops at a surface	nongold
71	to convert means to change	nongold
72	an animal is a kind of organism	nongold
73	movement is a kind of change	nongold
74	force causes the speed of an object to increase; to decrease	nongold
75	the wind causes the surface of the water to change its direction toward the direction of the wind	nongold
76	far means great in distance	nongold
77	light is a kind of wave	nongold
78	sound waves transfer energy	nongold
79	as an object moves faster , the kinetic energy of that object will increase	nongold
80	to increase is similar to to create	nongold
81	heat is a kind of energy	nongold
82	sliding is a kind of motion	nongold
83	hitting is a kind of motion	nongold
84	attract means move closer	nongold
85	light is a kind of energy	nongold
86	light is a kind of energy	nongold
87	travel means to move	nongold
88	transfer is a kind of process	nongold
89	high is similar to increase	nongold
90	a surface is a kind of object	nongold
91	water is a kind of substance	nongold
92	an event is a kind of action	nongold
93	magnetism is a kind of energy	nongold
94	waves contain mechanical energy	gold
95	transferring is moving from one place to another place	nongold
96	to produce means to create	nongold
97	kinetic energy is a kind of mechanical energy	nongold
98	a force acting on an object in the opposite direction that the object is moving can cause that object's speed to decrease in a forward motion	nongold
99	to move away means to increase distance	nongold
