Question	What would most likely be measure during an investigation of the water cycle?	question
Answer	precipitation amounts	answer
0	rainfall means the amount of precipitation	nongold
1	rain is a kind of precipitation	nongold
2	rainfall means precipitation	nongold
3	precipitation is a stage in the water cycle process	gold
4	precipitation is a kind of natural occurrence; cause	nongold
5	precipitation is a kind of weather	nongold
6	investigating sometimes requires measuring	gold
7	In the water cycle , precipitation always follows transportation	nongold
8	investigating a stage of something means investigating that something	gold
9	investigation sometimes requires experimentation	nongold
10	precipitation is when water falls from the sky	gold
11	precipitation is when rain;snow;hail fall from clouds to the Earth;ground	nongold
12	rain is a kind of water	nongold
13	precipitation is a kind of  natural process	nongold
14	measures of length; measures of distance are used to measure the amount of rainfall	nongold
15	precipitation is a property of weather	nongold
16	rainfall is the amount of rain an area receives	nongold
17	In the water cycle , runoff can follow precipitation	nongold
18	snow is a kind of precipitation	nongold
19	investigating requires gathering information	nongold
20	rain is a source of water	nongold
21	amount of water in a body of water increases by storms; rain; glaciers melting; snow melting; ice melting	nongold
22	In the water cycle , collection as snow; collection as ice can follow precipitation	nongold
23	average amount of precipitation is a property of climate	nongold
24	examining sometimes requires measuring	nongold
25	In the water cycle , precipitation can follow condensation	nongold
26	clouds produce precipitation	nongold
27	investigating is a kind of process	nongold
28	a storm is a source of precipitation	nongold
29	storms;rain cause bodies of water to increase amount of water they contain	nongold
30	studying is similar to investigating	nongold
31	rain; snow falls	nongold
32	investigating the life cycle of a living thing requires that living thing to be alive	nongold
33	runoff is a stage in the water cycle process	nongold
34	snowfall means the amount of precipitation in snow form	nongold
35	hail is a kind of precipitation; ice	nongold
36	In the water cycle , melting snow; melting ice always follows collection as snow; collection as ice	nongold
37	as the amount of rainfall increases in an area , the amount of available water in that area will increase	nongold
38	quantity means amount	nongold
39	An example of a physical cycle is the water cycle	nongold
40	a cycle is a kind of process	nongold
41	In the water cycle , runoff always follows collection as snow; collection as ice	nongold
42	measuring sometimes requires  recording; learning an amount	gold
43	low pressure systems cause precipitation	nongold
44	answering questions requires information	nongold
45	making a valid conclusion in an investigation requires collecting relevant evidence	nongold
46	determining often requires measuring; observing	nongold
47	water vapor condensing in clouds causes rain	nongold
48	examining is a kind of process	nongold
49	lack of moisture in the air causes low amounts of rainfall	nongold
50	period is similar to amount of time	nongold
51	sleet is a kind of precipitation	nongold
52	water is a kind of substance	nongold
53	An example of a change in climate is  the average amount of annual precipitation decreases	nongold
54	an event is a kind of action	nongold
55	runoff is a kind of water	nongold
56	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
57	rainwater is a kind of water	nongold
58	rainstorm means rain storm	nongold
59	often is similar to likely	nongold
60	greatest means largest; highest; most amount of something	nongold
61	measuring is a kind of observing	nongold
62	increase means more	nongold
63	inspect; observe means examine	nongold
64	annual means once per year	nongold
65	making a valid conclusion in an investigation requires a testable hypothesis	nongold
66	high is similar to increase	nongold
67	as the size of a cloud increases , the amount  of precipitation contained in that cloud will increase	nongold
68	a cycle happens; occurs repeatedly	nongold
69	clouds produce rain	nongold
70	clouds are made of water vapor; rain droplets	nongold
71	a measurement is a kind of data	nongold
72	rain causes erosion	nongold
73	water is a part of an environment	nongold
74	storm is a kind of weather; weather event	nongold
75	a source of something increases the amount of that something	nongold
76	an area receiving rain means rain falling in that area	nongold
77	raining is when rain falls from clouds to the Earth;ground as a liquid	nongold
78	a body of water is a kind of environment	nongold
79	less means a reduced amount	nongold
80	recording an observation sometimes requires measuring	nongold
81	amount is similar to number	nongold
82	to report means to show	nongold
83	if the amount of; quantity of something stops decreasing then the amount of; quantity of that something may  increase	nongold
84	a process is a kind of event	nongold
85	most means over 50% of something	nongold
86	water is a kind of natural resource	nongold
87	water is a kind of natural resource	nongold
88	an increase is a kind of change	nongold
89	lakes are formed by precipitation and runoff	nongold
90	a part of a process means a stage in a process	nongold
91	drought is when amount of precipitation decreases	nongold
92	a body of water is a source of water	nongold
93	experimentation requires measuring	nongold
94	largest amount means most	nongold
95	In the water cycle , collection in bodies of water can follow runoff	nongold
96	a cloud is a kind of weather	nongold
97	an increase is the opposite of a decrease	nongold
98	water is a kind of water phase	nongold
99	water is a kind of object	nongold
