Question	Which tool is used to measure the volume of a liquid?	question
Answer	graduated cylinder	answer
0	a graduated cylinder is used to measure volume of a liquid; of an object	gold
1	a graduated cylinder is a kind of instrument for measuring volume of liquids or objects	gold
2	a graduated cylinder is a kind of container	nongold
3	instrument means tool	gold
4	a rain gauge is a kind of graduated cylinder	nongold
5	device means tool	nongold
6	density is a measure of mass of an object over volume; divided by volume	nongold
7	a tool is a kind of object	nongold
8	Matter in the gas phase has variable volume	nongold
9	temperature is a measure of heat energy	nongold
10	a liquid is a kind of substance	nongold
11	volume is a property of matter	nongold
12	Matter in the liquid phase has definite volume	nongold
13	a liquid is a kind of fluid	nongold
14	liquid is a kind of state of matter	nongold
15	Matter in the solid phase has definite volume	nongold
16	particles in objects are a kind of matter	nongold
17	instrument means device	nongold
18	milliliters is a kind of unit for measuring volume of liquids	nongold
19	mass is a measure of the amount of matter in an object	nongold
20	measuring is used for describing an object	nongold
21	measuring requires reading a measurement	nongold
22	size; amount of space means volume	nongold
23	a meter is a kind of unit for measuring distance; measuring length	nongold
24	a device is a kind of object	nongold
25	the function of something is what that something  is used to do	nongold
26	property is similar to measurement	nongold
27	a measuring cup is a kind of tool for measuring the volume of substances	nongold
28	an instrument is a piece of equipment	nongold
29	if an object is placed in a liquid , then the  increased volume of the liquid will be equal to the volume of that object	nongold
30	substances are made of matter	nongold
31	temperature is a measure of kinetic energy of molecules	nongold
32	answering questions requires information	nongold
33	seconds are used to measure time	nongold
34	solid is a kind of state of matter	nongold
35	gas is a kind of state of matter	nongold
36	material means substance	nongold
37	a living thing is a kind of object	nongold
38	matter; materials; substances are made of atoms; particles	nongold
39	water is a kind of matter	nongold
40	liters are a kind of unit for measuring volume of liquids	nongold
41	a measuring cup is used for measuring the volume of substances	nongold
42	quantity means amount	nongold
43	water is a kind of liquid at room temperature	nongold
44	a solid is a kind of substance	nongold
45	a container contains objects; material; substances	nongold
46	seconds are a kind of unit for measuring time	nongold
47	density is a property of an object; a substance and includes ordered values of dense; not dense	nongold
48	an part of an object is smaller than the entire object	nongold
49	density is a kind of physical property	nongold
50	objects are made of materials; substances; matter	nongold
51	gas is a kind of substance	nongold
52	length is a measure of distance from one end of an object to the other end of that object	nongold
53	calculation means measurement	nongold
54	a simple machine is a kind of tool	nongold
55	volume has no impact on boiling; melting; freezing point	nongold
56	variable means able to change	nongold
57	when a flexible container is filled with a substance , then the volume of the container will be the volume of the substance	nongold
58	boiling means the volume of a liquid decreases	nongold
59	air mass means a volume of air	nongold
60	high is similar to increase	nongold
61	water is a kind of substance	nongold
62	a particle is a kind of object	nongold
63	water is a kind of object	nongold
64	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	nongold
65	moisture means liquid; liquid water	nongold
66	a machine is a kind of  device	nongold
67	speed is a measure of how fast an object is moving	nongold
68	gas is a kind of object	nongold
69	centimeters ( cm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 250.0	nongold
70	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
71	can be means able to be	nongold
72	a balance is used for measuring mass;weight of an object; of a substance	nongold
73	temperature changing can cause volume of the object to change	nongold
74	if an object has a small volume and large mass , then the object will  have a high density	nongold
75	length is a part of size	nongold
76	the volume of an object can be used to describe  the size of that object	nongold
77	gas is a kind of material	nongold
78	seconds ( s; sec ) are a  metric unit used for measuring time generally used for values between 1.0 and 300.0	nongold
79	heat means heat energy	nongold
80	liters ( L ) is a metric unit used for measuring volume generally used for values between 1.0 and 50000000.0	nongold
81	a container is a kind of object	nongold
82	phase means state	nongold
83	particles in a liquid flows past each other	nongold
84	a measure of time is a length of time	nongold
85	particles in a liquid are close to each other	nongold
86	a surface is a part of a material	nongold
87	a balance is a kind of instrument for measuring mass; measuring weight	nongold
88	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
89	the volume of a liquid displaced is similar to the volume of a liquid increased	nongold
90	increase means more	nongold
91	rate is similar to speed	nongold
92	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
93	to add means to increase	nongold
94	to measure means to calculate	nongold
95	denser means more dense	nongold
96	a surface is a part of an object	nongold
97	a component of something means a part of that something	nongold
98	a ratio is a measure of one measure over another measure; divided by another measure	nongold
99	a centimeter is used for measuring short lengths; short distances	nongold
