Question	The measure of the amount of light received on Earth from a star is known as	question
Answer	apparent magnitude.	answer
0	apparent magnitude is a measure of the brightness of a celestial object; celestial body as observed on Earth	gold
1	a star is a kind of celestial object; celestial body	gold
2	a star is a source of light; light energy through nuclear reactions	nongold
3	the Sun is a kind of star	nongold
4	appear is similar to apparent	nongold
5	obtain is similar to receive	nongold
6	a star produces light and heat	nongold
7	Earth is a kind of planet	gold
8	receive means get	nongold
9	astronomy is the study of celestial (objects, bodies)	nongold
10	sunlight is a kind of light	nongold
11	a star requires energy	nongold
12	if something is passed down to something else then that something else receives that something	nongold
13	the sun is a kind of yellow dwarf	nongold
14	light years ( ly ) are a  astronomy unit used for measuring length; distance generally used for values between 1.0 and 27000000000.0	nongold
15	an object; material; substance comes from that object or material's source	nongold
16	the sun is a source of light; light energy called sunlight	nongold
17	if something comes from something else then that something else is a source of that something	nongold
18	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
19	stars are located light years apart from each other	nongold
20	a source of something increases the amount of that something	nongold
21	taking in something means receiving; absorbing; getting something	nongold
22	a type is synonymous with a kind	nongold
23	where something  comes from is a source of that something	nongold
24	answering questions requires information	nongold
25	a measurement is a kind of data	nongold
26	astronomical unit is a measure of distance between Earth and the Sun	nongold
27	period is similar to amount of time	nongold
28	amount is similar to number	nongold
29	high is similar to increase	nongold
30	a white dwarf is a kind of star	nongold
31	receiving sunlight  is synonymous with absorbing sunlight	nongold
32	quantity means amount	nongold
33	can be means able to be	nongold
34	a star is formed by collapsing clouds of gas and dust	nongold
35	when sunlight strikes something , that something receives sunlight	nongold
36	a star is made of gases	nongold
37	a source of something emits; produces; generates; provides that something	nongold
38	a yellow dwarf is a kind of main-sequence star	nongold
39	stars are some of the hottest objects	nongold
40	light means light energy	nongold
41	light is a kind of electromagnetic radiation	nongold
42	the Sun transmits light to earth through space	nongold
43	intensity of sunlight is similar to amount of sunlight	nongold
44	Proxima Centauri is a kind of star	nongold
45	a ratio is a measure of  one value divided by another value	nongold
46	a ratio is a measure of one measure over another measure; divided by another measure	nongold
47	an event is a kind of action	nongold
48	to measure means to calculate	nongold
49	the sun is a source of radiation; heat called sunlight	nongold
50	the Sun is the  star that is closest to Earth	nongold
51	if something transfers something else then that something is a source of something else	nongold
52	higher means greater; above in value; amount; number	nongold
53	main-sequences stars are a kind of star	nongold
54	if something requires something else then that something requires a source of that something else	nongold
55	greater means higher; more in value	nongold
56	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
57	apparent motion  is when  an object appears to move relative to another object's perspective; another object's position	nongold
58	greatest means largest; highest; most amount of something	nongold
59	to send means to transfer	nongold
60	an increase is a kind of change	nongold
61	a star is very hot in temperature	nongold
62	seconds ( s; sec ) are a  metric unit used for measuring time generally used for values between 1.0 and 300.0	nongold
63	if something is transported to something else then that something else receives that something	nongold
64	light is a kind of energy	nongold
65	light is a kind of energy	nongold
66	a component of something means a part of that something	nongold
67	to give is similar to to cause	nongold
68	seconds are a kind of unit for measuring time	nongold
69	seconds are used to measure time	nongold
70	increase means more	nongold
71	a component means a part of	nongold
72	a measure of time is a length of time	nongold
73	property is similar to measurement	nongold
74	less is similar to decrease	nongold
75	if something emits something else then that something increases the amount of that something else	nongold
76	yellow dwarf is a kind of small star	nongold
77	if an object is a source of something for something else then that something else can obtain that something from that object	nongold
78	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
79	if something gains something from something else then that something else is a source of that something	nongold
80	to be used for something means to be required by that something	nongold
81	stars make their own light	nongold
82	variable means able to change	nongold
83	one can get something from a source	nongold
84	an increase is the opposite of a decrease	nongold
85	astronomy is a kind of branch of science	nongold
86	how long something takes is a kind of measurement of time	nongold
87	dim means a small amount of light	nongold
88	astronomical body means celestial body	nongold
89	a living thing is a kind of object	nongold
90	less means a reduced amount	nongold
91	events occur at a specific place; at a specific time; with a specific frequency	nongold
92	to receive sunlight means to absorb sunlight	nongold
93	a motion is a kind of event; action	nongold
94	form means kind	nongold
95	a process is a kind of event	nongold
96	classifying is when one sorts something by kind; type	nongold
97	if something releases something else then that something is the source of that something else	nongold
98	calculation means measurement	nongold
99	a star is usually larger than a planet	nongold
