Question	Comparing the skeletons of which of the following fish would best show the evolution of a fish species?	question
Answer	a fish that lived recently and a fish that lived a long time ago	answer
0	comparing skeletons of an animal that lived long ago and skeletons of the same species of animal that lived recently can be used to show the evolution of that species	gold
1	a fish is a kind of aquatic animal	nongold
2	a fish is a kind of animal	gold
3	an aquatic animal is a kind of animal	nongold
4	a fish is a kind of predator	nongold
5	an animal is a kind of living thing	nongold
6	recent means close to present time	nongold
7	a fish lives in water	nongold
8	an organism is a living thing	nongold
9	the skeleton is a part of the skeletal system	nongold
10	a living thing is a kind of object	nongold
11	an animal is a kind of organism	nongold
12	aquatic animal means water animal	nongold
13	a fish is a kind of scaled animal	nongold
14	preserved means from the past; from long ago	nongold
15	life means living things	nongold
16	if a species existed for a relatively short time then that species is now extinct	nongold
17	evolution causes significant trait changes in a species	nongold
18	An example of a fossil is the bones of an extinct animal	nongold
19	a skeletal system is a part of an animal	nongold
20	an animal is a member of an animal species	nongold
21	comparing requires observing that something	nongold
22	fish have been on Earth for 419000000 years	nongold
23	index fossils are formed from species that existed for a relatively short time	nongold
24	conclusions can be drawn about changes in organisms over time by determining the age of fossils of those organisms	nongold
25	an invertebrate organism does not have an internal skeleton	nongold
26	fossil means preserved remains of ancient organisms	nongold
27	species means a group of like organisms	nongold
28	skeletal system is made of bones	nongold
29	a reptile is a kind of animal	nongold
30	a skeletal system is a part of an animal for providing support; providing shape; providing protection	nongold
31	comparing requires measuring	nongold
32	evolution is a kind of process	nongold
33	an animal; living thing requires nutrients for survival	nongold
34	if two species of animal have a similar bone structure then those two species probably evolved from a common ancestor in recent geological history	nongold
35	both means two	nongold
36	a type is synonymous with a kind	nongold
37	a mammal is a kind of animal	nongold
38	a predator is a kind of animal	nongold
39	best means most positive	nongold
40	if a living thing dies then that living thing is dead	nongold
41	a shark is a kind of fish	nongold
42	a  fish is cold-blooded	nongold
43	the skeletal system is a kind of body system	nongold
44	the skeletal system gives structure to the body in animals	nongold
45	if a living thing requires something then that something has a positive impact on that living thing	nongold
46	ocean animal is similar to water animal	nongold
47	organisms mean life	nongold
48	an ocean is a kind of body of water	nongold
49	once-living means dead	nongold
50	if something used to be in the past then that something  has changed	nongold
51	classifying requires comparing	nongold
52	prehistoric means before 300000000 years ago	nongold
53	nonliving; non-living; die is the opposite of living; alive; live	nongold
54	aquatic animals; plants live in bodies of water	nongold
55	continuation of a species means survival of that species	nongold
56	a fossil is not usually made of skin	nongold
57	if fossils of an organism change depending on the level in which they were found then that species of organism changed over time	nongold
58	trout is a kind of fish	nongold
59	once means one time	nongold
60	history occurred a long time ago	nongold
61	fish is a kind of meat	nongold
62	the skeleton of an animal can be used for inferring the height; the length of that animal	nongold
63	bones can be fossilized	nongold
64	answering questions requires information	nongold
65	high is similar to increase	nongold
66	death means to die	nongold
67	length of time means period of time	nongold
68	survive means live	nongold
69	survive means live	nongold
70	live means to be alive	nongold
71	studying fossils is used to learn about organisms from long ago	nongold
72	a bone is a part of some animals	nongold
73	adapt is similar to evolve	nongold
74	a kind of something is an example of that something	nongold
75	dying is the opposite of living; surviving	nongold
76	a part of a process means a stage in a process	nongold
77	can be means able to be	nongold
78	if two or more organisms have similar characteristics then those organisms might share a common ancestor	nongold
79	an event is a kind of action	nongold
80	each is similar to individual	nongold
81	to change means to become different	nongold
82	fish eat insects	nongold
83	a bone is a part of a body	nongold
84	increase means more	nongold
85	trait is synonymous with characteristic	nongold
86	organisms are a part of an environment	nongold
87	an aquatic animal; aquatic plant requires great amounts of water to survive; thrive	nongold
88	to show means to present	nongold
89	a structure of something is synonymous with a part of that something	nongold
90	a limb often contains bones	nongold
91	remains mean parts of a dead organism	nongold
92	a predator eats other animals for food	nongold
93	a process is a kind of event	nongold
94	an increase is a kind of change	nongold
95	species is an inherited characteristic	nongold
96	events occur at a specific place; at a specific time; with a specific frequency	nongold
97	trait means property	nongold
98	ancient means a long time in the past	nongold
99	no longer means used to be	nongold
