Question	The periodic table of the elements is systematically organized according to the	question
Answer	structure of the atoms of the elements.	answer
0	the periodic table is systematically organized according to the structure of the atoms of the elements	gold
1	organizing is sorting something by their properties in order	nongold
2	the order of the elements in periodic table is determined by the atomic number of the elements	nongold
3	arrangement means how something is arranged	nongold
4	a structure of something is synonymous with a part of that something	nongold
5	an element is made of one kind of atoms	nongold
6	the periodic table is arranged in rows and columns	nongold
7	the Periodic Table is a table displays elements	nongold
8	an  element is a kind of atom	nongold
9	a table is a kind of object	nongold
10	according to is similar to be determined by	nongold
11	matter; materials; substances are made of atoms; particles	nongold
12	an atom is a kind of object	nongold
13	system is similar to structure	nongold
14	classifying is when one sorts something by kind; type	nongold
15	classifying means grouping objects; materials by their properties	nongold
16	structure is a property of an object; a material; a substance	nongold
17	the structure  of an atom can be used for identifying the element	nongold
18	to categorize means to classify	nongold
19	the basic unit of matter is atom	nongold
20	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
21	the Periodic Table of Elements can be used for  predicting; determining the properties of an element	nongold
22	hydrogen is located on the left side; first column on the periodic table	nongold
23	to be made of something means to be formed of that something	nongold
24	a kind of something is classified as that something	nongold
25	an atom is the smallest particle; unit that has the properties of an element	nongold
26	interatomic means existing or acting between atoms	nongold
27	the atomic number of elements increases by 1 from left to right on a row on the periodic table	nongold
28	composed of means made of	nongold
29	a molecule is made of atoms chemically combined; bonded	nongold
30	an element is a kind of  substance	nongold
31	hydrogen is a kind of element	nongold
32	an atom is exceptionally small in size	nongold
33	a Periodic Table is a kind of scientific  model	nongold
34	atoms are made of particles	nongold
35	made up of means contains; made of	nongold
36	an atom is made of protons; neutrons; electrons	nongold
37	if the  elements have similar electron configurations , then the  elements will be grouped into same family; group on the Periodic Table of Elements	nongold
38	carbon is a kind of element	nongold
39	if two elements are next to each other  on the Periodic Table , then the two elements will have similar size of atoms	nongold
40	a group; family in the periodic table means a column in the periodic table	nongold
41	elements in the same group on the Periodic Table of Elements have similar properties	nongold
42	to be made of means to consist of	nongold
43	elements in the same group on the Periodic Table of Elements have similar chemical properties	nongold
44	classifying requires comparing	nongold
45	atomic number is a property of elements	nongold
46	made of is similar to contains	nongold
47	objects are made of materials; substances; matter	nongold
48	can be means able to be	nongold
49	oxygen; selenium; sulfur; tellurium; polonium is located in group 16; oxygen family on the periodic table	nongold
50	an object is made of its parts	nongold
51	affected means changed	nongold
52	classify is similar to characterize	nongold
53	an element is a kind of material	nongold
54	elements in group 18 on the Periodic Table of Elements have full; complete outer electron shells	nongold
55	to classify means to decide what class something belongs to	nongold
56	sorting is similar to classifying	nongold
57	events occur at a specific place; at a specific time; with a specific frequency	nongold
58	answering questions requires information	nongold
59	composition is a property of an object; matter	nongold
60	a period in the periodic table means a row in the periodic table	nongold
61	increasing is a kind of order	nongold
62	particles in objects are a kind of matter	nongold
63	atom cannot be divided into smaller substances	nongold
64	all elements are a kind of pure substance	nongold
65	substances are made of elements	nongold
66	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
67	the properties of something are used for describing that something	nongold
68	a source of something emits; produces; generates; provides that something	nongold
69	composition means the (materials, substances) of which something is composed	nongold
70	matter is made of molecules	nongold
71	the number in chemical formula shows the number of atoms of each element in a molecule	nongold
72	to belong to a class means to be a kind of something	nongold
73	elements on the left side of the Periodic Table of Elements are solids at room temperature	nongold
74	examining structures at the molecular level is being used to reclassify organisms	nongold
75	structure is similar to shape	nongold
76	if something is a part of something else then that something else contains that something	nongold
77	contains means located in	nongold
78	to tell the difference between things means to classify those things	nongold
79	the nitrogen family is a kind of group in periodic table	nongold
80	electron configuration is a property of elements	nongold
81	an event is a kind of action	nongold
82	if something is made of something; a material then that something contains that something; that material	nongold
83	chemical reactions do not cause the total number of atoms to change	nongold
84	position means a place in a structure	nongold
85	electrons surround; orbit the nucleus of an atom	nongold
86	elements in the same group on the Periodic Table of Elements have similar chemical reactivity	nongold
87	variable means able to change	nongold
88	An example of following orders is coming when called	nongold
89	a proton is a part of an atom; an element	nongold
90	a compound can be chemically separated into the elements that it is made of	nongold
91	unchanged means not changed	nongold
92	chemical compounds contain chemical bonds between atoms; between elements	nongold
93	system means a set of objects	nongold
94	the parts of something make up that something	nongold
95	definite is the opposite of variable	nongold
96	phase means state	nongold
97	a structure is a kind of feature	nongold
98	if something is made of something else then that something can be broken down into that something else	nongold
99	substances are made of matter	nongold
