Question	When a person speaks into a telephone, sound energy is changed mostly into which form of energy?	question
Answer	electrical	answer
0	speaker converts electrical energy; electricity into vibrations; sound energy	nongold
1	person is synonymous with human	nongold
2	a person is a kind of animal	nongold
3	a person speaking is a source of sound	nongold
4	talking is when a human produces sound to communicate	nongold
5	electricity means electrical energy	nongold
6	sound means sound energy	nongold
7	human voice is a kind of sound	nongold
8	form means kind	gold
9	speaking is a kind of communication	gold
10	electrical energy is a kind of energy	nongold
11	sound is a kind of sound energy	gold
12	sound is a kind of energy	nongold
13	a human is a kind of animal	nongold
14	a telephone is a kind of electrical device for communication	gold
15	state means form	nongold
16	energy transformation means one kind of energy changes into another kind of energy	nongold
17	telephones are used for communication by two people by transmitting sound	nongold
18	the encoders in the telephone convert sound energy into electrical energy	gold
19	mostly means being the most	nongold
20	sound is produced when mechanical energy is transformed into sound energy	nongold
21	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
22	sound can be used for communication by animals	nongold
23	to convert means to change	gold
24	an animal is a kind of organism	nongold
25	a telephone is used for communication by humans over long distances	gold
26	an animal is a kind of living thing	nongold
27	vibrations are a source of sound	nongold
28	a living thing is a kind of object	nongold
29	a user is a kind of person	nongold
30	to transform means to convert	nongold
31	human is a kind of organism	nongold
32	vibration is a kind of motion	nongold
33	changed is the opposite of unchanged	nongold
34	electrical signals are made of electrical energy	nongold
35	to turn means to change	nongold
36	unchanged means not changed	nongold
37	to modify means to change	nongold
38	to change means to become different	nongold
39	answering questions requires information	nongold
40	noise means sound	nongold
41	a hum is a kind of sound	nongold
42	hearing is used for sensing sound by animals	nongold
43	to turn means to convert	nongold
44	a doorbell converts electrical energy; electricity into sound energy	nongold
45	stay the same means not changing	nongold
46	electrical impulses are a kind of electrical energy	nongold
47	a source of something emits; produces; generates; provides that something	nongold
48	a radio converts electrical energy into vibrations; sound energy	nongold
49	usually means most of the time	nongold
50	if the component of something changed , then the whole thing will change	nongold
51	variable means able to change	nongold
52	replace means change from one thing into  another	nongold
53	matter; molecules vibrating can cause sound	nongold
54	affected means changed	nongold
55	electric devices require electrical energy to function	nongold
56	becoming is similar to changing	nongold
57	to be made of something means to be formed of that something	nongold
58	electricity is used as an energy source by electrical devices	nongold
59	to add means to combine	nongold
60	sound is a kind of air vibration	nongold
61	where something  comes from is a source of that something	nongold
62	two people that are far apart can communicate through a telephone	nongold
63	sound requires matter to travel	nongold
64	a component means a part of	nongold
65	a type is synonymous with a kind	nongold
66	to change into means to form	nongold
67	intense sound energy can move objects	nongold
68	a component of something means a part of that something	nongold
69	a device is a kind of object	nongold
70	volume; sound intensity is a property of sound; sound energy and includes ordered values of quiet; normal; loud	nongold
71	a telephone is a kind of technology	nongold
72	forming something is a kind of change	nongold
73	opposite is a kind of different	nongold
74	to vary means to change	nongold
75	electric shock occurs when a person contacts a source of electrical energy	nongold
76	loud means high in sound energy;sound intensity	nongold
77	alteration means change	nongold
78	when two objects are touched; are contacted; move against each other , sound is produced	nongold
79	composed of means made of	nongold
80	mechanical energy is a kind of energy	nongold
81	electromagnetic energy is a kind of energy	nongold
82	hearing is a kind of sense	nongold
83	an organism is a living thing	nongold
84	change is a kind of process	nongold
85	language is a kind of communication	nongold
86	light is a kind of energy	nongold
87	light is a kind of energy	nongold
88	ringing is a kind of action	nongold
89	forming is similar to converting	nongold
90	the function of something is what that something  is used to do	nongold
91	vibrating matter can produce sound	nongold
92	material means substance	nongold
93	a machine is a kind of  device	nongold
94	if something comes from something else then that something else is a source of that something	nongold
95	to add means to increase	nongold
96	when sound reaches the ear , that sound can be heard	nongold
97	phase means state	nongold
98	can be means able to be	nongold
99	a circuit is a kind of electrical component	nongold
