Question	How do plants most commonly break large rocks into smaller pieces?	question
Answer	Plant roots grow into cracks in rocks.	answer
0	a plant's  roots slowly break down rocks as the roots grow	gold
1	An example of weathering is when a plant root grows into a crack in rock	nongold
2	roots are a part of a plant; tree	nongold
3	a crack is a kind of opening	nongold
4	when something breaks , a crack may form in that something	nongold
5	a plant is a kind of living thing	nongold
6	to break down means to break into smaller pieces	gold
7	cracking something may cause that something  to break apart	nongold
8	a root is a kind of object	nongold
9	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
10	vegetation means plants	nongold
11	roots anchor plants into the soil	nongold
12	In the erosion process roots of plants are an inhibitor	nongold
13	ice wedging is when ice causes rocks to crack by expanding in openings	nongold
14	roots hold soil in place	nongold
15	break down means change from a whole into pieces	nongold
16	a plant is a kind of organism	nongold
17	cracking something usually has a negative impact on that something	nongold
18	mechanical weathering is when rocks are broken down by mechanical means	nongold
19	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
20	tree roots reduce soil erosion	nongold
21	a piece is a part of a whole	nongold
22	a plants; living things require water for survival; to grow	nongold
23	a plant requires soil for survival; to grow	nongold
24	rock is a kind of material	nongold
25	roots are a vehicle for absorbing water and nutrients from soil into the plant	nongold
26	when a plant grows , the roots of that plant may become longer	nongold
27	a rock is a kind of object	nongold
28	a living thing is a kind of object	nongold
29	growth means size;number;value;strength increases	nongold
30	a piece of something is a kind of object	nongold
31	all living things grow	nongold
32	a piece of an object is smaller in size than the whole object	nongold
33	typically means usually	nongold
34	separating is similar to breaking	nongold
35	tearing means changing a whole into pieces	nongold
36	the looseness of soil has a positive impact on a plant's roots' growth in that soil	nongold
37	rock means stone	nongold
38	a tree is a kind of plant	nongold
39	breaking apart rocks can cause debris	nongold
40	a plant; living thing requires nutrients to grow	nongold
41	plant parts are made of plants	nongold
42	a plant requires water to grow	nongold
43	weathering; erosion usually occurs over a period of many years	nongold
44	breaking down is a kind of forming	nongold
45	a part of a living thing is a natural structure	nongold
46	dead plants means dead plant material	nongold
47	structure is a property of an object; a material; a substance	nongold
48	to split means to break down	nongold
49	cutting means changing the object from a whole into smaller pieces	nongold
50	soil is made of very small rocks; minerals	nongold
51	a rock is usually a solid	nongold
52	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
53	a plant; living thing requires food for survival	nongold
54	material means substance	nongold
55	a structure of something is synonymous with a part of that something	nongold
56	forming is similar to growing	nongold
57	soil contains water; humus; weathered rocks; organic matter	nongold
58	a plant requires photosynthesis to grow; survive	nongold
59	an part of an object is smaller than the entire object	nongold
60	compaction is a kind of process	nongold
61	crumble means break down	nongold
62	answering questions requires information	nongold
63	breaking down into pieces is a kind of change in shape	nongold
64	Earth is made of rock	nongold
65	a plant is a member of a plant species	nongold
66	objects are made of materials; substances; matter	nongold
67	thickness is  a measure of how thick an object  is	nongold
68	plant and animal matter means organic matter	nongold
69	soil erosion is when wind; moving water; gravity move soil from fields; environments	nongold
70	a tree is a kind of matter	nongold
71	dissolving is similar to breaking down	nongold
72	surfaces sometimes cause objects to break	nongold
73	grass roots reduce soil erosion	nongold
74	an object is made of its parts	nongold
75	rock is hard	nongold
76	can be means able to be	nongold
77	if something breaks , then that something cannot be used	nongold
78	weathering is a kind of erosion	nongold
79	a pebble is a kind of small rock	nongold
80	developing means growing	nongold
81	a landform is a kind of object	nongold
82	a plant stem is the vehicle for transporting water and food from roots to the rest of the plant	nongold
83	growth is a kind of process	nongold
84	An example of a physical change is breaking an object	nongold
85	break down is the opposite of put together	nongold
86	an organism is a living thing	nongold
87	high is similar to increase	nongold
88	form means kind	nongold
89	a component of something means a part of that something	nongold
90	the function of something is what that something  is used to do	nongold
91	a tree is a kind of living thing	nongold
92	to add means to increase	nongold
93	growth is a kind of change	nongold
94	a component means a part of	nongold
95	life means living things	nongold
96	breaking down is a kind of function	nongold
97	a stem is often a part of plant	nongold
98	a type is synonymous with a kind	nongold
99	increase means more	nongold
