Question	What best explains why some cooking pans have rubber handles?	question
Answer	The rubber in the handles is a good insulator.	answer
0	an insulator is insulated	nongold
1	an insulator is a kind of material	nongold
2	a pan;frying pan;pot is used for cooking food by heating food in it on a stove	nongold
3	a pan;frying pan is a kind of container for cooking; food	nongold
4	insulator means good insulator	gold
5	rubber is thermal;thermal energy insulator	gold
6	pot;pan;frying pan is made of metal for cooking	gold
7	a pan is a kind of object	gold
8	rubber is a kind of material	nongold
9	a handle is a kind of object	nongold
10	an insulator is the opposite of a conductor	nongold
11	insulation requires an insulator	nongold
12	rubber is a kind of solid	nongold
13	plastic is a kind of thermal insulator	nongold
14	rubber is usually flexible	nongold
15	to be insulated means to have insulation	nongold
16	rubber is a kind of nonmetal	nongold
17	plastic is a kind of material made by humans	nongold
18	a good conductor is a conductor	nongold
19	if an object is made of a material then that object has the properties of that material	nongold
20	pots are used for cooking liquid food usually	nongold
21	a tool is a kind of object	nongold
22	plastic is high in strength	nongold
23	metal is a thermal; thermal energy conductor	gold
24	if one surface; one substance; one object touches something then one is exposed to that something	nongold
25	conductivity is a property of a material; substance	nongold
26	a container is a kind of object	nongold
27	a stove is a kind of machine	nongold
28	metal is a kind of material	nongold
29	objects are made of materials; substances; matter	nongold
30	a pot is used for cooking food	nongold
31	rubber is durable	nongold
32	an object has properties	nongold
33	instrument means tool	nongold
34	a container contains objects; material; substances	nongold
35	cookware is used for cooking	nongold
36	plastic is a kind of electrical insulator	nongold
37	a pot is a kind of object	nongold
38	a stove generates heat for cooking usually	nongold
39	a thermal conductor is made of materials that conduct thermal energy	nongold
40	structure is a property of an object; a material; a substance	nongold
41	tool is similar to appliance	nongold
42	plastic is cheap	nongold
43	a surface is a part of a material	nongold
44	being  on something; placed in something; placed over something means touching  that something	nongold
45	cooking wares require a low thermal expansion material	nongold
46	electrical insulation requires wrapping a conductor in an insulator	nongold
47	best means most positive	nongold
48	a stove is used for cooking by generating heat	nongold
49	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
50	a handle is a part of an object for holding that object	gold
51	a handle is used for holding an object	gold
52	better means good	nongold
53	a pot is a kind of container	nongold
54	metal is an  electrical; electrical energy conductor	nongold
55	a plastic spoon is made of plastic	nongold
56	material means substance	nongold
57	a product is a kind of object	nongold
58	a thermal insulator slows; prevents the transfer of heat	gold
59	food is a kind of object	nongold
60	plastic is usually an electrical insulator	nongold
61	a surface is a part of an object	nongold
62	if a container contains something then that container touches that something	nongold
63	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
64	a human is a kind of animal	nongold
65	conductivity is a kind of physical property	nongold
66	a living thing is a kind of object	gold
67	a spoon is a kind of object	nongold
68	temperature is a measure of heat energy	nongold
69	wax is an electrical; electrical energy insulator	nongold
70	materials are made of matter	nongold
71	a spoon sometimes is made of metal	nongold
72	metal is usually flexible	nongold
73	frying food is a kind of cooking	nongold
74	plastic is durable	nongold
75	a burner is a part of a  stove	nongold
76	thermal insulation requires covering the conductor with an insulator	nongold
77	an oven is a source of heat	nongold
78	heating elements are usually a part of an oven	nongold
79	food is a kind of substance	nongold
80	an electrical insulator slows; prevents the transfer of; flow of electricity	nongold
81	heat means heat energy	nongold
82	an animal is a kind of living thing	nongold
83	harming something has a  negative impact on; effect on that something	gold
84	good means positive	nongold
85	an animal is a kind of organism	nongold
86	useful means good to use	nongold
87	an oven is a kind of electrical device	nongold
88	an electric stove changes electrical energy into heat energy	nongold
89	to be good for means to have a positive impact on	nongold
90	substances are made of matter	nongold
91	thermal conduction is when materials conduct heat through those materials through collision of particles	nongold
92	metal is a kind of substance	nongold
93	a bowl is a kind of container	nongold
94	cooking causes a chemical reaction	nongold
95	an part of an object is smaller than the entire object	nongold
96	counter means reduce; stop; resist	nongold
97	the function of something is what that something  is used to do	nongold
98	an object is made of its parts	nongold
99	recyclability is a property of a material and includes ordered values of nonrecyclable; recyclable	nongold
