Question	The population of which of the following 26 organisms would most likely decline if small animals like rats, rabbits, and snakes were eliminated from an ecosystem?	question
Answer	hawks	answer
0	hawks;eagles eat snakes;lizards; rats; rabbits; mice	gold
1	an hawk is a kind of predator	nongold
2	a hawk is a kind of animal	nongold
3	a hawk is a kind of bird	gold
4	if something is eliminated then the amount of that something decreases	gold
5	a rabbit is a kind of mammal	nongold
6	an ecosystem contains a large community of; large numbers of living organisms	nongold
7	a rabbit is a kind of animal	nongold
8	if an organism dies then the population of that organism will decrease	nongold
9	a rabbit is a kind of prey	nongold
10	an environment is similar to an ecosystem	nongold
11	to decline means to decrease	gold
12	as  population of prey decreases , the population of predators will  decrease	gold
13	a snake is a kind of animal	nongold
14	if an animal's; organisms habitat no longer exists; ceases to exist then that animal; that organism will die	nongold
15	if a living thing dies then that living thing is dead	nongold
16	an ecosystem is a kind of habitat	nongold
17	as population of predators decreases , the population of prey will increase in an environment	nongold
18	removing dead organisms from an ecosystem causes available nutrients to be removed from that ecosystem	nongold
19	as population of predators increases , the population of prey will decrease in an environment	nongold
20	an animal is a kind of living thing	nongold
21	killing a living thing decreases the number; population size of that living thing	nongold
22	an animal is a kind of organism	gold
23	a rabbit is a kind of herbivore	nongold
24	an environment means an area	nongold
25	extinction has a negative  impact on an ecosystem	nongold
26	an organism is a living thing	nongold
27	harming an animal species causes that animal's population to decrease	nongold
28	destroying animal habitats has a negative  impact on an ecosystem	nongold
29	if the population of an organism increases then the ecosystem may become overpopulated with that organism	nongold
30	if a population decreases to zero then that organism is extinct	nongold
31	an ecosystem contains nonliving things	nongold
32	destroying animal habitats changes an ecosystem	nongold
33	humans changing ecosystems;environments usually has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
34	an organism becoming extinct causes a change in the organism's food web	nongold
35	an animal; living thing requires nutrients for survival	nongold
36	killing means harming something causing death	nongold
37	killing means changing a living thing from alive to dead by harming	nongold
38	disappearing is similar to decreasing	nongold
39	if a new predator begins eating prey then the population of that prey will decrease	nongold
40	an increase is the opposite of a decrease	nongold
41	decreasing something negative has a positive impact on a thing	nongold
42	harming an animal species has a  negative impact on the population size of that species	nongold
43	death means to die	nongold
44	a mammal is a kind of animal	nongold
45	harming an environment causes harm to the living things; to the organisms in that environment	nongold
46	a lack of something that a living thing requires prevents the survival of that living thing	nongold
47	as the population of an animal decreases , the population of that animal's source of food will decrease	nongold
48	decreasing is similar to becoming smaller	nongold
49	if a living thing requires something then that something has a positive impact on that living thing	nongold
50	organisms are a part of an environment	nongold
51	life means living things	nongold
52	hunting; overhunting decreases animal populations	nongold
53	negative impacts on a species will decrease populations of a species	nongold
54	a predator eats other animals for food	nongold
55	poisoning an environment means poisoning the organisms in that environment	nongold
56	if an organism eats something then that something is a source of frood to that organism	nongold
57	harming something has a  negative impact on; effect on that something	nongold
58	decreasing something positive has a negative impact on a thing	nongold
59	a predator usually kills its prey to eat it	nongold
60	population increase means more survive	nongold
61	predators eat prey	gold
62	a predator is a kind of animal	nongold
63	die out means become extinct	nongold
64	if a habitat is removed then that habitat is destroyed	nongold
65	reproduction increases the number; population of a living thing	nongold
66	a population is made of one type of organism in an area	nongold
67	a decrease is a kind of change	nongold
68	harming an organism can cause that organism to die	nongold
69	a hare is similar to a rabbit	nongold
70	humans changing an environment causes animal populations to decrease in that environment	nongold
71	eliminate means remove	nongold
72	an animal is a member of an animal species	nongold
73	low is similar to decrease	nongold
74	destroying something decreases the amount of that something	nongold
75	if a living thing is destroyed then the resources used by that living thing will become available	nongold
76	survive means live	nongold
77	survive means live	nongold
78	rabbits eat plants	nongold
79	if there is a loss of something then that something decreases	nongold
80	organisms mean life	nongold
81	if a species existed for a relatively short time then that species is now extinct	nongold
82	eagles eat rabbits	nongold
83	become prey means get eaten	nongold
84	predators; carnivores; omnivores eat other animals	nongold
85	all living things eliminate waste	nongold
86	most predators live in; live near the same environment as their prey	nongold
87	living things eat their food source	nongold
88	as the cause of something decreases , that something will decrease	nongold
89	get rid of means eliminate; remove	nongold
90	a rabbit cannot fly; climb	nongold
91	an animal requires enough nutrients to maintain good health; survive	nongold
92	a living thing is a kind of object	nongold
93	the decrease of something required by an organism has a negative impact on that organism's survival; that organism's ability	nongold
94	as the population of plants decreases , the population of herbivores will decrease	nongold
95	if an amount of objects decreases then those objects are fewer in number	nongold
96	carnivores; omnivores; herbivores are a kind of animal	nongold
97	if an animal eats another animal then that animal is a carnivore or omnivore or predator	nongold
98	prey is a kind of food for predators	nongold
99	vegetation means plants	nongold
