Question	Which physical characteristic do some organisms have that helps them survive in the Arctic?	question
Answer	changing fur color to hide from predators	answer
0	camouflage is used for protection; hiding by prey; animals against predators; from predators	gold
1	coloration is a kind of adaptation for hiding;camouflage	nongold
2	hiding is a kind of protection against predators; from predators	nongold
3	disguise means  changing appearance to hide	nongold
4	arctic animals live in an arctic environment	nongold
5	the arctic is a kind of environment	gold
6	camouflage is a kind of adaptation for hiding in an environment	gold
7	avoiding predators has a positive impact on prey's; an organism's survival; health; ability to reproduce	nongold
8	hiding can be used for avoiding predators	nongold
9	An example of camouflage is when something changes color in order to have the same color as its environment	gold
10	trait is synonymous with characteristic	nongold
11	hiding means visibility; ability to be seen decreases for camouflage	nongold
12	a part of something means a characteristic of something	nongold
13	An example of camouflage is when an organism looks like its environment	nongold
14	An example of camouflage is when something is; has the same color as its environment	nongold
15	Camouflage is synonymous with visual disguise	nongold
16	feature is synonymous with characteristic	nongold
17	an organism is a living thing	gold
18	camouflage is a kind of protection against predators; from predators; against consumers	nongold
19	if an animal's fur is a color then that animal is that color	gold
20	the color of; coloration of fur is an inherited characteristic	nongold
21	a predator is a kind of animal	nongold
22	protecting a living thing has a  positive impact on that living thing's survival; health	gold
23	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	gold
24	fur is often part of an animal	gold
25	killing means changing a living thing from alive to dead by harming	nongold
26	snow falls during the winter in the arctic environment	nongold
27	an animal is a kind of living thing	nongold
28	coat means fur coat	nongold
29	characteristic means property	gold
30	the arctic environment covered in snow	nongold
31	an animal is a kind of organism	gold
32	the arctic environment is white in color from being covered in snow	nongold
33	Physical adaptation; structural adaptation is a physical  change in a population over successive generations that  helps individual organisms in that population to  survive; reproduce	nongold
34	what an object is made of is a kind of characteristic	nongold
35	killing means harming something causing death	nongold
36	camouflage can be used for hunting for prey; food	nongold
37	color is a kind of physical; visual property	nongold
38	hair; fur is  a part of skin for protection; keeping warm	nongold
39	a living thing is a kind of object	nongold
40	the arctic  environment usually is cold in  temperature from being at a northern lattitude	nongold
41	coloration means a thing's color	nongold
42	helping something has a  positive impact on that something	gold
43	harming something has a  negative impact on; effect on that something	nongold
44	color is a property of  an object; a material	gold
45	avoiding predators; escaping predators; avoiding consumers is a kind of protection	nongold
46	an inherited characteristic is a kind of characteristic	nongold
47	fur is a covering around the body of an animal	nongold
48	the colors of parts of an organism are inherited characteristics	nongold
49	to be used  for something means to help to do that something	nongold
50	organisms mean life	nongold
51	survive means live	nongold
52	survive means live	nongold
53	trait means property	nongold
54	prey  is a kind of animal	nongold
55	a predator is a kind of enemy to its prey	nongold
56	organisms are a part of an environment	nongold
57	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
58	survival means to survive	nongold
59	an animal is a member of an animal species	nongold
60	nonliving; non-living; die is the opposite of living; alive; live	nongold
61	fur is usually part of a mammal	nongold
62	the Arctic Ocean is a kind of ocean	nongold
63	a structure of something is synonymous with a part of that something	nongold
64	some animals shed fur in warm weather	nongold
65	a structure is a kind of feature	nongold
66	life means living things	nongold
67	some animals' fur grows thicker for staying warm in the winter	nongold
68	the body is a part of an organism	nongold
69	dying is the opposite of living; surviving	nongold
70	an increase is the opposite of a decrease	nongold
71	staying means not changing	nongold
72	coloration means a pattern of colors	nongold
73	appearance is sometimes a physical property	nongold
74	if an animal eats another animal then that animal is a carnivore or omnivore or predator	nongold
75	covering something is a kind of protection	nongold
76	snow falls during the winter in some environments	nongold
77	dark means dark in color	nongold
78	an animal requires warmth for survival	nongold
79	physical fitness is an acquired characteristic	nongold
80	an animal usually requires a warm body temperature for survival	nongold
81	ability is a kind of characteristic	nongold
82	most predators live in; live near the same environment as their prey	nongold
83	eye color is an inherited characteristic	nongold
84	the condition of parts of an organism are acquired characteristics	nongold
85	a physical property is a kind of property	nongold
86	blending in is synonymous with hiding	nongold
87	low is similar to decrease	nongold
88	a learned characteristic is a kind of acquired characteristic	nongold
89	better senses have a positive impact on an animal's survival; health; ability to reproduce	nongold
90	to help; to benefit means to be of use	nongold
91	variable means able to change	nongold
92	white fur is white in color	nongold
93	affected means changed	nongold
94	keeping means staying	nongold
95	weakness has a negative impact on an animal's survival; health; ability to reproduce	nongold
96	species is an inherited characteristic	nongold
97	winter has cold temperatures;weather	nongold
98	appearance  is a kind of physical property	nongold
99	something hard; something strong can be used for protection	nongold
