Question	What is the most common element in a star such as the Sun?	question
Answer	hydrogen	answer
0	hydrogen is the most common element in stars	gold
1	oxygen is more common than hydrogen on Earth	nongold
2	hydrogen is a kind of element	gold
3	the Sun is a kind of star	gold
4	if something requires something else then that something else may be common in that something	nongold
5	an  element is a kind of atom	nongold
6	the sun is a kind of yellow dwarf	nongold
7	the sun is made of hydrogen and helium	nongold
8	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
9	hydrogen is a kind of gas at room temperature	nongold
10	oxygen  is a kind of element	nongold
11	an element is made of one kind of atoms	nongold
12	a star is a source of light; light energy through nuclear reactions	nongold
13	an atom is a kind of object	nongold
14	a yellow dwarf is a kind of main-sequence star	nongold
15	a star produces light and heat	nongold
16	carbon is a kind of element	nongold
17	an atom is the smallest particle; unit that has the properties of an element	nongold
18	an atom is exceptionally small in size	nongold
19	substances are made of elements	nongold
20	an element is a kind of  substance	nongold
21	yellow dwarf is a kind of small star	nongold
22	a star is made of gases	nongold
23	a star is a kind of celestial object; celestial body	nongold
24	stars generally have the same chemical composition	nongold
25	oxygen is a kind of gas at room temperature	nongold
26	hydrogen contains chemical energy	nongold
27	greatest means largest; highest; most amount of something	nongold
28	a star is usually larger than a planet	nongold
29	the sun is a source of light; light energy called sunlight	nongold
30	all elements are a kind of pure substance	nongold
31	carbon; hydrogen; nitrogen; oxygen are the most common elements in organic compounds	nongold
32	an atom is made of protons; neutrons; electrons	nongold
33	a  gas is a kind of  element	nongold
34	mostly means being the most	nongold
35	similar means in common	nongold
36	main-sequences stars are a kind of star	nongold
37	to be made of something means to be formed of that something	nongold
38	argon is a kind of element	nongold
39	to be formed by is similar to being produced by	nongold
40	a type is synonymous with a kind	nongold
41	lowest means least in value; amount; number	nongold
42	a white dwarf is a kind of star	nongold
43	a hydrocarbon molecule is made of hydrogen and carbon by being chemically combined	nongold
44	nitrogen is a kind of element	nongold
45	hydrogen is located on the left side; first column on the periodic table	nongold
46	a source of something emits; produces; generates; provides that something	nongold
47	in common is similar to the same	nongold
48	a star is very hot in temperature	nongold
49	largest amount means most	nongold
50	a star requires energy	nongold
51	helium; neon; argon; krypton; xenon; radon is located in noble gases family; group 18 on the periodic table	nongold
52	usually means most of the time	nongold
53	to contain means to have inside	nongold
54	high is similar to increase	nongold
55	compound is a kind of chemical	nongold
56	composed of means made of	nongold
57	to depend on; to rely on; to need means to require	nongold
58	a nonmetal is a kind of element	nongold
59	a star's type is determined by the star's mass	nongold
60	a pure substance is made of only one kind of atom; molecule	nongold
61	can be means able to be	nongold
62	oxygenated means having oxygen	nongold
63	if a substance is made of one element , then the substance is called an element	nongold
64	if a star runs out of hydrogen , it becomes hotter; more luminous	nongold
65	substances have chemical properties	nongold
66	elements in the same group on the Periodic Table of Elements have similar chemical properties	nongold
67	to be found in means to be contained in	nongold
68	made of is similar to contains	nongold
69	helium is a kind of element	nongold
70	the sun is average in size for a star in our galaxy	nongold
71	oxygen; selenium; sulfur; tellurium; polonium is located in group 16; oxygen family on the periodic table	nongold
72	electron configuration is a property of elements	nongold
73	least is the opposite of most	nongold
74	if something requires something else then that something requires a source of that something else	nongold
75	if something transfers something else then that something is a source of something else	nongold
76	to vary means to change	nongold
77	furthest; farthest means greatest; most; highest in distance	nongold
78	if something is a source of something else then that something usually contains that something else	nongold
79	matter; materials; substances are made of atoms; particles	nongold
80	oxygen is always nonmagnetic	nongold
81	form means kind	nongold
82	where something  comes from is a source of that something	nongold
83	nuclear reactions in stars causes stars to produce light; energy; nuclear energy	nongold
84	elements in the same group on the Periodic Table of Elements have similar properties	nongold
85	a molecule is made of atoms chemically combined; bonded	nongold
86	to provide something means to be the source of that something	nongold
87	a compound is a kind of substance	nongold
88	noble gases elements; elements in group 18 on the periodic table usually are the most chemically unreactive	nongold
89	atoms are made of particles	nongold
90	amount is similar to abundance	nongold
91	a halogen is a kind of element	nongold
92	sulfur is a kind of element	nongold
93	if something gains something from something else then that something else is a source of that something	nongold
94	most means over 50% of something	nongold
95	low is similar to decrease	nongold
96	to give is similar to to cause	nongold
97	the basic unit of matter is atom	nongold
98	composition means the (materials, substances) of which something is composed	nongold
99	inexhaustible means always available	nongold
