Question	In which organisms could evolution occur most rapidly?	question
Answer	bacteria	answer
0	bacteria is a kind of living thing	nongold
1	a bacterium is a kind of organism	gold
2	quickly means in a short period of time	gold
3	rapidly means quickly	gold
4	fast means quickly	nongold
5	bacteria is a kind of pathogen sometimes	nongold
6	a fungus is a kind of organism	nongold
7	a bacterium is a kind of decomposer	nongold
8	to happen means to occur	nongold
9	an organism is a living thing	nongold
10	organisms move through the stages of the life cycle	nongold
11	a fungus is a kind of living thing	nongold
12	bacteria is a part of soil	nongold
13	evolution is a kind of process	nongold
14	In the food chain process bacteria have the role of decomposer	nongold
15	a decomposer is usually a bacterium; fungus	nongold
16	an animal is a kind of living thing	nongold
17	an animal is a kind of organism	nongold
18	organisms mean life	nongold
19	reproduction is a stage in the life cycle process	nongold
20	all living things have life cycles	nongold
21	bacteria have the greatest amount of diversity	nongold
22	metamorphosis is a stage in the life cycle process of some animals	nongold
23	if something causes an increase in something else then that something produces that something else	nongold
24	a part of a process means a stage in a process	nongold
25	food contains carbohydrates	nongold
26	convergent evolution is when two species in different taxonomic families develop in different places under similar environmental pressures	nongold
27	a decomposer is a kind of living thing	nongold
28	most means over 50% of something	nongold
29	events occur at a specific place; at a specific time; with a specific frequency	nongold
30	a mammal is a kind of animal	nongold
31	living things can all reproduce	nongold
32	a fungus is a kind of eukaryote	nongold
33	a step in a process means a stage in a process	nongold
34	growth is a stage in the life cycle process	nongold
35	a cycle happens; occurs repeatedly	nongold
36	an animal; living thing requires nutrients for survival	nongold
37	a plant is a kind of living thing	nongold
38	a process is a kind of event	nongold
39	an animal; bacterium requires oxygen for survival; to breathe	nongold
40	bacillus is a kind of rod-shaped bacteria	nongold
41	a living thing is made of cells	nongold
42	animals are a part of the biological kingdom Animalia	nongold
43	an event is a kind of action	nongold
44	bacteria is small; microscopic in size	nongold
45	a plant is a kind of organism	nongold
46	usually means most of the time	nongold
47	organisms are a part of an environment	nongold
48	bacteria sometimes cause disease	nongold
49	a microorganism is a kind of decomposer	nongold
50	bacteria can show significant trait changes in the shortest period of time	gold
51	event is similar to occurrence	nongold
52	a worm is a kind of animal	nongold
53	classifying is when one sorts something by kind; type	nongold
54	a worm is a kind of decomposer	nongold
55	In the mammal life cycle , reproduction can follows growth	nongold
56	occur is similar to appear	nongold
57	a source of something emits; produces; generates; provides that something	nongold
58	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
59	metamorphosis is a kind of process	nongold
60	can be means able to be	nongold
61	living things perform biological processes	nongold
62	to pass means to occur	nongold
63	a motion is a kind of event; action	nongold
64	instantaneously means short in time	nongold
65	a change is a kind of event	nongold
66	reproduction is a kind of process	nongold
67	to be made of something means to be formed of that something	nongold
68	decomposer is a kind of role in the food chain process; in an ecosystem	nongold
69	a worm is a kind of living thing	nongold
70	conjugation is a kind of bacterial reproduction	nongold
71	an ecosystem contains a large community of; large numbers of living organisms	nongold
72	if something causes a process then that something is required for that process	nongold
73	adapt is similar to evolve	nongold
74	a plant; living thing requires food for survival	nongold
75	a kind of something is an example of that something	nongold
76	the formation of something is a kind of process	nongold
77	growth is a kind of change	nongold
78	a mushroom is a kind of fungus	nongold
79	biotic means living	nongold
80	a cycle is a kind of process	nongold
81	to be formed by is similar to being produced by	nongold
82	growth is a kind of process	nongold
83	good bacteria have a positive impact on a living thing's survival; health	nongold
84	gradual means slow; over time	nongold
85	made up of means contains; made of	nongold
86	a living thing is a kind of object	nongold
87	a reaction is a kind of process	nongold
88	a process usually requires all of the stages in that process	nongold
89	form means kind	nongold
90	creating is similar to causing	nongold
91	an increase is a kind of change	nongold
92	products are formed; are produced; are created	nongold
93	faster means increased rate	nongold
94	In the food chain process fungi have the role of decomposer	nongold
95	a reptile is a kind of animal	nongold
96	biology is a kind of science	nongold
97	mostly means being the most	nongold
98	affected means changed	nongold
99	bacteria; molds; yeast cause food to spoil	nongold
