Question	An engineer can choose from four different materials to make a heat-resistant handle for a stirring spoon. Which material is least likely to get hot when the spoon is placed in boiling water?	question
Answer	Wood	answer
0	boiling is when liquids are heated above their boiling point	nongold
1	to get hot means become hot	gold
2	wood is an thermal; thermal energy insulator	gold
3	wood is a thermal; thermal energy insulator	nongold
4	if a spoon; an object is used to stir a liquid; mixture then that spoon; that object is touching that liquid; that mixture	gold
5	if liquid is boiling then that liquid is hot	gold
6	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
7	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	gold
8	if heat is transferred to an object , then the object will get hot	nongold
9	water is an thermal; thermal energy conductor	nongold
10	hot means high in heat energy; temperature	nongold
11	boiling point means temperature at which a liquid boils; above which a liquid boils	nongold
12	a spoon is a kind of object	gold
13	a hot; warm something is a source of heat	gold
14	wood is a kind of object	nongold
15	a handle is a kind of object	nongold
16	a handle is a part of an object for holding that object	nongold
17	wood is a strong material	nongold
18	wood is a kind of natural material	gold
19	heating means adding heat	nongold
20	a handle is used for holding an object	nongold
21	wood is a light material	nongold
22	a hot substance is a source of heat	nongold
23	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
24	water is a kind of liquid at room temperature	gold
25	water-resistance is a property of objects; matter and includes ordered values of water-resistant; not water-resistant	nongold
26	adding heat means increasing temperature	nongold
27	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
28	wood is a kind of nonmetal	nongold
29	stirring is when something moves an object in a circular motion for mixing	nongold
30	a plastic spoon is made of plastic	nongold
31	a spoon sometimes is made of metal	nongold
32	being  on something; placed in something; placed over something means touching  that something	gold
33	water is a kind of substance	nongold
34	heat means heat energy	nongold
35	heat means temperature increases	nongold
36	to add means to increase	nongold
37	friction causes the temperature of an object to increase	nongold
38	temperature is a measure of heat energy	nongold
39	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
40	stirring is a kind of first-	nongold
41	to reduce means to decrease	nongold
42	a liquid is a kind of substance	nongold
43	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
44	wood has a smooth surface	nongold
45	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
46	material means substance	nongold
47	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
48	heat energy is synonymous with thermal energy	nongold
49	if an object is made of a material then that object has the properties of that material	nongold
50	water is a kind of object	nongold
51	boiling is a kind of phase change	nongold
52	metal is a thermal; thermal energy conductor	nongold
53	if heat is conducted to an object then that object will become hot	nongold
54	if one surface; one substance; one object touches something then one is exposed to that something	gold
55	burning wood is used to produce heat	nongold
56	heating is the opposite of cooling	nongold
57	a container contains objects; material; substances	nongold
58	an increase is the opposite of a decrease	nongold
59	if an object is hot then the surfaces of that object are hot	nongold
60	least is the opposite of greatest	nongold
61	to lower means to decrease	nongold
62	friction acts to counter the motion of two objects when their surfaces are touching	nongold
63	boiling is a kind of event	nongold
64	objects are made of materials; substances; matter	nongold
65	boiling point is the highest temperature a liquid can reach	nongold
66	a tree contains wood	nongold
67	more burning causes fire to be hotter	nongold
68	if an object is held under a substance then that object is touching that substance	nongold
69	when a cooler object touches a warmer object , thermal conduction occurs	nongold
70	conductivity is a property of a material; substance	nongold
71	if something is in something , then something is exposed to something	nongold
72	being in something means touching that something	nongold
73	often is similar to likely	nongold
74	a source of something emits; produces; generates; provides that something	nongold
75	warm up means increase temperature	nongold
76	if a container contains something then that container touches that something	nongold
77	high is similar to increase	nongold
78	heat means the transfer of thermal energy	nongold
79	the boiling point of water is 212F; 100C; 373K	nongold
80	friction occurs when two object's surfaces move against each other	nongold
81	motion; movement means moving; to move	nongold
82	a container is a kind of object	nongold
83	if an object is placed in a substance; in a location that is colder then that object will cool to the same temperature of that substance; of that location	nongold
84	increase means more	nongold
85	if two things are made from the same objects; material then those two things are similar	nongold
86	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
87	warm; becoming warm means heat is added	nongold
88	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
89	mass has no impact on boiling; melting; freezing point	nongold
90	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
91	wood is usually sturdy	nongold
92	hot is the opposite of  cold	nongold
93	if something is places over a heat source then that something is exposed to that heat source	nongold
94	counter means reduce; stop; resist	nongold
95	least is the opposite of most	nongold
96	warm means medium heat energy; temperature	nongold
97	a human is a kind of animal	nongold
98	to give off means to be the source of	nongold
99	resistances are a property of living things	nongold
