Question	A generator converts mechanical energy to electrical energy by using a conducting metal loop turning in a	question
Answer	magnetic field.	answer
0	a conducting metal loop is a kind of electromagnet	gold
1	a generator converts kinetic energy into electrical energy; electricity	gold
2	a generator is a kind of  device	nongold
3	turning is a kind of motion	nongold
4	to turn means to convert	nongold
5	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
6	kinetic energy is a kind of mechanical energy	gold
7	electromagnets generate magnetic fields	nongold
8	metal is an  electrical; electrical energy conductor	nongold
9	An example of mechanical energy is an object in motion	nongold
10	electrical conduction is when metals; electrical conductors conduct electricity through a wire;electrical conductor;metal	nongold
11	mechanical energy is a kind of energy	nongold
12	metal is sometimes magnetic	nongold
13	electricity means electrical energy	nongold
14	converting is similar to generating	nongold
15	mechanical energy can  cause objects to move	nongold
16	an electrical device requires electricity to turn on	nongold
17	a magnet is often made of magnetic metals; ferromagnetic metals	nongold
18	a magnet is a kind of object	nongold
19	rotate means turn	nongold
20	looping is similar to wrapping	nongold
21	a machine is a kind of  device	nongold
22	converting is similar to turning into	nongold
23	electrical energy is a kind of energy	nongold
24	electric currents produce magnetic fields	gold
25	electric devices require electrical energy to function	nongold
26	magnetic energy is a kind of energy	nongold
27	electromagnets can be powered by electricity	nongold
28	an electromagnet is a kind of electric magnet	gold
29	an electromagnet contains a wire; cylindrical ferrous metal	nongold
30	an electromagnet is a kind of device	nongold
31	mechanical energy is used to move something by animals	nongold
32	vibration is a kind of motion	nongold
33	to turn means to change	nongold
34	electricity is made of moving charges; moving charged particles	nongold
35	a machine is a kind of object	nongold
36	motion; movement means moving; to move	nongold
37	electricity is used as an energy source by electrical devices	nongold
38	causing is similar to generating	nongold
39	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
40	emit means produce	nongold
41	a magnet attracts magnetic metals; ferromagnetic metals through magnetism	nongold
42	moving a coil of wire in the magnetic field generates electrical current	nongold
43	a simple machine requires mechanical energy to function	nongold
44	a device is a kind of object	nongold
45	electrical devices are used for industrial purposes; household purposes by humans	nongold
46	flipping; pushing a switch means using; activating that switch	nongold
47	to conduct is similar to to transfer	nongold
48	an electric circuit is a vehicle for moving electrical energy from the source to  the electrical device	nongold
49	converting is similar to producing	nongold
50	turns is similar to changes	nongold
51	convert is similar to transfer	nongold
52	magnetism is a kind of energy	nongold
53	metal is a kind of material	nongold
54	conducting is a kind of function	nongold
55	the core of an electromagnet is the metal	nongold
56	passing a magnet through a closed loop of wire generates an electric current	gold
57	moving is similar to travelling	nongold
58	conversion is a kind of process	nongold
59	rotation is a kind of motion	nongold
60	generate means produce	nongold
61	speed is a measure of how fast an object is moving	nongold
62	counter means reduce; stop; resist	nongold
63	a wire is a part of an electrical circuit for conducting electricity	nongold
64	when an animal moves , chemical energy is converted to mechanical energy	nongold
65	carrying is similar to conducting	nongold
66	the function of something is what that something  is used to do	nongold
67	travel means to move	nongold
68	a source of something emits; produces; generates; provides that something	nongold
69	magnetism is a property of materials; objects and includes ordered values of nonmagnetic; magnetic	nongold
70	the formation of lightning converts mechanical energy into electrical energy	nongold
71	to be used for something means to be required by that something	nongold
72	a circuit is a kind of electrical component	nongold
73	a rotation is a kind of movement	nongold
74	metal is a kind of substance	nongold
75	a motion is a kind of event; action	nongold
76	a complete electrical circuit is a source of  electrical energy	nongold
77	mechanical energy of a system includes the sum of kinetic energy and potential energy  in the system	nongold
78	metal is a thermal; thermal energy conductor	nongold
79	mechanical energy exerted by an object can be used to push or pull another object	nongold
80	converting is a kind of function	nongold
81	electrical current means electrical energy	nongold
82	steel; carbon steel is always ferromagnetic; magnetic	nongold
83	if something generates energy for something else then that something powers that something else	nongold
84	motion is a source of kinetic energy in an object	nongold
85	matter; materials; substances are made of atoms; particles	nongold
86	an electric motor converts electrical energy into mechanical energy	nongold
87	electrical signals are made of electrical energy	nongold
88	friction converts mechanical energy into heat energy	nongold
89	magnetic force means magnetism	nongold
90	moving changes potential energy; stored energy into kinetic energy and heat energy	nongold
91	speed is a property of an object and includes values of slow; fast	nongold
92	rolling is a kind of motion	nongold
93	a magnetic field is a kind of force	nongold
94	motion is when moves an object; something to a direction	nongold
95	a magnet will not attract nonmagnetic metals; nonmagnetic materials	nongold
96	to convert means to change	nongold
97	device means tool	nongold
98	rotating is similar to moving	nongold
99	flipping a switch completes an electrical circuit	nongold
