Question	When two objects are touching, heat is transferred from the warmer object to the cooler one by	question
Answer	conduction.	answer
0	thermal conduction is when heat flows from warmer object to cooler object	nongold
1	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	gold
2	when a cooler object touches a warmer object , thermal conduction occurs	gold
3	heat means the transfer of thermal energy	nongold
4	thermal conduction is when materials conduct heat through those materials through collision of particles	gold
5	to conduct is similar to to transfer	nongold
6	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
7	the heat energy in the cooler object increases in thermal conduction	nongold
8	a thermal conductor is made of materials that conduct thermal energy	nongold
9	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
10	warmer means greater; higher in temperature; warmth	nongold
11	conductivity is a property of a material; substance	nongold
12	cooler means colder	nongold
13	heating means adding heat	nongold
14	water is an thermal; thermal energy conductor	nongold
15	temperature is a measure of heat energy	nongold
16	to pass means to transfer	nongold
17	heat means heat energy	gold
18	if an object is touching a warmer object , then the  cooler  object will increase in temperature until two objects reach the same temperature	nongold
19	heat energy is synonymous with thermal energy	gold
20	metal is a thermal; thermal energy conductor	nongold
21	colder; cooler means lower in temperature	nongold
22	if an object is placed in a substance; in a location that is colder then that object will cool to the same temperature of that substance; of that location	nongold
23	to touch means to contact	nongold
24	warm means medium heat energy; temperature	nongold
25	to add means to increase	nongold
26	warm; becoming warm means heat is added	nongold
27	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
28	conductivity is a kind of physical property	nongold
29	adding heat means increasing temperature	nongold
30	objects are made of materials; substances; matter	nongold
31	a surface is a part of a material	nongold
32	an object; material; substance comes from that object or material's source	nongold
33	if an object is made of a material then that object has the properties of that material	nongold
34	friction causes the temperature of an object to increase	nongold
35	heat means temperature increases	nongold
36	touching is when a body part makes contact with the surface of an object	nongold
37	heating is the opposite of cooling	nongold
38	if one surface; one substance; one object touches something then one is exposed to that something	nongold
39	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
40	a surface is a part of an object	nongold
41	friction occurs when two object's surfaces move against each other	nongold
42	transferring is moving from one place to another place	nongold
43	material means substance	nongold
44	an insulator is the opposite of a conductor	nongold
45	warm up means increase temperature	nongold
46	a surface is a kind of object	nongold
47	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
48	heat energy  can be used to heat up  an object	nongold
49	if one object absorbs more energy than another object , then the  object will be warmer	nongold
50	absorbing energy causes objects; materials; substances to heat	nongold
51	transferring is similar to adding	nongold
52	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
53	friction acts to counter the motion of two objects when their surfaces are touching	nongold
54	as heat is transferred from something to something else , the temperature of that something will decrease	nongold
55	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
56	to transfer means to bring; to get something to	nongold
57	if something transfers something else then that something is a source of something else	nongold
58	if heat is added to a substance then that substance absorbs that heat	nongold
59	warm means warm temperature	nongold
60	a source of something emits; produces; generates; provides that something	nongold
61	an object moving from a cool place to a warm place causes the object's temperature to increase	nongold
62	conduction is a kind of process	nongold
63	being  on something; placed in something; placed over something means touching  that something	nongold
64	if something is places over a heat source then that something is exposed to that heat source	nongold
65	transfer is a kind of change	nongold
66	a hot substance is a source of heat	nongold
67	moving an object from a cool place to a  warm place causes the object's temperature to increase	nongold
68	conductivity is a measure of how easily electricity travels through a material	nongold
69	a source of heat can be used to heat something	nongold
70	a source of heat can be used to heat something	nongold
71	cooling means temperature decreases	nongold
72	metal is an  electrical; electrical energy conductor	nongold
73	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
74	thermal energy is a kind of energy	nongold
75	if a container contains something then that container touches that something	nongold
76	evaporating is a kind of phase change	nongold
77	liquid is a kind of state of matter	nongold
78	air is usually a thermal; thermal energy insulator	nongold
79	touching something means feeling that something	nongold
80	a liquid is a kind of substance	nongold
81	water is a kind of liquid at room temperature	nongold
82	water is a kind of object	nongold
83	boiling point means temperature at which a liquid boils; above which a liquid boils	nongold
84	plastic is a kind of thermal insulator	nongold
85	hot means high in heat energy; temperature	nongold
86	to receive sunlight means to absorb sunlight	nongold
87	electricity means electrical energy	nongold
88	if an object is held under a substance then that object is touching that substance	nongold
89	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
90	electrical conduction is when metals; electrical conductors conduct electricity through a wire;electrical conductor;metal	nongold
91	both means two	nongold
92	a hot plate is a source of heat	nongold
93	a heating element converts electrical energy; electricity into heat energy for heating	nongold
94	a source of something increases the amount of that something	nongold
95	an insulator is a kind of material	nongold
96	to convert means to exchange	nongold
97	if something emits something else then that something increases the amount of that something else	nongold
98	a human is a kind of animal	nongold
99	where something  comes from is a source of that something	nongold
