Question	Which of the following properties provides the BEST way to identify a mineral?	question
Answer	hardness	answer
0	the properties of something can be used to identify; used to describe that something	gold
1	a mineral is a kind of object	nongold
2	hardness is a property of a material; an object and includes ordered values of malleable; rigid	gold
3	a mineral is a kind of solid; natural material	gold
4	being used for is similar to providing	nongold
5	hardness is a kind of physical property	nongold
6	hardness is an intensive property	nongold
7	identifying is similar to determining	nongold
8	an object has properties	nongold
9	best means most positive	nongold
10	a type of something is a kind of property of that something	nongold
11	soft is a kind of hardness	nongold
12	something's function can be used to describe; identify that something	nongold
13	classifying means grouping objects; materials by their properties	nongold
14	to identify means to discover	nongold
15	hardness is a measure of a mineral's ability to resist scratching	nongold
16	identifying sometimes requires examining	nongold
17	structure is a property of an object; a material; a substance	nongold
18	a type is synonymous with a kind	nongold
19	a rock is a kind of object	nongold
20	characteristic means property	nongold
21	the composition of something can be used to identify that something	nongold
22	can be means able to be	nongold
23	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
24	measuring the hardness of minerals requires  scratching those materials	nongold
25	provide is similar to give; make	nongold
26	a source of something emits; produces; generates; provides that something	nongold
27	answering questions requires information	nongold
28	the properties of something are used for describing that something	nongold
29	if something is required then that something must be provided	nongold
30	classifying is when one sorts something by kind; type	nongold
31	a structure of something is synonymous with a part of that something	nongold
32	similarity means the same property	nongold
33	rock is a kind of material	nongold
34	melting point can be used to identify a pure substance	nongold
35	form means kind	nongold
36	the shape of the crystal of a substance can be used for identifying the substance	nongold
37	certain is similar to specific	nongold
38	rock is made of minerals	nongold
39	to produce means to provide	nongold
40	a mineral usually has a crystal structure	nongold
41	providing something means making;delivering something	nongold
42	to provide something means to be the source of that something	nongold
43	if an object is made of a material then that object has the properties of that material	nongold
44	better means good	nongold
45	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
46	a structure is a kind of feature	nongold
47	mass; weight is an extensive property	nongold
48	as amount; size of something increases , the intensive properties of that something will not change	nongold
49	containing something is similar to providing that something	nongold
50	a physical property is a kind of property	nongold
51	to tell the difference between things means to classify those things	nongold
52	composed of means made of	nongold
53	if something contains something , then something is able to provide something	nongold
54	material means substance	nongold
55	objects are made of materials; substances; matter	nongold
56	composition is a property of an object; matter	nongold
57	what an object is made of is a kind of characteristic	nongold
58	to distinguish means to tell the difference between	nongold
59	category means kind	nongold
60	composition means the (materials, substances) of which something is composed	nongold
61	high is similar to increase	nongold
62	temperature is an intensive property	nongold
63	affected means changed	nongold
64	feature is synonymous with characteristic	nongold
65	what something needs is a property of that something	nongold
66	trait means property	nongold
67	a rock is usually a solid	nongold
68	measuring is used for describing an object	nongold
69	a property of something is a feature of that something	nongold
70	chemical composition is a kind of property	nongold
71	a description sometimes provides information	nongold
72	to belong to a class means to be a kind of something	nongold
73	a part of something means a characteristic of something	nongold
74	lowest means least in value; amount; number	nongold
75	made of is similar to contains	nongold
76	property is similar to measurement	nongold
77	size is an extensive property	nongold
78	different materials usually have different properties	nongold
79	greatest means largest; highest; most amount of something	nongold
80	extreme means very high in value	nongold
81	resemble means similar characteristics	nongold
82	to detect means to find	nongold
83	weight is a kind of property	nongold
84	classify is similar to characterize	nongold
85	zinc is a kind of mineral	nongold
86	variable means able to change	nongold
87	to be characterized by  a property means to have that property	nongold
88	classifying requires comparing	nongold
89	material composition is a kind of chemical property	nongold
90	an part of an object is smaller than the entire object	nongold
91	good means positive	nongold
92	identical means copy	nongold
93	variability of shape; variability of volume is a kind of physical property	nongold
94	rock is hard	nongold
95	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
96	mass; weight is a property of matter; objects; materials	nongold
97	variability of shape; variability of volume is a property of matter and includes values of variable; definite	nongold
98	definite is the opposite of variable	nongold
99	a living thing is a kind of object	nongold
