Question	Why are the rocks and pebbles found on riverbeds usually smooth?	question
Answer	The rocks and pebbles rub against each other as water flows over them.	answer
0	rough is the opposite of smooth	nongold
1	a pebble is a kind of small rock	gold
2	rocks contacting; rubbing each other over long periods of time causes those rocks to smooth	gold
3	to rub; to rub together means to move against	nongold
4	as the roughness of something increases , the friction of that something will increase when its surface moves against another surface	nongold
5	as the smoothness of something increases , the friction of that something will decrease when its surface moves against another surface	nongold
6	a river is a kind of flowing body of water	gold
7	water easily passes through pebbles	nongold
8	texture is a property of  surfaces; materials; objects and includes ordered  values of smooth; rough	nongold
9	smooth is a kind of texture	nongold
10	a rock is a kind of object	nongold
11	friction occurs when two object's surfaces move against each other	nongold
12	texture means how an object feels	nongold
13	rubbing  is a kind of motion	nongold
14	if one surface is moved against; moved over; moved down another surface then those surfaces are touching	nongold
15	a riverbed is a part of a river	gold
16	as roughness of a surface increases , friction will increase	nongold
17	flowing is a kind of motion	nongold
18	pebbles are a kind of material	nongold
19	motion; movement means moving; to move	nongold
20	sometimes weathering smooths; rounds rocks	gold
21	a rock is usually a solid	nongold
22	an object being pushed across another object causes their surfaces to move against each other	nongold
23	a surface is a part of an object	nongold
24	water is a kind of object	nongold
25	rubbing against something is a kind of contact	gold
26	to reduce means to decrease	nongold
27	water is a kind of liquid at room temperature	nongold
28	friction acts to counter the motion of two objects when their surfaces are touching	nongold
29	felt is high in roughness	nongold
30	if something does not move then that something can be found in the same location	nongold
31	a surface is a kind of object	nongold
32	friction exerts force on moving objects	nongold
33	to lower means to decrease	nongold
34	soft is a kind of touch sensation	nongold
35	rock means stone	nongold
36	Earth's surface is made of rock	nongold
37	if an object slides across another object then those objects are touching	nongold
38	down is soft	nongold
39	landform means surface feature; physical feature; land feature	nongold
40	water is a kind of substance	nongold
41	rock is hard	nongold
42	usually something can be found  near a source in greater concentrations	nongold
43	friction causes the temperature of an object to increase	nongold
44	a body of water is a kind of environment	nongold
45	if something is a part of something then that something can be found in that something	nongold
46	soft is a kind of hardness	nongold
47	soil and sediment deposited by a river are usually high; rich in nutrients	nongold
48	temperature is a measure of heat energy	nongold
49	low means down	nongold
50	texture is a kind of physical property	nongold
51	bodies of water are located on Earth's surface	nongold
52	under water means covered by water; in water	nongold
53	a riverbank is made of soil	nongold
54	friction is a kind of force	nongold
55	if something is permeable , then the water will flow through something easily	nongold
56	low is similar to decrease	nongold
57	abrasion is when rocks rub against each other	nongold
58	objects are made of materials; substances; matter	nongold
59	water  flows down a slope	nongold
60	a living thing is a kind of object	nongold
61	sand has a rough surface	nongold
62	to limit means to decrease	nongold
63	if something exists on a surface then that surface contains that something	nongold
64	if one surface; one substance; one object touches something then one is exposed to that something	nongold
65	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
66	generally means usually	nongold
67	a body of water contains water	nongold
68	if someone walks on a surface then that someone touches that surface	nongold
69	a surface is a part of a material	nongold
70	the slope of the land causes a river to flow in a particular direction	nongold
71	if the surface of an object contains something then that object is covered with that something	nongold
72	shallow means low  in  depth	nongold
73	motion is when moves an object; something to a direction	nongold
74	touching something means feeling that something	nongold
75	erosion causes a river to become deeper and wider	nongold
76	to touch means to contact	nongold
77	flat means level	nongold
78	a body of water is a source of water	nongold
79	found in means existing in	nongold
80	increase means more	nongold
81	gravel is a rough surface	nongold
82	to wash away is a kind of movement by moving water	nongold
83	lowering is a kind of motion	nongold
84	to slow; to slow down decreases speed	nongold
85	affected means changed	nongold
86	if something is soft , then that something is malleable	nongold
87	weathering is a kind of erosion	nongold
88	friction causes speed to decrease	nongold
89	high is similar to increase	nongold
90	typically means usually	nongold
91	surfaces sometimes cause objects to break	nongold
92	flowing liquid can push objects	nongold
93	low means low in elevation; height; altitude	nongold
94	friction converts mechanical energy into heat energy	nongold
95	flowing is a kind of action	nongold
96	a body of water is a kind of land feature	nongold
97	moisture means liquid; liquid water	nongold
98	a liquid is a kind of substance	nongold
99	an increase is the opposite of a decrease	nongold
