Question	A class planted trees and shrubs in an empty dirt lot beside the school. The roots of the plants can help protect the soil. The soil is most likely being protected from what?	question
Answer	wind erosion	answer
0	soil erosion is when wind; moving water; gravity move soil from fields; environments	nongold
1	erosion usually causes harm to the environment	nongold
2	soil erosion means soil loss through wind;water; animals	gold
3	tree roots reduce soil erosion	nongold
4	erosion of soil has a  negative impact on the environment; soil quality	gold
5	wind causes erosion	nongold
6	In the erosion process roots of plants are an inhibitor	gold
7	being exposed to wind; water; animals; heat can cause erosion of soil; of rocks	nongold
8	roots are a part of a plant; tree	nongold
9	protecting something means preventing harm to that something	gold
10	wind and rain; storms cause erosion	nongold
11	harming something has a  negative impact on; effect on that something	gold
12	protection means resistance to damage increases	nongold
13	a root is a kind of object	nongold
14	if a plant is planted; growing somewhere then that plant is located there	nongold
15	grass roots reduce soil erosion	nongold
16	protecting nature has a positive impact on the environment	nongold
17	protecting a living thing has a  positive impact on that living thing's survival; health	nongold
18	harming an environment causes harm to the living things; to the organisms in that environment	nongold
19	damage means harm	nongold
20	a tree is a kind of plant	nongold
21	a tree is a kind of living thing	nongold
22	rain causes erosion	nongold
23	planting trees has a  positive impact on an ecosystem	nongold
24	dirt means soil	nongold
25	soil erosion is a kind of slow; natural process	nongold
26	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
27	to protect means to defend	nongold
28	helping something has a  positive impact on that something	nongold
29	soil is usually part of an environment	nongold
30	a plant is a kind of living thing	nongold
31	wind carries; transports sand; dirt from one place to another place	nongold
32	planting trees is sometimes a human activity	nongold
33	something harmful can cause harm	nongold
34	something hard; something strong can be used for protection	nongold
35	damage has a negative impact on a thing	nongold
36	planting trees is the opposite of cutting down trees	nongold
37	a plant is a kind of organism	nongold
38	destroying something causes harm to that something	nongold
39	a plant requires soil for survival; to grow	nongold
40	to be used  for something means to help to do that something	nongold
41	a shrub is a kind of plant	nongold
42	plants are a part of the environment	nongold
43	adverse effect means negative impact	nongold
44	when deforestation increases , soil erosion increases	nongold
45	erosion; storms can cause a landslide	nongold
46	to help; to benefit means to be of use	nongold
47	soil erosion is a kind of event	nongold
48	roots hold soil in place	nongold
49	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
50	trees reduce wind force	nongold
51	a plant's  roots slowly break down rocks as the roots grow	nongold
52	erosion sometimes decreases the amount of nutrients in soil	nongold
53	erosion is a kind of process	nongold
54	erosion is a kind of change	nongold
55	a lot means large in amount; quantity	nongold
56	weathering; erosion usually occurs over a period of many years	nongold
57	harm means danger	nongold
58	inhibitor means something that prevents something from happening	gold
59	to protect means to make safe	nongold
60	negative impact is the opposite of positive impact	nongold
61	roots are a vehicle for absorbing water and nutrients from soil into the plant	nongold
62	overgrazing increases soil erosion	nongold
63	to keep something from happening means to prevent that something	nongold
64	vegetation means plants	nongold
65	planting is a kind of human action	nongold
66	a tree is a source of shelter; food for birds; animals in an ecosystem	nongold
67	a tree is a kind of habitat	nongold
68	shelter can protect animals;humans from weather	nongold
69	fire causes harm to trees; to forests; to living things	nongold
70	something dangerous can cause harm	nongold
71	covering something is a kind of protection	nongold
72	An example of protecting the environment is creating protected areas	nongold
73	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
74	planting native plants has a  positive impact on an ecosystem	nongold
75	a positive impact is a helpful effect	nongold
76	helping means something can be done; completed more easily; better	nongold
77	erosion is a kind of destructive force	nongold
78	a stem is often a part of plant	nongold
79	weathering is a kind of erosion	nongold
80	soil contains water; humus; weathered rocks; organic matter	nongold
81	to help means to aid	nongold
82	harming an organism can cause that organism to die	nongold
83	if a tree is cut down then that tree will die	nongold
84	killing means harming something causing death	nongold
85	an environment means an area	nongold
86	a negative impact is a kind of consequence; risk	nongold
87	soil is formed by weathering	nongold
88	safe is the opposite of unsafe; harm; danger	nongold
89	impact means effect	nongold
90	an environment is a kind of place	nongold
91	pollution has a negative impact on the environment; air quality; water quality; society	nongold
92	burning a living thing usually causes harm to that living thing	nongold
93	organisms are a part of an environment	nongold
94	good means positive	nongold
95	if a living thing requires something then that something has a positive impact on that living thing	nongold
96	person is synonymous with human	nongold
97	soil is formed by rocks eroding	nongold
98	best means most positive	nongold
99	absorbing something harmful has a negative impact on a thing	nongold
