Question	All animals need food to survive. Immediately after an animal eats food, the food is	question
Answer	digested into simpler substances	answer
0	eating;digestion is when an organism takes in nutrients from food into itself by eating	gold
1	nutrients are simpler than food	gold
2	an animal; living thing requires nutrients for survival	nongold
3	an animal needs to eat food for nutrients	nongold
4	food is what an animal eats	nongold
5	to depend on; to rely on; to need means to require	nongold
6	diet means what an animal eats	nongold
7	nutrients are a kind of substance	gold
8	to eat means to consume food	nongold
9	a food contains nutrients for living things	nongold
10	an animal is a kind of living thing	nongold
11	an organism is a living thing	nongold
12	the breaking down of food into simple substances occurs in the digestive system	nongold
13	food is a kind of substance	nongold
14	an animal is a kind of organism	nongold
15	survive means live	nongold
16	survive means live	nongold
17	a living thing is a kind of object	nongold
18	digestion is a kind of bodily process	nongold
19	a plant; living thing requires food for survival	nongold
20	living things eat their food source	nongold
21	life means living things	nongold
22	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
23	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	nongold
24	survival means to survive	nongold
25	nutrients are a kind of matter	nongold
26	a human is a kind of animal	nongold
27	organisms mean life	nongold
28	dying is the opposite of living; surviving	nongold
29	death means to die	nongold
30	living things all require energy for survival	nongold
31	food is a kind of object	nongold
32	substances are made of matter	nongold
33	to digest means to break down food	nongold
34	digestion is when food is absorbed into the blood stream	nongold
35	requiring is similar to needing help	nongold
36	a plant is a kind of organism	nongold
37	requiring something means needing that something	nongold
38	objects are made of materials; substances; matter	nongold
39	an increase is the opposite of a decrease	nongold
40	deplete is similar to decrease	nongold
41	digestion is when stomach acid breaks down food	nongold
42	eating an animal; a plant means killing that animal; that plant	nongold
43	to add means to increase	nongold
44	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
45	matter; materials; substances are made of atoms; particles	nongold
46	an organism eating is a kind of action	nongold
47	nutrients are a kind of material	nongold
48	a process usually requires all of the stages in that process	nongold
49	prey  is a kind of animal	nongold
50	what something needs is a property of that something	nongold
51	a nutrient is a kind of object	nongold
52	material means substance	nongold
53	nonliving; non-living; die is the opposite of living; alive; live	nongold
54	all living things have life cycles	nongold
55	high is similar to increase	nongold
56	live means to be alive	nongold
57	a vegetable is a kind of food	nongold
58	answering questions requires information	nongold
59	prey is a kind of food for predators	nongold
60	metabolism is the sum of all chemical reactions in an animal's body	nongold
61	low is similar to decrease	nongold
62	when an animal eats or drinks something , that animal tastes that something	nongold
63	if something causes a process then that something is required for that process	nongold
64	a part of a process means a stage in a process	nongold
65	a vegetable is a kind of plant	nongold
66	a plant is a kind of living thing	nongold
67	if an organism makes food for itself then that organism does not need to eat other organisms	nongold
68	a process is a kind of event	nongold
69	meat means dead animal for eating	nongold
70	quickly means in a short period of time	nongold
71	person is synonymous with human	nongold
72	substances are made of molecules	nongold
73	a source of something emits; produces; generates; provides that something	nongold
74	meat is a kind of food	nongold
75	a stomach is a part of a human's; animal's digestive system for the digestion of proteins	nongold
76	a nutrient is a kind of chemical compound	nongold
77	decomposition is a kind of process	nongold
78	an event is a kind of action	nongold
79	affected means changed	nongold
80	if something is made of something; a material then that something contains that something; that material	nongold
81	provide is similar to give; make	nongold
82	heat means heat energy	nongold
83	food contains carbohydrates	nongold
84	digestion of proteins occurs in the stomach; small intestine	nongold
85	if an organism eats something then that something is a source of frood to that organism	nongold
86	the body is a part of an organism	nongold
87	cellular respiration is cellular digestion	nongold
88	an animal is a kind of consumer	nongold
89	if an animal eats another animal then that animal is a carnivore or omnivore or predator	nongold
90	made up of means contains; made of	nongold
91	dead organisms are the source of nutrients for decomposers	nongold
92	an increase is a kind of change	nongold
93	if a living thing dies then that living thing is dead	nongold
94	a reptile is a kind of animal	nongold
95	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
96	a liquid is a kind of substance	nongold
97	to be used for something means to be required by that something	nongold
98	a decomposer is a kind of living thing	nongold
99	gas is a kind of substance	nongold
