Question	Which will most likely cause a decrease in predator populations?	question
Answer	a decrease in prey populations	answer
0	as  population of prey decreases , the population of predators will  decrease	gold
1	as population of predators increases , the population of prey will decrease in an environment	nongold
2	as population of predators decreases , the population of prey will increase in an environment	nongold
3	a predator is a kind of animal	gold
4	prey  is a kind of animal	nongold
5	to reduce means to decrease	nongold
6	predators eat prey	gold
7	a decrease is a kind of change	nongold
8	as the population of an animal decreases , the population of that animal's source of food will decrease	nongold
9	as the cause of something decreases , that something will decrease	nongold
10	harming an animal species causes that animal's population to decrease	gold
11	a predator eats other animals for food	nongold
12	to lower means to decrease	nongold
13	an animal is a kind of living thing	nongold
14	an animal is a kind of organism	gold
15	an increase is the opposite of a decrease	nongold
16	an increase is a kind of change	nongold
17	an organism is a living thing	gold
18	prey is a kind of food for predators	nongold
19	as the rate of  reproduction decreases , the population will decrease	nongold
20	negative impacts on a species will decrease populations of a species	nongold
21	as the amount of a source of something decreases , the amount of that something will decrease	nongold
22	if an animal eats another animal then that animal is a carnivore or omnivore or predator	nongold
23	killing means harming something causing death	nongold
24	food supply often limits predator population size in an ecosystem	nongold
25	if a new predator begins eating prey then the population of that prey will decrease	nongold
26	most predators live in; live near the same environment as their prey	nongold
27	killing a living thing decreases the number; population size of that living thing	nongold
28	positive impacts on a species will increase populations of a species	nongold
29	if the population of an organism increases then the ecosystem may become overpopulated with that organism	nongold
30	as the number of sources of food increase in an environment , the population of the organisms will increase in that environment	nongold
31	to prey on an animal means to eat that animal	nongold
32	a fish is a kind of predator	nongold
33	a predator usually kills its prey to eat it	nongold
34	organisms are a part of an environment	nongold
35	increase means more	nongold
36	an animal; living thing requires nutrients for survival	gold
37	humans changing an environment causes animal populations to decrease in that environment	nongold
38	a predator is a kind of enemy to its prey	nongold
39	harming an animal species has a  negative impact on the population size of that species	nongold
40	carnivores; omnivores are predators	nongold
41	as the supply of food in an environment decreases , the population of animals in that environment will decrease	nongold
42	causing is a kind of affecting	nongold
43	to change means to cause a change	nongold
44	as the population of plants decreases , the population of herbivores will decrease	nongold
45	as the population of insects decreases , the population of lizards will likely decrease because lizards eat insects	nongold
46	a source of something increases the amount of that something	nongold
47	a mammal is a kind of animal	nongold
48	reducing is a kind of change	nongold
49	an event is a kind of action	nongold
50	a reptile is a kind of animal	nongold
51	a population is made of one type of organism in an area	nongold
52	to impact means to affect	nongold
53	an insect is a kind of prey	nongold
54	population increase means more survive	nongold
55	less is similar to decrease	nongold
56	change is a kind of impact	nongold
57	eating something decreases the amount of that something	nongold
58	population is a measure of the number of a species in an environment	nongold
59	avoiding predators has a positive impact on prey's; an organism's survival; health; ability to reproduce	nongold
60	an hawk is a kind of predator	nongold
61	to be a source of something means to cause that something	nongold
62	predators; carnivores; omnivores eat other animals	nongold
63	a living thing is a kind of object	nongold
64	to cause means to have an effect	nongold
65	as a resource required by an organism decreases , the population of that organism will decrease	nongold
66	as the population of prey decreases , competition between predators will increase	nongold
67	a worm is a kind of animal	nongold
68	an eagle is a kind of predator	nongold
69	affected means changed	nongold
70	if the amount of; quantity of something stops decreasing then the amount of; quantity of that something may  increase	nongold
71	when an animal moves away from an area then the population of that animal decreases in that area	nongold
72	harming something has a  negative impact on; effect on that something	gold
73	if an organism dies then the population of that organism will decrease	nongold
74	to decline means to decrease	nongold
75	to cause something means to contribute to that something happening	nongold
76	some predators move  quickly to  catch prey	nongold
77	high is similar to increase	nongold
78	if an organism eats something then that something is a source of frood to that organism	gold
79	low is similar to decrease	nongold
80	to cause an event means to make that event more likely	nongold
81	eating prey requires catching prey	nongold
82	an animal needs to eat food for nutrients	nongold
83	a worm is a kind of living thing	nongold
84	some birds are predators	nongold
85	a plant; living thing requires food for survival	nongold
86	a panther is a kind of predator	nongold
87	death means to die	nongold
88	to limit means to decrease	nongold
89	as a population of organisms increases , the resources used by those organisms will decrease	nongold
90	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
91	if there is a loss of something then that something decreases	nongold
92	a source of something emits; produces; generates; provides that something	nongold
93	impact means effect	nongold
94	a change is a kind of event	nongold
95	as the size of a source of something increases , the amount of the something that that source produces will decrease	nongold
96	if something releases something else then that something else decreases in that something	nongold
97	become prey means get eaten	nongold
98	as available resources increases , the population of an organism that uses those resources will increase	nongold
99	an organism eating is a kind of action	nongold
