Question	Two pool	question
Answer	balance.	answer
0	a balance is used for measuring mass;weight of an object; of a substance	nongold
1	a pool is a kind of body of water	nongold
2	a balance is a kind of instrument for measuring mass; measuring weight	nongold
3	a pool ball; billiard ball is a kind of ball	gold
4	pool balls; billiard balls are found on the felt of a pool table; of a billiards table	gold
5	a pool table; billiards table has a felt surface	gold
6	one in  two means half; 50%	nongold
7	pair means two	nongold
8	both means two	nongold
9	a swimming pool contains water	nongold
10	a liquid is a kind of substance	nongold
11	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
12	timing; multiplying is a kind of calculating	nongold
13	unbalanced is the opposite of balanced	nongold
14	four is a kind of number	nongold
15	single means one	nongold
16	level is similar to amount; quantity	nongold
17	percents; ratios are a kind of data	nongold
18	calculation means measurement	nongold
19	pair is a kind of combination	nongold
20	water is a kind of object	nongold
21	water is a kind of liquid at room temperature	nongold
22	product means result	nongold
23	quantity means amount	nongold
24	a  solution  is a kind of object	nongold
25	less is the opposite of more	nongold
26	higher means greater; above in value; amount; number	nongold
27	water is a kind of matter	nongold
28	provide is similar to give; make	nongold
29	to add means to increase	nongold
30	answering questions requires information	nongold
31	experiment is synonymous with test	nongold
32	can be means able to be	nongold
33	a product is a kind of object	nongold
34	to input means to add	nongold
35	material means substance	nongold
36	an object is an item	nongold
37	variable means able to change	nongold
38	water is a kind of substance	nongold
39	one is a kind of number	nongold
40	to add means to combine	nongold
41	high is similar to increase	gold
42	amount is similar to number	nongold
43	objects are made of materials; substances; matter	nongold
44	to be a combination of means to be made of	nongold
45	to measure means to calculate	nongold
46	motion; movement means moving; to move	nongold
47	plus means to combine	nongold
48	obtain is similar to receive	nongold
49	less means a reduced amount	nongold
50	weight is a property of objects; matter	nongold
51	25% probability is similar to one in four	nongold
52	result means outcome	nongold
53	matter; materials; substances are made of atoms; particles	nongold
54	a type is synonymous with a kind	nongold
55	accounting for means making up some amount	nongold
56	a source of something emits; produces; generates; provides that something	nongold
57	form means kind	nongold
58	two objects are usually different in size	nongold
59	must have means require	nongold
60	affected means changed	gold
61	a ratio is a measure of  one value divided by another value	nongold
62	a table is a kind of object	nongold
63	greatest means largest; highest; most amount of something	nongold
64	definite is the opposite of variable	nongold
65	double is a kind of increase	nongold
66	substances are made of matter	nongold
67	liquid is a kind of state of matter	nongold
68	to be formed by is to be the result of	nongold
69	length is a part of size	nongold
70	particles in objects are a kind of matter	nongold
71	receive means get	nongold
72	temperature is a measure of heat energy	nongold
73	a liquid is a kind of fluid	nongold
74	lowest means least in value; amount; number	nongold
75	largest amount means most	nongold
76	system means a set of objects	nongold
77	to produce means to result in	nongold
78	a human is a kind of animal	nongold
79	temperature is a measure of kinetic energy of molecules	nongold
80	better means good	nongold
81	a pool of muddy water contains mud	nongold
82	a cube is a kind of object	nongold
83	to round means to make more round	nongold
84	a drop is a kind of liquid small amount	nongold
85	a piece is a part of a whole	nongold
86	greater means higher; more in value	nongold
87	a ratio is a measure of one measure over another measure; divided by another measure	nongold
88	least is the opposite of greatest	nongold
89	an mixture is formed by two or more substances combined together physically	nongold
90	H2O means water	nongold
91	a container contains objects; material; substances	nongold
92	solution is a kind of liquid	nongold
93	a ball is a kind of object	gold
94	an increase is a kind of change	gold
95	a weight is a kind of object	nongold
96	transferring is similar to giving	nongold
97	as amount; size of something increases , the intensive properties of that something will not change	nongold
98	a circle graph; pie graph can be used to display percents; ratios	nongold
99	a surface is a part of an object	gold
