Question	A student adds sugar, spices, and salt to a bowl of peanuts and stirs them together. What has the student made?	question
Answer	a mixture	answer
0	peanut is a kind of food	gold
1	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
2	a student is a kind of human	nongold
3	a bowl is a kind of container	nongold
4	a mixture is a kind of substance	nongold
5	sugar is a kind of food	nongold
6	a solution is a kind of mixture	nongold
7	an mixture is formed by two or more substances combined together physically	gold
8	salt is a kind of pure substance	gold
9	sugar is a kind of solid	nongold
10	if a spoon; an object is used to stir a liquid; mixture then that spoon; that object is touching that liquid; that mixture	nongold
11	An example of a mixture is salt shaken with pepper	nongold
12	sugar is a kind of pure substance	gold
13	salt is a kind of solid	nongold
14	spices are a kind of material	nongold
15	a human is a kind of animal	nongold
16	stirring is a kind of first-	nongold
17	to be a combination of means to be made of	nongold
18	make means produce	nongold
19	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
20	to add means to combine	nongold
21	table salt is a kind of salt	nongold
22	a liquid is a kind of substance	nongold
23	providing something means making;delivering something	nongold
24	person is synonymous with human	nongold
25	provide is similar to give; make	nongold
26	sugar causes food to taste sweet	nongold
27	made of is similar to contains	nongold
28	sugar dissolves in water when they are combined	nongold
29	sugary means high in sugar	nongold
30	adding heat means increasing temperature	nongold
31	a container contains objects; material; substances	nongold
32	a beverage is a kind of food	nongold
33	a dessert is a kind of food	nongold
34	adding salt to a liquid decreases the melting point of that liquid	nongold
35	stirring is when something moves an object in a circular motion for mixing	nongold
36	to add means to increase	nongold
37	a source of something emits; produces; generates; provides that something	nongold
38	food is a kind of substance	nongold
39	a compound is a kind of substance	nongold
40	sugar is a kind of  simple carbohydrate	nongold
41	heat means heat energy	nongold
42	answering questions requires information	nongold
43	a vegetable is a kind of food	nongold
44	a solution is made of one substance dissolved in another substance	nongold
45	a solution is formed by one substance being dissolved in another substance	nongold
46	to create means to make	nongold
47	dough is a kind of mixture of sugar, butter, flour and salt	nongold
48	plants are the source of spices	nongold
49	cooking food requires adding heat energy to the food	nongold
50	made up of means contains; made of	nongold
51	manufacture means make	nongold
52	sweet is a kind of flavor	nongold
53	to eat means to consume food	nongold
54	an animal is a kind of organism	nongold
55	salad  is a kind of mixture	nongold
56	if a substance is dissolved in another substance then that substance is added to that other substance	nongold
57	table sugar is a kind of sugar	nongold
58	animals taste flavors	nongold
59	a food contains nutrients for living things	nongold
60	composed of means made of	nongold
61	products are formed; are produced; are created	nongold
62	when an animal eats or drinks something , that animal tastes that something	nongold
63	soup is a kind of liquid	nongold
64	baking is when a human makes food by adding heat	nongold
65	purity is a property of substance and includes ordered values of pure substance; mixture	nongold
66	a compound is a kind of material	nongold
67	to be made of means to consist of	nongold
68	if food is cooked then heat energy is added to that food	nongold
69	contents means the substance in a container	nongold
70	a component means a part of	nongold
71	to serve as means to be used as	nongold
72	a person is a kind of animal	nongold
73	all elements are a kind of pure substance	nongold
74	a vegetable is a kind of plant	nongold
75	An example of combining two substances is pouring one substance into the other substance	nongold
76	to cause means to make	nongold
77	synthesize means to make	nongold
78	creating means making	nongold
79	a mixture usually is made of objects with different physical properties	nongold
80	a product is a kind of object	nongold
81	a beverage is a kind of liquid	nongold
82	a solid is a kind of substance	nongold
83	salt is soluble in water	nongold
84	an animal is a kind of living thing	nongold
85	nut is a kind of  food	nongold
86	objects are made of materials; substances; matter	nongold
87	spice is a kind of  food	gold
88	snacks often are made of more than one substances	nongold
89	a component of something means a part of that something	nongold
90	variety means different kinds; different types	nongold
91	a piece is a part of a whole	nongold
92	pepper is a kind of substance	nongold
93	a type is synonymous with a kind	nongold
94	to make means to invent	nongold
95	candy is a kind of dessert	nongold
96	to make means to form	nongold
97	production is similar to making	nongold
98	to be made of something means to be formed of that something	nongold
99	temperature is a measure of heat energy	nongold
