Question	Rocks that contain fragments of bones, shells, and plant remains are most likely	question
Answer	sedimentary.	answer
0	sedimentary is a kind of rock	gold
1	bones can be fossilized	gold
2	nearly all fossils are found in sedimentary rock	gold
3	sedimentary rocks are made of small particles	nongold
4	sedimentary rocks are formed by deposition; cementation	nongold
5	fossils are formed when layers of sediment cover the remains of organisms over time	nongold
6	sedimentary rocks are formed by sediment; materials that settle compacting; cementing together	nongold
7	An example of a fossil is the bones of an extinct animal	nongold
8	shells can be fossilized	nongold
9	a shell is a kind of fossil	gold
10	made up of means contains; made of	nongold
11	a bone is a part of some animals	gold
12	sediment is formed from rock	nongold
13	a shell is a part of some animals	gold
14	only fossils formed from organisms that lived in the sea are found in the oldest layers of sedimentary rock	nongold
15	including means containing	nongold
16	organisms can be preserved in sedimentary rock	nongold
17	a rock is usually a solid	nongold
18	remains mean parts of a dead organism	nongold
19	remains is similar to dead organisms	nongold
20	rock is a kind of material	nongold
21	class is a property of a rock and includes values of sedimentary; metamorphic; igneous	nongold
22	if something is a part of something else then that something else contains that something	nongold
23	plants can be fossilized	gold
24	sediment is a kind of matter	nongold
25	sediment is formed by weathering	nongold
26	fossil means preserved remains of ancient organisms	gold
27	contains means located in	nongold
28	made of is similar to contains	nongold
29	to contain something means to have that something	nongold
30	to be filled with means to contain	nongold
31	if fossils of a water animal or plant are found in a place then that place used to be covered by water in the past	nongold
32	to be found in means to be contained in	gold
33	an object is made of its parts	nongold
34	a plant is a kind of organism	nongold
35	a rock is a kind of object	nongold
36	to contain means to have inside	nongold
37	if fossils of an animal or plant are found in a place then that animal or plant used to live in that place	nongold
38	if something is a source of something else then that something usually contains that something else	nongold
39	to break down means to break into smaller pieces	nongold
40	bone is hard	nongold
41	if something is made of something; a material then that something contains that something; that material	nongold
42	a mollusk is a kind of animal	nongold
43	a bone is a part of a body	nongold
44	to be made of means to consist of	nongold
45	plant parts are made of plants	nongold
46	a dinosaur is a kind of extinct animal	nongold
47	rock is made of minerals	nongold
48	landform means surface feature; physical feature; land feature	nongold
49	composed of means made of	nongold
50	rock means stone	nongold
51	sediment falls to the bottom of bodies of water	nongold
52	rocks often contain large amounts of metal	nongold
53	an animal is a kind of living thing	gold
54	if something is made of something else then that something can be broken down into that something else	nongold
55	sedimentary rocks are often light brown in color	nongold
56	if something does not contain something else then that something lacks that something else	nongold
57	a plant is a kind of living thing	gold
58	sedimentary rocks often have different colored layers	nongold
59	a structure of something is synonymous with a part of that something	nongold
60	most means over 50% of something	nongold
61	metamorphosed rock is a kind of rock	nongold
62	a component means a part of	nongold
63	a landform is a kind of natural formation	nongold
64	containing something is similar to holding something	nongold
65	if something absorbs something else then that something will contain that something else	nongold
66	the parts of something make up that something	nongold
67	a trilobite is a kind of water animal	nongold
68	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
69	prehistoric means before 300000000 years ago	nongold
70	preserved means from the past; from long ago	nongold
71	break down means change from a whole into pieces	nongold
72	class is a measure of how a rock is formed	nongold
73	a type is synonymous with a kind	nongold
74	if something is a part of something then that something can be found in that something	nongold
75	rock is a kind of nonliving thing	nongold
76	no longer means used to be	nongold
77	shale is a kind of sedimentary rock	nongold
78	a component of something means a part of that something	nongold
79	if an object is made of something then the parts of that object are made of that something	nongold
80	rocks sometimes contain aluminum	nongold
81	an animal is a kind of organism	nongold
82	a living thing is a kind of object	nongold
83	environments changing can cause layers of rock that are near each other or on top of each other to have different amounts of fossils; different kinds of rock	nongold
84	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
85	classifying is when one sorts something by kind; type	nongold
86	piles of rock are a kind of landform	nongold
87	sediment is similar to soil	nongold
88	contain is similar to store	nongold
89	rocks sometimes contain iron	nongold
90	different classes of rocks are formed by different methods	nongold
91	objects are made of materials; substances; matter	nongold
92	to create means to make	nongold
93	dead plants means dead plant material	nongold
94	answering questions requires information	nongold
95	a piece of something is a kind of object	nongold
96	weathering; erosion usually occurs over a period of many years	nongold
97	limestone is a kind of sedimentary rock	nongold
98	a pebble is a kind of small rock	nongold
99	a source of something emits; produces; generates; provides that something	nongold
