Question	Which behavior is an example of an animal adapting to a change in the environment?	question
Answer	a bird migrating south	answer
0	adapting is when a living thing responds to a change in an environment	nongold
1	An example of migration is birds flying south in the winter	gold
2	north is the opposite of south	nongold
3	migration is a kind of behavior	gold
4	an adaptation is a kind of change	nongold
5	north; northward is a kind of direction	nongold
6	south; southward is a kind of direction	gold
7	migration is a kind of adaptation	gold
8	a bird is a kind of animal	gold
9	a bird is a kind of living thing	nongold
10	motion is when moves an object; something to a direction	gold
11	a kind of something is an example of that something	nongold
12	an animal is a kind of living thing	nongold
13	animals adapt to their environment	nongold
14	changes in an environment cause animals; plants to adapt to survive	nongold
15	an environment means an area	nongold
16	as a person in the northern hemisphere moves south , distance from the equator will decrease	nongold
17	An example of an adaptation is moving fast	nongold
18	an animal is a kind of organism	nongold
19	a chicken is a kind of bird	nongold
20	living in an environment causes an organism to adapt to that environment	nongold
21	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
22	adaptations are used for survival	nongold
23	when an animal moves away from an area then the population of that animal decreases in that area	nongold
24	away is a kind of direction	nongold
25	an adaptation  is  a change in a population over successive generations that  helps  individuals organisms in that population to  survive; reproduce	nongold
26	toward is a kind of direction	nongold
27	actions mean behavior	nongold
28	adapt is similar to evolve	nongold
29	a human is a kind of animal	nongold
30	an environment is a kind of place	nongold
31	a living thing is a kind of object	nongold
32	an increase is a kind of change	nongold
33	toward is the opposite of away	nongold
34	if a living thing requires something then that something has a positive impact on that living thing	nongold
35	far means great in distance	nongold
36	migration is an instinctive behavior	nongold
37	An example of migration is moving to a warmer climate in the winter	nongold
38	an organism is a living thing	nongold
39	a behavior is a kind of characteristic	nongold
40	animals usually distance themselves from humans	nongold
41	near; close is the opposite of far; away	nongold
42	an adaptation is a kind of characteristic	nongold
43	distant means far away	nongold
44	organisms are a part of an environment	nongold
45	migration is when animals move to different locations in an annual cycle	gold
46	a change is a kind of event	nongold
47	adaptation is when an organism develops a trait over time for survival	nongold
48	an adaptation is an adaptive feature	nongold
49	An example of an adaptation for flight in birds is feathers; wings; hollow bones	nongold
50	an animal; living thing requires nutrients for survival	nongold
51	South America is a kind of continent	nongold
52	migration is when animals move themselves from a cooler climate to a warmer climate for the winter	gold
53	An example of an environment is a forest; a river; a grassland; an ocean	nongold
54	an insect is a kind of animal	nongold
55	the Southern Hemisphere is located south of the Northern Hemisphere	nongold
56	humans changing animal habitats usually causes harm to those animals	nongold
57	down is a kind of direction	nongold
58	humans changing ecosystems;environments usually has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
59	change is a kind of impact	nongold
60	humans building homes; roads in an ecosystem; in an environment causes that ecosystem; that environment to change	nongold
61	walking is a kind of behavior	nongold
62	upward is a kind of direction	nongold
63	some birds are predators	nongold
64	downward is a kind of direction	nongold
65	an environment is similar to an ecosystem	nongold
66	humans changing an environment causes animal populations to decrease in that environment	nongold
67	an event is a kind of action	nongold
68	Behavioral adaptation is a behavioral change in a population over successive generations that  helps individual organisms in that population to  survive; reproduce	nongold
69	as distance from a source of something increases , that something will decrease	nongold
70	a motion is a kind of event; action	nongold
71	affected means changed	nongold
72	an animal requires energy to move	nongold
73	distant means great in distance	nongold
74	becoming is similar to changing	nongold
75	habitat is similar to environment	nongold
76	animals learn some behaviors from watching their parents	nongold
77	moving away from the source increases the distance	nongold
78	motion; movement means moving; to move	nongold
79	change is a kind of process	nongold
80	well-suited is similar to adapted	nongold
81	moving is similar to travelling	nongold
82	a decrease is a kind of change	gold
83	animals; living things live and feed in their habitats; near their habitats	nongold
84	a process is a kind of event	nongold
85	variable means able to change	nongold
86	distance moved; distance travelled is a measure of how far an object moves	nongold
87	to modify means to change	nongold
88	movement is a kind of change	nongold
89	helping something has a  positive impact on that something	nongold
90	a source of something emits; produces; generates; provides that something	nongold
91	a mammal is a kind of animal	nongold
92	harming something has a  negative impact on; effect on that something	nongold
93	surroundings means environment	nongold
94	life means living things	nongold
95	to change means to have an effect	nongold
96	an increase is the opposite of a decrease	nongold
97	to depend on; to rely on; to need means to require	nongold
98	action can cause change	nongold
99	to impact means to affect	nongold
