Question	Which of the following human traits is least likely to be inherited?	question
Answer	fingerprints	answer
0	fingerprints are usually unique	gold
1	a fingerprint is small in size	nongold
2	a finger is a part of a hand	nongold
3	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	gold
4	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
5	least is the opposite of most	nongold
6	an inherited characteristic is a kind of characteristic	nongold
7	identical means copy	gold
8	trait is synonymous with characteristic	gold
9	a human is a kind of animal	nongold
10	human is a kind of organism	nongold
11	least is the opposite of greatest	nongold
12	less is the opposite of more	nongold
13	personality is an acquired characteristic	nongold
14	the colors of parts of an organism are inherited characteristics	nongold
15	unique  is the opposite of diverse	gold
16	an animal is a kind of organism	nongold
17	intelligence is an acquired characteristic	nongold
18	an animal is a kind of living thing	nongold
19	senses are an inherited characteristic	nongold
20	color is a property of  an object; a material	nongold
21	fewer means lower; less in number	nongold
22	a type is synonymous with a kind	nongold
23	what an object is made of is a kind of characteristic	nongold
24	human is similar to individual	nongold
25	the color of; coloration of fur is an inherited characteristic	nongold
26	characteristic means property	nongold
27	often is similar to likely	nongold
28	a part of something means a characteristic of something	nongold
29	lower means less	nongold
30	genetic; hereditary means of genes; heredity	nongold
31	an organism is a living thing	nongold
32	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
33	lowest means least in value; amount; number	nongold
34	offspring receive genes from their parents through inheritence; DNA; sexual reproduction	nongold
35	less is similar to decrease	nongold
36	children; young is synonymous with offspring	nongold
37	person is synonymous with human	nongold
38	a learned characteristic is a kind of acquired characteristic	nongold
39	the condition of parts of an organism are acquired characteristics	nongold
40	eye color is an inherited characteristic	nongold
41	if something is copied then that something will be the same; similar; identical	nongold
42	the shape of body parts is an inherited characteristic	nongold
43	trait means property	nongold
44	genes are able to determine the inherited characteristics of a living thing	nongold
45	blood type is an inherited characteristic	nongold
46	shortest means least; smallest in length	nongold
47	style is an acquired characteristic	nongold
48	the number of body parts of an organism is an inherited characteristic	nongold
49	a living thing is a kind of object	nongold
50	a human is a kind of mammal	nongold
51	the length of body parts is an inherited characteristic	nongold
52	inherited characteristics are a kind of hereditary information	nongold
53	not is similar to the opposite of	nongold
54	identical is the opposite of different	nongold
55	the size of an organism is an inherited characteristic	nongold
56	An example of biometric authentication is using fingerprints for identification	nongold
57	color is a kind of physical; visual property	nongold
58	identifying is similar to determining	nongold
59	feature is synonymous with characteristic	nongold
60	genes is a vehicle for passing inherited characteristics from parent to offspring	nongold
61	species is an inherited characteristic	nongold
62	each is similar to individual	nongold
63	a face is often a part of an animal	nongold
64	similarity means the same property	nongold
65	to be characterized by  a property means to have that property	nongold
66	answering questions requires information	nongold
67	the properties of something can be used to identify; used to describe that something	nongold
68	the inherited characteristics of the parents can be used to predict inherited characteristics of the offspring	nongold
69	coloration means a thing's color	nongold
70	mammals is a kind of class	nongold
71	identifying sometimes requires examining	nongold
72	phenotype of an organism means the visible traits of  an organism	nongold
73	the thickness of the parts of an organism is an inherited characteristic	nongold
74	a scar is an acquired characteristic	nongold
75	coloration means a pattern of colors	nongold
76	a structure of something is synonymous with a part of that something	nongold
77	a Punnett square is used to show; identify; calculate the percent chance of a trait being passed down from a parent to its offspring	nongold
78	an ear is a kind of body part	nongold
79	classifying is when one sorts something by kind; type	nongold
80	fewest means lowest; least in number	nongold
81	smaller means less; lower in size	nongold
82	different is the opposite of the same	nongold
83	affected means changed	nongold
84	the head is a part of an animal	nongold
85	a child is a kind of young human	nongold
86	a plant is a kind of organism	nongold
87	to be made of something means to be formed of that something	nongold
88	a cat is a kind of animal	nongold
89	skills are learned characteristics; behaviors	nongold
90	a brain is a part of an animal	nongold
91	to impact means to affect	nongold
92	a hand is a part of the body	nongold
93	to change means to become different	nongold
94	offspring receives half of the genes from each parent	nongold
95	a dog is a kind of animal	nongold
96	an increase is the opposite of a decrease	nongold
97	information in an organism's chromosomes cause genetic traits to be passed down to that organism's offspring	nongold
98	most means over 50% of something	nongold
99	small is the opposite of large	nongold
