Question	Snapping a rubber band most likely produces which type of energy?	question
Answer	sound	answer
0	a rubber band snapping causes the particles in the rubber band to vibrate	gold
1	a type is synonymous with a kind	gold
2	a type of something is a kind of property of that something	nongold
3	a rubber band is a kind of object	gold
4	sound is a kind of energy	gold
5	sound is a kind of sound energy	nongold
6	sound means sound energy	nongold
7	a source of something emits; produces; generates; provides that something	nongold
8	when a rubber band is stretched , then the rubber band will gain potential energy	nongold
9	rubber is a kind of material	nongold
10	sound is produced when mechanical energy is transformed into sound energy	nongold
11	if something causes an increase in something else then that something produces that something else	nongold
12	when two objects are touched; are contacted; move against each other , sound is produced	nongold
13	chemical energy is a kind of energy	nongold
14	vibrating matter can produce sound	gold
15	heat is a kind of energy	nongold
16	rubber is a kind of solid	nongold
17	rubber is thermal;thermal energy insulator	nongold
18	make means produce	nongold
19	electrical energy is a kind of energy	nongold
20	generate means produce	nongold
21	rubber is usually flexible	nongold
22	a string is a part of a guitar for producing sound	nongold
23	producing is similar to causing	nongold
24	mechanical energy is a kind of energy	nongold
25	emit means produce	nongold
26	intense sound energy can move objects	nongold
27	electromagnetic energy is a kind of energy	nongold
28	converting is similar to producing	nongold
29	thermal energy is a kind of energy	nongold
30	if something generates energy for something else then that something powers that something else	nongold
31	sound waves means sound energy	nongold
32	the kinetic energy of an object can change from kinetic energy to sound energy by hitting another object	nongold
33	playing music causes sound to be produced	nongold
34	friction converts mechanical energy into heat energy	nongold
35	energy transformation means one kind of energy changes into another kind of energy	nongold
36	a gripping force can be used to tighten a mechanical fastener	nongold
37	an animal requires energy to move	nongold
38	rubber is a kind of nonmetal	nongold
39	objects are made of materials; substances; matter	nongold
40	matter; molecules vibrating can cause sound	nongold
41	plucking; strumming a string can cause that string to vibrate	nongold
42	magnetic energy is a kind of energy	nongold
43	pulling is a kind of motion	nongold
44	conductivity is a property of a material; substance	nongold
45	a  rubber eraser is made of rubber	nongold
46	metal is a kind of material	nongold
47	a fixed vise exerts compression on a piece of wood	nongold
48	plastic is a kind of material made by humans	nongold
49	metal is usually flexible	nongold
50	musical instruments make sound when they are played	nongold
51	cutting an object requires mechanical force	nongold
52	to be formed by is similar to being produced by	nongold
53	volume; sound intensity is a property of sound; sound energy and includes ordered values of quiet; normal; loud	nongold
54	kinetic energy is a kind of mechanical energy	nongold
55	friction causes an object to lose energy	nongold
56	a human is a kind of animal	nongold
57	mechanical energy exerted by an object can be used to push or pull another object	nongold
58	to contribute is similar to produce	nongold
59	food is a kind of chemical energy	nongold
60	producing thrust causes something; an animal; an object to move	nongold
61	force requires energy	nongold
62	striking is a kind of movement	nongold
63	classifying is when one sorts something by kind; type	nongold
64	leather is a kind of material	nongold
65	nuclear energy is a kind of energy	nongold
66	sound wave is similar to sound	nongold
67	metal is an  electrical; electrical energy conductor	nongold
68	steel is a kind of metal	nongold
69	person is synonymous with human	nongold
70	if an object is made of a material then that object has the properties of that material	nongold
71	light is a kind of energy	nongold
72	light is a kind of energy	nongold
73	hammering an object requires movement	nongold
74	plastic is high in strength	nongold
75	sound waves transfer energy	nongold
76	rattle is a kind of motion	nongold
77	plastic is a kind of electrical insulator	nongold
78	causing is similar to generating	nongold
79	friction is a kind of force	nongold
80	producing is a kind of process	nongold
81	solar energy is a kind of energy	nongold
82	mechanical force is a kind of mechanical energy	nongold
83	as the force with which an object is touched increases , the amount of  mechanical energy converted to sound energy will increase	nongold
84	motion is a source of kinetic energy in an object	nongold
85	a tool is a kind of object	nongold
86	a string is a kind of object	nongold
87	sound energy is transferred by vibrational waves	nongold
88	a firecracker converts chemical energy into sound energy and light energy and heat energy	nongold
89	loud means high in sound energy;sound intensity	nongold
90	as a string of a musical instrument is plucked harder , the string will vibrate harder; faster	nongold
91	conductivity is a kind of physical property	nongold
92	green plants are a kind of producer	nongold
93	counter means reduce; stop; resist	nongold
94	snapdragon is a kind of plant	nongold
95	friction occurs when two object's surfaces move against each other	nongold
96	heat means heat energy	nongold
97	gloves often are made of rubber	nongold
98	motion; movement means moving; to move	nongold
99	materials are made of matter	nongold
