Question	Which physical structure would best help a bear to survive a winter in New York State?	question
Answer	thick fur	answer
0	a bear is a kind of animal	gold
1	helping means to assist in a change	nongold
2	a bear is a kind of predator	nongold
3	helping something has a  positive impact on that something	nongold
4	to help means to aid	nongold
5	New York; New York State is a state located in the United States of America	nongold
6	to help; to benefit means to be of use	nongold
7	best means most positive	nongold
8	some animals' fur grows thicker for staying warm in the winter	gold
9	thin means small in width	nongold
10	to be used  for something means to help to do that something	nongold
11	thickness is  a measure of how thick an object  is	nongold
12	coat means fur coat	nongold
13	fur is a covering around the body of an animal	nongold
14	fur is often part of an animal	gold
15	phase means state	nongold
16	an animal is a kind of living thing	gold
17	thick fur; thick feathers can be used for keeping warm	nongold
18	thickness is a property of an object and includes ordered  values of thin; thick	nongold
19	structure is a property of an object; a material; a substance	nongold
20	a polar bear requires a cold environment	nongold
21	requiring is similar to needing help	nongold
22	a structure is a kind of feature	nongold
23	a living thing is a kind of object	nongold
24	a polar bear is a kind of bear	nongold
25	hair; fur is  a part of skin for protection; keeping warm	nongold
26	a structure of something is synonymous with a part of that something	gold
27	protecting a living thing has a  positive impact on that living thing's survival; health	nongold
28	to enable is to help	nongold
29	an animal is a kind of organism	nongold
30	An example of a seasonal change is an animal growing thick fur for keeping warm in the winter	nongold
31	state means form	nongold
32	new means different from the former one	nongold
33	winter is a kind of season	nongold
34	when an animal sheds its fur , its fur becomes less dense	nongold
35	good means positive	nongold
36	snow is cold	nongold
37	frozen means solid	nongold
38	a part of a living thing is a natural structure	nongold
39	Physical adaptation; structural adaptation is a physical  change in a population over successive generations that  helps individual organisms in that population to  survive; reproduce	nongold
40	fur is usually soft in texture	nongold
41	snow is a kind of precipitation	nongold
42	polar bears live in cold environments	nongold
43	to make something easier means to help	nongold
44	physical state means state of matter	nongold
45	a state is a kind of place	nongold
46	snow is a kind of ice	nongold
47	fur is usually part of a mammal	nongold
48	survival means to survive	nongold
49	help means advantage	nongold
50	staying warm means keeping warm	nongold
51	if a living thing becomes too cold then that living thing will die	gold
52	the thickness of the parts of an organism is an inherited characteristic	nongold
53	a human is a kind of animal	nongold
54	survive means live	nongold
55	survive means live	nongold
56	winter has cold temperatures;weather	gold
57	a covering is a kind of object	nongold
58	winter is a part of the year	nongold
59	snow falls during the winter in the arctic environment	nongold
60	ice is cold in temperature	nongold
61	protecting something means preventing harm to that something	nongold
62	to be good for means to have a positive impact on	nongold
63	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
64	colder; cooler means lower in temperature	nongold
65	if a living thing requires something then that something has a positive impact on that living thing	nongold
66	keeping warm is the opposite of becoming  cold	nongold
67	better means good	nongold
68	state of matter means physical state	nongold
69	winter is the opposite of summer	nongold
70	harming something has a  negative impact on; effect on that something	nongold
71	become cold means get cold	nongold
72	summer is a kind of season	nongold
73	snow falls during the winter in some environments	nongold
74	a new season occurs once per 3.0 months	nongold
75	denser means more dense	nongold
76	dense means high in density	nongold
77	freezing means cold temperatures	nongold
78	staying warm has a positive impact on an animal's survival; health	gold
79	negative impact is the opposite of positive impact	nongold
80	an animal; living thing requires nutrients for survival	nongold
81	cooler means colder	nongold
82	having a positive impact on health; survival is synonymous with helping to keep healthy	nongold
83	old is the opposite of new	nongold
84	bears eat berries; insects; animals	nongold
85	high is similar to increase	nongold
86	answering questions requires information	nongold
87	a physical property is a kind of property	nongold
88	something in a cold place becomes cold	nongold
89	cold is a kind of weather	nongold
90	helping bodily processes has a positive impact on an animal; an animal's health	nongold
91	New York is closer to the North Pole than Florida	nongold
92	snow is a covering found on the surface of an arctic environment	nongold
93	cold means low in temperature	nongold
94	system is similar to structure	nongold
95	landform means surface feature; physical feature; land feature	nongold
96	a plant; living thing requires food for survival	nongold
97	snow is a kind of object	nongold
98	staying means not changing	nongold
99	some animals shed fur in warm weather	nongold
