Question	Which of these cycles takes 24 hours?	question
Answer	Earth rotating on its axis	answer
0	a Rotation of the Earth on Earth's axis; itself takes 1; one day	gold
1	the Earth rotates on its axis	nongold
2	hours are a kind of unit for measuring time	nongold
3	Earth rotating on its axis occurs once per day	nongold
4	Earth is a kind of planet	nongold
5	a celestial body travelling around another celestial body means that celestial body completes a cycle around that other celestial body	nongold
6	a cycle happens; occurs repeatedly	nongold
7	1 day is equal to 24 hours	gold
8	rotation is a kind of motion	nongold
9	Earth's revolution is a kind of cycle	nongold
10	to rotate means to complete a rotation	nongold
11	how long something takes is a kind of measurement of time	nongold
12	a rotation is a kind of movement	nongold
13	a complete revolution of the Earth around the sun takes 1; one year; solar year; Earth year	nongold
14	revolving is a kind of motion	nongold
15	rotate means turn	nongold
16	a planet rotating causes cycles of day and night on that planet	gold
17	rotating is similar to moving	nongold
18	the Earth revolves around the sun	nongold
19	hours ( hr ) are a  metric unit used for measuring time generally used for values between 0.25 and 72.0	nongold
20	a revolution occurs when something revolves around something else	nongold
21	a planet is a kind of celestial object; body	nongold
22	a cycle is a kind of process	nongold
23	a motion is a kind of event; action	nongold
24	a rotation of the moon takes 1; one month	nongold
25	cycles of day and night occur once per day	nongold
26	a revolution of the moon around the Earth takes 1; one month	nongold
27	rotate is similar to revolve	nongold
28	Earth's rotation causes time zones	nongold
29	motion; movement means moving; to move	nongold
30	days are a kind of unit for measuring time	nongold
31	events occur at a specific place; at a specific time; with a specific frequency	nongold
32	the Earth rotating on its axis causes the sun to appear to move across the sky during the day	nongold
33	movements of celestial bodies are a kind of event	nongold
34	the moon rotates on its axis	nongold
35	travel means to move	nongold
36	setting is a kind of motion	nongold
37	diurnal motion is when  objects in the sky appear  to move due to Earth's rotation on its axis	nongold
38	revolving is a kind of action	nongold
39	the day time is part of one day	nongold
40	a star is a kind of celestial object; celestial body	nongold
41	a unit for measuring time is a kind of time interval	nongold
42	motion is when moves an object; something to a direction	nongold
43	the Earth rotating on its axis causes  stars; the Moon to appear to move across the sky at night	nongold
44	take place means happen	nongold
45	a measure of time is a length of time	nongold
46	the last stage of a life cycle occurs at the end of a life cycle	nongold
47	period is similar to amount of time	nongold
48	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
49	speed is a measure of how fast an object is moving	nongold
50	spin means rotate	nongold
51	movement is a kind of change	nongold
52	an event is a kind of action	nongold
53	length of time means period of time	nongold
54	Earth is made of rock	nongold
55	affected means changed	nongold
56	the Moon completes a lunar cycle over a period of 29 days	nongold
57	Earth's angle of tilt causes the length of day and night to vary	nongold
58	revolving  around something means orbiting that something	nongold
59	moving is similar to travelling	nongold
60	variable means able to change	nongold
61	something that happens is a kind of event	nongold
62	the water cycle occurs on Earth	nongold
63	Earth's tilt on its rotating axis causes seasons to change; to occur	nongold
64	phase means state	nongold
65	the rock cycle is a cyclical process, with stages of formation, weathering	nongold
66	the Earth revolving around the Sun causes the seasons to change; to occur on its axis	nongold
67	high is similar to increase	nongold
68	some celestial bodies rotate in space	nongold
69	the sun rising and setting causes cycles of day and night	nongold
70	instantaneously means short in time	nongold
71	lifetime is similar to life cycle	nongold
72	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
73	to happen means to occur	nongold
74	constant means not changing	nongold
75	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
76	a moon is a kind of celestial object; body	nongold
77	if a human is on a rotating planet then other celestial bodies will appear to move from that human's perspective due to  the rotation of that planet	nongold
78	the sun  is the source of energy for physical cycles on Earth	nongold
79	An example of a physical cycle is the water cycle	nongold
80	a process is a kind of event	nongold
81	the Sun is a kind of star	nongold
82	a change is a kind of event	nongold
83	a watch;clock;stopwatch is used for measuring time	nongold
84	to slow; to slow down decreases speed	nongold
85	a source of something emits; produces; generates; provides that something	nongold
86	all living things have life cycles	nongold
87	rising is a kind of motion	nongold
88	the Earth being tilted on its rotating axis causes seasons	nongold
89	the sun rising; setting occurs once per day	nongold
90	minutes are a kind of unit for measuring time	nongold
91	rotation  is  the  circular movement of an object around a center; axis	nongold
92	Celestial bodies move in orbits in space around other celestial bodies	nongold
93	matter; materials; substances are made of atoms; particles	nongold
94	transpiration is a kind of process of the water cycle	nongold
95	revolve once means to complete a revolution	nongold
96	heat means heat energy	nongold
97	cycle is similar to pattern	nongold
98	faster means an increase; higher in speed	nongold
99	months are a kind of unit for measuring time	nongold
