Question	When it rains, some animals will ___.	question
Answer	move to seek shelter	answer
0	an animal needs to move to find shelter	gold
1	shelter can protect animals;humans from weather	gold
2	shelter is used for protection by animals against weather	nongold
3	an animal requires shelter	gold
4	a shelter is used for living in by animals	nongold
5	seeking something means trying to find; searching for something	gold
6	shelter is a kind of place;building;structure for protection	nongold
7	raining is when rain falls from clouds to the Earth;ground as a liquid	nongold
8	motion; movement means moving; to move	nongold
9	precipitation is when rain;snow;hail fall from clouds to the Earth;ground	nongold
10	an animal is a kind of living thing	nongold
11	rainfall means precipitation	nongold
12	rain; snow falls	nongold
13	rain is a kind of water	nongold
14	an organism's shelter is a part of that organism's environment	nongold
15	motion is when moves an object; something to a direction	nongold
16	rain is a kind of precipitation	gold
17	rainfall means the amount of precipitation	nongold
18	an animal is a kind of organism	nongold
19	an area receiving rain means rain falling in that area	nongold
20	rainfall is the amount of rain an area receives	nongold
21	requiring is similar to needing help	nongold
22	rain is a source of water	nongold
23	if humans disturb animals in a location then those animals will move to a different location	nongold
24	moving; mobile is the opposite of stationary; unmoving	nongold
25	search for means seek to find	nongold
26	habitat destruction causes animals to move to find shelter in another habitat	nongold
27	to move toward means to move nearer	nongold
28	rainstorm means rain storm	nongold
29	an organism is a living thing	nongold
30	harming something has a  negative impact on; effect on that something	nongold
31	precipitation is when water falls from the sky	nongold
32	to place in is similar to to move to	nongold
33	hiding is a kind of protection against predators; from predators	nongold
34	precipitation is a kind of natural occurrence; cause	nongold
35	a living thing is a kind of object	nongold
36	an animal is a member of an animal species	nongold
37	to remain means to stay where it is	nongold
38	to move away means to increase distance	nongold
39	rainy means often raining	nongold
40	organisms are a part of an environment	nongold
41	protecting a living thing has a  positive impact on that living thing's survival; health	nongold
42	an animal requires warmth for survival	nongold
43	An example of stormy weather is rain	nongold
44	safe is the opposite of unsafe; harm; danger	nongold
45	an animal requires a habitat for survival	nongold
46	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
47	place is synonymous with location	nongold
48	an environment is a kind of place	nongold
49	harming an environment causes harm to the living things; to the organisms in that environment	nongold
50	an environment means an area	nongold
51	keeping means staying	nongold
52	animals; living things require water for survival	nongold
53	something hard; something strong can be used for protection	nongold
54	death means to die	nongold
55	low is similar to decrease	nongold
56	place; location is synonymous with position	nongold
57	surroundings means environment	nongold
58	out is synonymous with outside	nongold
59	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
60	rocks are a source of shelter for small animals in an environment	nongold
61	a motion is a kind of event; action	nongold
62	to lower means to decrease	nongold
63	animals; living things live and feed in their habitats; near their habitats	nongold
64	some animals move quickly to escape predators	nongold
65	repel means move away	nongold
66	a human is a kind of animal	nongold
67	natural disasters can cause animals to leave an environment	nongold
68	shelter is a kind of protective covering	nongold
69	leaving is a kind of movement	nongold
70	returning is similar to bringing	nongold
71	a homeowner is a kind of human	nongold
72	a tree is a source of shelter; food for birds; animals in an ecosystem	nongold
73	if a habitat can no longer support animals then those animals will move to another area	nongold
74	a resident is a kind of person	nongold
75	to be in danger means to be around; to be near something dangerous	nongold
76	live is similar to stay	nongold
77	survival means to survive	nongold
78	to help means to aid	nongold
79	carrying something means moving that something	nongold
80	dead means not alive	nongold
81	being exposed to wind; water; animals; heat can cause erosion of soil; of rocks	nongold
82	storms;rain cause bodies of water to increase amount of water they contain	nongold
83	person is synonymous with human	nongold
84	high is similar to increase	nongold
85	nonliving; non-living; die is the opposite of living; alive; live	nongold
86	if a living thing becomes too cold then that living thing will die	nongold
87	an animal; living thing requires nutrients for survival	nongold
88	if something moves then that something is in a different location	nongold
89	an animal requires energy to move	nongold
90	returning is a kind of movement	nongold
91	moving is similar to travelling	nongold
92	if a living thing dies then that living thing is dead	nongold
93	a bird is a kind of animal	nongold
94	killing means harming something causing death	nongold
95	staying warm has a positive impact on an animal's survival; health	nongold
96	near; close is the opposite of far; away	nongold
97	a desert environment receives low rainfall	nongold
98	escape means avoid	nongold
99	to protect means to defend	nongold
