Question	Genes are unable to determine a person's	question
Answer	athletic ability.	answer
0	physical fitness is similar to athletic ability	gold
1	able is the opposite of unable	gold
2	genes are able to determine the inherited characteristics of a living thing	gold
3	determining often requires measuring; observing	nongold
4	person is synonymous with human	gold
5	a person is a kind of animal	nongold
6	ability    is a property of things and includes ordered values of able; unable; can; cannot	nongold
7	inability is the opposite of ability	nongold
8	ability is a kind of characteristic	nongold
9	a human is a kind of animal	gold
10	trait is synonymous with characteristic	nongold
11	inherited characteristics are the opposite of learned characteristics; acquired characteristics	gold
12	an animal is a kind of living thing	gold
13	an animal is a kind of organism	nongold
14	skills are learned characteristics; behaviors	nongold
15	determining is similar to learning	nongold
16	physical fitness is an acquired characteristic	gold
17	identifying is similar to determining	nongold
18	a learned characteristic is a kind of acquired characteristic	nongold
19	performance is similar to ability	nongold
20	intelligence is an acquired characteristic	nongold
21	human is a kind of organism	nongold
22	an inherited characteristic is a kind of characteristic	nongold
23	an organism is a living thing	nongold
24	height is an inherited characteristic	nongold
25	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	nongold
26	an animal requires stamina; cardiovascular efficiency to succeed at physical activities	nongold
27	determining the type of an organism requires having information about that organism	nongold
28	a living thing is a kind of object	nongold
29	a child is a kind of young human	nongold
30	determine is similar to cause	nongold
31	according to is similar to be determined by	nongold
32	the inherited characteristics of the parents can be used to predict inherited characteristics of the offspring	nongold
33	a behavior is a kind of characteristic	nongold
34	exercise means physical fitness	nongold
35	traits can be determined by one pair; many pairs of genes in an organism	nongold
36	tall means great in height	nongold
37	human is similar to individual	nongold
38	cannot means not be able to	nongold
39	a student is a kind of human	nongold
40	personality is an acquired characteristic	nongold
41	trait means property	nongold
42	conditioned behavior is a kind of learned behavior	nongold
43	classifying is a kind of skill	nongold
44	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
45	feature is synonymous with characteristic	nongold
46	genes is a vehicle for passing inherited characteristics from parent to offspring	nongold
47	a part of something means a characteristic of something	nongold
48	potential is a kind of ability	nongold
49	high is similar to increase	nongold
50	can means having the ability to	nongold
51	testing often requires measuring	nongold
52	determining is similar to controlling	nongold
53	walking is a kind of behavior	nongold
54	an increase is the opposite of a decrease	nongold
55	to impact means to affect	nongold
56	gaining is similar to increasing	nongold
57	genetics is a part of biology	nongold
58	blue eyes is a recessive trait in humans	nongold
59	skills often require practice	nongold
60	an animal; living thing requires nutrients for survival	nongold
61	can be means able to be	nongold
62	if an organism passes on its traits then future generations will have those traits	nongold
63	a brain is a part of an animal	nongold
64	children; young is synonymous with offspring	nongold
65	a boy is a kind of young male human	nongold
66	short height is a recessive trait in pea plants	nongold
67	an organism's environment affects that organism's acquired characteristics	nongold
68	characteristic means property	nongold
69	inherited characteristics can change over several generations	nongold
70	a human is a kind of mammal	nongold
71	body weight is a generally acquired characteristic	nongold
72	a face is often a part of an animal	nongold
73	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	nongold
74	eye color is an inherited characteristic	nongold
75	an increase is a kind of change	nongold
76	phenotype of an organism means the visible traits of  an organism	nongold
77	genes can be used for classifying  organisms	nongold
78	animals learn some behaviors from watching their parents	nongold
79	to enhance means to increase	nongold
80	impact means effect	nongold
81	if an organism cannot do something , then that organism is unable to do that something	nongold
82	a scar is an acquired characteristic	nongold
83	the ability to do means be able to do	nongold
84	genetic variation is similar to trait variation	nongold
85	answering questions requires information	nongold
86	straight hairline is  a recessive trait in human	nongold
87	the color of; coloration of fur is an inherited characteristic	nongold
88	identical twins have all of the same inherited characteristics	nongold
89	taller means greater in height; size	nongold
90	falling means height decreases	nongold
91	blood type is an inherited characteristic	nongold
92	legs are usually a part of an animal	nongold
93	tall height is a dominant trait in pea plants	nongold
94	a type is synonymous with a kind	nongold
95	a kind of something is an example of that something	nongold
96	the shape of body parts is an inherited characteristic	nongold
97	a baby is the offspring of a parent	nongold
98	a baby is the offspring of a parent	nongold
99	a factor impacts something	nongold
