Question	Plants have special tissues that transport food, water, and minerals throughout the plant. What are these tissues similar to in animals?	question
Answer	arteries and veins	answer
0	arteries; veins transport nutrients; water; minerals throughout the body	gold
1	the body of an animal contains arteries; veins	gold
2	special tissues in plants transport food; water; minerals throughout the plant	gold
3	transporting nutrients, water, and minerals is a kind of function	gold
4	some minerals are nutrients	nongold
5	to transfer is similar to transport	nongold
6	a plant stem contains a system of tubes for transporting water and nutrients to other parts of the plant	nongold
7	an animal is a kind of living thing	gold
8	to carry means to transport	nongold
9	a plant is a kind of living thing	nongold
10	a food contains nutrients for living things	gold
11	a plant is a kind of organism	nongold
12	transport means to move; to make travel	nongold
13	an organism is a living thing	nongold
14	an animal is a kind of organism	nongold
15	to bring means to transport	nongold
16	a plant stem is the vehicle for transporting water and food from roots to the rest of the plant	nongold
17	a stem is often a part of plant	nongold
18	transporting is a kind of function	nongold
19	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
20	if two things perform the same function then those two things are similar	gold
21	throughout means over	nongold
22	transporting materials through a plant is a kind of function	nongold
23	organs are made of different types of  cellular tissues	nongold
24	a plant; living thing requires food for survival	nongold
25	veins; arteries are a part of the circulatory system	nongold
26	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
27	an animal is a member of an animal species	nongold
28	an animal needs to eat food for nutrients	nongold
29	the digestive system is a kind of body; organ system	nongold
30	green plants are a kind of producer	nongold
31	a plant is a member of a plant species	nongold
32	opposite is a kind of different	nongold
33	the body is a part of an organism	nongold
34	a living thing is a kind of object	nongold
35	if something is transported to something else then that something else receives that something	nongold
36	an animal; living thing requires nutrients for survival	nongold
37	a leaf is a part of a  green plant	nongold
38	a mineral is a kind of solid; natural material	nongold
39	the digestive system is a kind of body; human system	nongold
40	a mineral is a kind of object	nongold
41	if two things are made from the same objects; material then those two things are similar	nongold
42	a leaf is a kind of plant	nongold
43	to change means to become different	nongold
44	living things eat their food source	nongold
45	a leaf is a kind of plant organ	nongold
46	if something changes , then that something is not the same	nongold
47	different is the opposite of the same	nongold
48	high is similar to increase	nongold
49	veins carry blood from the body to the heart	nongold
50	not is similar to the opposite of	nongold
51	water is a kind of substance	nongold
52	a structure of something is synonymous with a part of that something	nongold
53	to ship means to transport	nongold
54	nutrients are a kind of substance	nongold
55	a plant is made of plant cells	nongold
56	identical is the opposite of different	nongold
57	a vegetable is a kind of plant	nongold
58	a mammal is a kind of animal	nongold
59	made of is similar to contains	nongold
60	In the food chain process a  green plant has the role of  producer	nongold
61	a component of something means a part of that something	nongold
62	to be formed by is similar to being produced by	nongold
63	the blood vessels are a part of the body	nongold
64	life means living things	nongold
65	a component means a part of	nongold
66	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
67	certain is similar to specific	nongold
68	food is a kind of substance	nongold
69	aspect of something is similar to part of something	nongold
70	if something transports something else then that something removes that something else from a place	nongold
71	the digestive system breaks down food into nutrients for  the body	nongold
72	to carry something means to contain something	nongold
73	each is similar to individual	nongold
74	similar means in common	nongold
75	to carry means to move something	nongold
76	affected means changed	nongold
77	to eat means to consume food	nongold
78	convert is similar to transfer	nongold
79	a vegetable is a kind of food	nongold
80	a tree is a kind of plant	nongold
81	if something is copied then that something will be the same; similar; identical	nongold
82	food is a source of energy for animals; plants	nongold
83	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	nongold
84	all animals breathe	nongold
85	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
86	xylem transports materials through the plant	nongold
87	in common is similar to the same	nongold
88	organisms mean life	nongold
89	a producer is a kind of living thing	nongold
90	phloem transports materials through the plant	nongold
91	unit is similar to part	nongold
92	a source of something emits; produces; generates; provides that something	nongold
93	plant parts are made of plants	nongold
94	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
95	answering questions requires information	nongold
96	plants are a source of fibers	nongold
97	a type is synonymous with a kind	nongold
98	can be means able to be	nongold
99	a plants; living things require water for survival; to grow	nongold
