Question	An example of a learned behavior is	question
Answer	driving a car	answer
0	a car is a kind of automobile	nongold
1	an automobile is a kind of vehicle	nongold
2	a car is a kind of vehicle	gold
3	a car is a kind of object	nongold
4	skills are learned characteristics; behaviors	gold
5	conditioned behavior is a kind of learned behavior	nongold
6	a learned characteristic is a kind of acquired characteristic	nongold
7	a vehicle is a kind of object	nongold
8	a behavior is a kind of characteristic	gold
9	a kind of something is an example of that something	nongold
10	learned behaviors are learned over the  lifetime of the animal	nongold
11	communication is a learned behavior	nongold
12	actions mean behavior	nongold
13	driving is a kind of skill for operating a vehicle	gold
14	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
15	a human is a kind of animal	nongold
16	if an animal is trained to do something then that something is a learned behavior	nongold
17	intelligence is an acquired characteristic	nongold
18	answering questions requires information	nongold
19	to drive means to cause	nongold
20	an animal is a kind of organism	nongold
21	humans ride vehicles	nongold
22	trait is synonymous with characteristic	nongold
23	an animal is a kind of living thing	nongold
24	person is synonymous with human	nongold
25	riding in; driving in a vehicle means using that vehicle	nongold
26	learning; studying information causes one to know that information	nongold
27	personality is an acquired characteristic	nongold
28	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	nongold
29	ability is a kind of characteristic	nongold
30	locomotion is a generally learned behavior	nongold
31	human is a kind of organism	nongold
32	if a  car is being driven , then the car will be moving	nongold
33	rolling in mud is a learned behavior	nongold
34	doing something more is a kind of conditioned behavior	nongold
35	following orders is a learned characteristic	nongold
36	to impact means to affect	nongold
37	a brain is a part of an animal	nongold
38	an organism is a living thing	nongold
39	animal instinct means instinctive behavior	nongold
40	a living thing is a kind of object	nongold
41	an inherited characteristic is a kind of characteristic	nongold
42	what an object is made of is a kind of characteristic	nongold
43	instruction is a kind of information	nongold
44	sense is a kind of characteristic of an animal	nongold
45	a person is a kind of animal	nongold
46	an event is a kind of action	nongold
47	playing with toys is a learned characteristic	nongold
48	affected means changed	nongold
49	preferences are generally learned characteristics	nongold
50	learning about something sometimes requires observing that something	nongold
51	trait means property	nongold
52	a child is a kind of young human	nongold
53	a vehicle is a kind of tool for travel; transport	nongold
54	wheels are a part of a car	nongold
55	the brain is a part of the body	nongold
56	a motion is a kind of event; action	nongold
57	a demonstration is similar to an example	nongold
58	impact means effect	nongold
59	walking is a kind of behavior	nongold
60	determining is similar to learning	nongold
61	using tools is a learned characteristic	nongold
62	a sense is a kind of ability	nongold
63	high is similar to increase	nongold
64	ability    is a property of things and includes ordered values of able; unable; can; cannot	nongold
65	a car moves on a road	nongold
66	a machine is a kind of object	nongold
67	an animal's brain controls that animal	nongold
68	social behavior is a kind of learned behavior	nongold
69	being distracted while driving can cause people to crash their car	nongold
70	curiosity is a kind of human quality	nongold
71	characteristic means property	nongold
72	a trick is a learned behavior	nongold
73	a passenger in a car is usually a human	nongold
74	speed is a property of an object and includes values of slow; fast	nongold
75	variable means able to change	nongold
76	senses are an inherited characteristic	nongold
77	animals learn some behaviors from watching their parents	nongold
78	human is similar to individual	nongold
79	an animal knows how to do  instinctive behaviors when it is born	nongold
80	to slow; to slow down decreases speed	nongold
81	a source of something emits; produces; generates; provides that something	nongold
82	a dog is a kind of animal	nongold
83	hibernation is an inherited behavior	nongold
84	matter; materials; substances are made of atoms; particles	nongold
85	definite is the opposite of variable	nongold
86	causing is a kind of affecting	nongold
87	events occur at a specific place; at a specific time; with a specific frequency	nongold
88	good means positive	nongold
89	a toy car is a kind of object	nongold
90	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	nongold
91	an object has properties	nongold
92	a type is synonymous with a kind	nongold
93	an increase is the opposite of a decrease	nongold
94	action can cause change	nongold
95	begging for food is a kind of conditioned behavior	nongold
96	if something affects a part of something else then that something affects that something else	nongold
97	performance is similar to ability	nongold
98	knowing the properties of something means knowing information about that something	nongold
99	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
