Question	Mrs. Gordon's class studies maple trees. Which property can the students measure with a meter stick?	question
Answer	the length of a branch	answer
0	a meter stick is a kind of tool for measuring length; measuring distance	gold
1	a meter stick is used to measure distance; height; length	gold
2	a meter is a kind of unit for measuring distance; measuring length	nongold
3	meters;centimeters;kilometers are used to describe distance; describe length	nongold
4	meters ( m ) are a  metric; SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
5	a stick is a kind of object	nongold
6	a maple tree is a kind of tree	nongold
7	a centimeter is used for measuring short lengths; short distances	nongold
8	property is similar to measurement	nongold
9	centimeters ( cm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 250.0	nongold
10	a branch is a part of a tree	gold
11	length is a part of size	nongold
12	length is a property of the shape of an object	gold
13	an oak is a kind of tree	nongold
14	a student is a kind of human	nongold
15	measuring requires reading a measurement	nongold
16	a leaf is a kind of object	nongold
17	a centimeter is a kind of unit of measurement	nongold
18	a tree is a kind of living thing	nongold
19	a leaf is a part of a tree	nongold
20	width is a property of size; shape and includes ordered values of narrow; wide	nongold
21	length is a measure of distance from one end of an object to the other end of that object	nongold
22	a tree is a kind of plant	gold
23	a type of something is a kind of property of that something	nongold
24	long means great in length	nongold
25	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
26	a leaf is small in size	nongold
27	a leaf is a kind of plant	nongold
28	an object has properties	nongold
29	measuring is used for describing an object	nongold
30	a plant is a kind of living thing	gold
31	some species of tree are deciduous	nongold
32	structure is a property of an object; a material; a substance	nongold
33	a tree is a kind of matter	nongold
34	the number of parts of something is a property of that something	nongold
35	mL means milliliters	nongold
36	longest means greatest in length	nongold
37	determining often requires measuring; observing	nongold
38	height is a property of the size of an object	nongold
39	a  tape measure is used to measure length; distance	nongold
40	a leaf is a part of a  green plant	nongold
41	measuring sometimes requires  recording; learning an amount	nongold
42	a living thing is a kind of object	gold
43	the properties of something can be used to identify; used to describe that something	nongold
44	shortest means least; smallest in length	nongold
45	classifying means grouping objects; materials by their properties	nongold
46	if a property affects a value then that property is needed to calculate that value	nongold
47	a tape measure is a kind of tool for measuring distance; measuring length	nongold
48	can be means able to be	nongold
49	a stem is often a part of plant	nongold
50	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
51	speed is a property of an object and includes values of slow; fast	nongold
52	size is an extensive property	nongold
53	to belong to a class means to be a kind of something	nongold
54	the properties of something are used for describing that something	nongold
55	a structure of something is synonymous with a part of that something	nongold
56	variability of shape; variability of volume is a property of matter and includes values of variable; definite	nongold
57	as amount; size of something increases , the intensive properties of that something will not change	nongold
58	measuring is a kind of observing	nongold
59	wood is a kind of object	nongold
60	shorter means decreased length	nongold
61	a tool is a kind of object	nongold
62	characteristic means property	nongold
63	experimentation requires measuring	nongold
64	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
65	answering questions requires information	nongold
66	height is a measure of length from the top of an object to the bottom of an object	nongold
67	shape of the parts of something is a property of that something	nongold
68	a plant is a member of a plant species	nongold
69	as the amount; size of something increases , the extensive properties of that something will increase	nongold
70	calculation means measurement	nongold
71	an animal is a kind of living thing	nongold
72	decimeters ( dm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 10.0	nongold
73	m/s means meters per second	nongold
74	a tree contains wood	nongold
75	color is a property of  an object; a material	nongold
76	an part of an object is smaller than the entire object	nongold
77	distance is a property of space and includes ordered values of close; far	nongold
78	to measure means to calculate	nongold
79	studying  something usually requires seeing that something	nongold
80	a trunk is a part of a tree for supporting the tree	nongold
81	ability    is a property of things and includes ordered values of able; unable; can; cannot	nongold
82	a property of something is a feature of that something	nongold
83	thin means small in width	nongold
84	vegetation means plants	nongold
85	kilometers ( km ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 50000000.0	nongold
86	higher means greater; above in value; amount; number	nongold
87	high is similar to increase	nongold
88	objects are made of materials; substances; matter	nongold
89	millimeters ( mm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 100.0	nongold
90	a pine tree is a kind of tree	nongold
91	a classroom is a kind of a room	nongold
92	person is synonymous with human	nongold
93	an organism is a living thing	nongold
94	a deciduous tree's leaves usually change color in the autumn season	nongold
95	cutting a material usually requires measuring length	nongold
96	a human is a kind of animal	nongold
97	shape is a property of an object	nongold
98	to be used for something means to be required by that something	nongold
99	color is a kind of physical; visual property	nongold
