Question	Which of the following materials would best slow the transfer of heat?	question
Answer	wood	answer
0	to slow; to slow down decreases speed	nongold
1	heat means the transfer of thermal energy	nongold
2	a thermal insulator slows; prevents the transfer of heat	gold
3	fast is the opposite of slow	nongold
4	speed is a property of an object and includes values of slow; fast	nongold
5	wood is a thermal; thermal energy insulator	nongold
6	wood is an thermal; thermal energy insulator	gold
7	wood is a kind of object	nongold
8	convert is similar to transfer	nongold
9	to conduct is similar to to transfer	nongold
10	heat means heat energy	nongold
11	an electrical insulator slows; prevents the transfer of; flow of electricity	nongold
12	temperature is a measure of heat energy	nongold
13	transfer is a kind of change	nongold
14	wood is a kind of natural material	gold
15	transfer is a kind of process	nongold
16	heating means adding heat	nongold
17	material means substance	nongold
18	wood is a light material	nongold
19	wood is a strong material	nongold
20	if an object is made of a material then that object has the properties of that material	nongold
21	best means most positive	nongold
22	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
23	metal is a thermal; thermal energy conductor	nongold
24	a tree contains wood	nongold
25	to transfer means to bring; to get something to	nongold
26	metal is a kind of material	nongold
27	fire transfers heat through waves	nongold
28	heat energy is synonymous with thermal energy	nongold
29	to flow is similar to to transfer	nongold
30	wood is a kind of nonmetal	nongold
31	if too much heat is transferred to an object then that object may burn	nongold
32	if something transfers something else then that something is a source of something else	nongold
33	to add means to increase	nongold
34	to pass means to transfer	nongold
35	absorbing energy causes objects; materials; substances to heat	nongold
36	adding heat means increasing temperature	nongold
37	transferring is similar to adding	nongold
38	an insulator is the opposite of a conductor	nongold
39	objects are made of materials; substances; matter	nongold
40	to reduce means to decrease	nongold
41	thermal conduction is when materials conduct heat through those materials through collision of particles	nongold
42	to lower means to decrease	nongold
43	to transfer is similar to transport	nongold
44	gradual means slow; over time	nongold
45	pouring into is a kind of transfer	nongold
46	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
47	a firewood is a kind of object	nongold
48	a tree is a kind of matter	nongold
49	reducing is similar to slowing	nongold
50	burning wood is used to produce heat	nongold
51	gas is a kind of material	nongold
52	low is similar to decrease	nongold
53	an increase is the opposite of a decrease	nongold
54	rubber is thermal;thermal energy insulator	nongold
55	high is similar to increase	nongold
56	fast means quickly	nongold
57	transferring is similar to giving	nongold
58	counter means reduce; stop; resist	nongold
59	wood has a smooth surface	nongold
60	transferring is moving from one place to another place	nongold
61	as heat is transferred from something to something else , the temperature of that something will decrease	nongold
62	a source of something emits; produces; generates; provides that something	nongold
63	metal is a kind of substance	nongold
64	to send means to transfer	nongold
65	wood is usually sturdy	nongold
66	a container contains objects; material; substances	nongold
67	structure is a property of an object; a material; a substance	nongold
68	to give off means to be the source of	nongold
69	heat means temperature increases	nongold
70	wood burns	nongold
71	water is a kind of substance	nongold
72	an insulator is a kind of material	nongold
73	form means kind	nongold
74	slowest means lowest in  speed	nongold
75	moisture means liquid; liquid water	nongold
76	water is an thermal; thermal energy conductor	nongold
77	conductivity is a property of a material; substance	nongold
78	heat is a kind of energy	nongold
79	a hot; warm something is a source of heat	nongold
80	if something hot is exposed to the air , then the heat will transfer to the air	nongold
81	if heat is added to a substance then that substance absorbs that heat	nongold
82	to run through means to transfer	nongold
83	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
84	a living thing is a kind of object	nongold
85	less is similar to decrease	nongold
86	a tree is a kind of living thing	nongold
87	hot means high in heat energy; temperature	nongold
88	a type is synonymous with a kind	nongold
89	a burner is a part of a  stove	nongold
90	a surface is a part of a material	nongold
91	faster means an increase; higher in speed	nongold
92	speed up means increase	nongold
93	a wooden log is made of wood	nongold
94	a liquid is a kind of substance	nongold
95	water is a kind of liquid at room temperature	nongold
96	gas is a kind of substance	nongold
97	can be means able to be	nongold
98	heat sink is a kind of device	nongold
99	water is a kind of matter	nongold
