Question	Some objects conduct electricity. Which object is the best conductor of electricity?	question
Answer	a metal fork	answer
0	a fork is a kind of object	gold
1	a fork is a kind of utensil	nongold
2	metal fork is made of metal for eating	nongold
3	a good conductor is a conductor	nongold
4	metal is an  electrical; electrical energy conductor	gold
5	best means most positive	nongold
6	metal is a thermal; thermal energy conductor	nongold
7	electrical conduction is when metals; electrical conductors conduct electricity through a wire;electrical conductor;metal	nongold
8	conductivity is a property of a material; substance	gold
9	an insulator is the opposite of a conductor	gold
10	electricity means electrical energy	gold
11	a thermal conductor is made of materials that conduct thermal energy	nongold
12	good means positive	nongold
13	a living thing is a kind of object	nongold
14	better means good	nongold
15	metal is a kind of material	gold
16	insulator means good insulator	nongold
17	if an object is made of a material then that object has the properties of that material	gold
18	a device is a kind of object	nongold
19	conductivity is a measure of how easily electricity travels through a material	nongold
20	metal is a kind of substance	nongold
21	An electrical conductor is a vehicle for the flow of electricity	nongold
22	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
23	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
24	an insulator is a kind of material	nongold
25	objects are made of materials; substances; matter	nongold
26	to be good for means to have a positive impact on	nongold
27	thermal conduction is when materials conduct heat through those materials through collision of particles	nongold
28	wood is an thermal; thermal energy insulator	gold
29	instrument means device	nongold
30	rubber is thermal;thermal energy insulator	gold
31	wood is a thermal; thermal energy insulator	nongold
32	plastic is usually an electrical insulator	gold
33	plastic is a kind of electrical insulator	nongold
34	a metal rod is a kind of object	nongold
35	plastic is a kind of thermal insulator	nongold
36	water is an thermal; thermal energy conductor	nongold
37	a source of something emits; produces; generates; provides that something	nongold
38	if electricity flows through; is transferred through the body of an animal then that animal is electrocuted	nongold
39	a handle is a kind of object	nongold
40	a tool is a kind of object	nongold
41	an animal is a kind of living thing	nongold
42	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
43	sending electricity through a conductor causes electricity; electric current to flow through that conductor	nongold
44	conductivity is a kind of physical property	nongold
45	material means substance	nongold
46	an object; material; substance comes from that object or material's source	nongold
47	a vehicle is a kind of object	nongold
48	electrical energy is a kind of energy	nongold
49	wiring requires an electrical conductor	nongold
50	conducting is similar to exchanging	nongold
51	an instrument is a piece of equipment	nongold
52	an electrical insulator slows; prevents the transfer of; flow of electricity	nongold
53	if one surface; one substance; one object touches something then one is exposed to that something	nongold
54	if one electrical conductor contacts another electrical conductor then electricity will flow through both conductors	nongold
55	a human is a kind of animal	nongold
56	a conducting metal loop is a kind of electromagnet	nongold
57	electricity is used as an energy source by electrical devices	nongold
58	instrument means tool	nongold
59	electrocution causes harm to an organism	nongold
60	metal is a kind of natural resource	nongold
61	electric devices require electrical energy to function	nongold
62	to conduct is similar to to transfer	nongold
63	thermal conduction is when heat flows from warmer object to cooler object	nongold
64	a machine is a kind of  device	nongold
65	electrical devices are used for industrial purposes; household purposes by humans	nongold
66	wax is an electrical; electrical energy insulator	nongold
67	device means tool	nongold
68	conducting is a kind of function	nongold
69	answering questions requires information	nongold
70	an object has properties	nongold
71	electricity is made of moving charges; moving charged particles	nongold
72	an electrical charge can attract objects to other objects	nongold
73	being  on something; placed in something; placed over something means touching  that something	nongold
74	a spoon sometimes is made of metal	nongold
75	conduction is a kind of process	nongold
76	to depend on; to rely on; to need means to require	nongold
77	a machine is a kind of object	nongold
78	an electromagnet is a kind of device	nongold
79	air is usually a thermal; thermal energy insulator	nongold
80	heat means heat energy	nongold
81	a metal is usually a solid at room temperature	nongold
82	an animal is a kind of organism	nongold
83	particles in objects are a kind of matter	nongold
84	a thermal insulator slows; prevents the transfer of heat	nongold
85	heating means adding heat	nongold
86	brick is an electrical; electrical energy insulator	nongold
87	an electromagnet is a kind of electric magnet	nongold
88	a spoon is a kind of object	nongold
89	heat is a kind of energy	nongold
90	salt water is an electrical; electrical energy conductor	nongold
91	the function of something is what that something  is used to do	nongold
92	substances are made of matter	nongold
93	if a container contains something then that container touches that something	nongold
94	a magnet attracts magnetic metals; ferromagnetic metals through magnetism	nongold
95	rubbing different materials can cause electrical charge	nongold
96	a hot plate is a kind of instrument	nongold
97	to be used for something means to be required by that something	nongold
98	helping something has a  positive impact on that something	nongold
99	tool is similar to appliance	nongold
