Question	Cumulonimbus clouds often form along cold fronts. Which type of weather is most likely to occur along a cold front?	question
Answer	rain with possible severe thunderstorms	answer
0	a type is synonymous with a kind	gold
1	form means kind	nongold
2	cold fronts cause thunderstorms as they pass by	gold
3	a thunderstorm is a kind of storm	gold
4	thunder occurs during thunderstorms	nongold
5	a cloud is a kind of weather	nongold
6	storm is a kind of weather; weather event	nongold
7	to happen means to occur	nongold
8	precipitation is a kind of weather	nongold
9	cold is a kind of weather	nongold
10	a warm front causes cloudy and rainy weather	nongold
11	rain is a kind of precipitation	gold
12	clouds are usually found in the sky	nongold
13	weather  usually happens in troposphere	nongold
14	snowstorm is a kind of weather	nongold
15	a warm front is when warm air mass rises and passes over; collides a cold air mass	nongold
16	lightning occurs during lightning storms; thunderstorms	nongold
17	a cold front is when a cooler air mass moves into contact with an area of warmer air	nongold
18	front is a property of weather and includes unordered values of warm front; cold front; stationary front; occluded front	nongold
19	clouds are made of water vapor; rain droplets	nongold
20	cloudy means the presence  of clouds in the sky	nongold
21	cloudy is a kind of  weather	nongold
22	precipitation is when rain;snow;hail fall from clouds to the Earth;ground	nongold
23	a storm is a source of precipitation	gold
24	clouds produce precipitation	nongold
25	often is similar to likely	nongold
26	rainstorm means rain storm	nongold
27	clouds are formed by water vapor rising into colder regions of the atmosphere and condensing	nongold
28	clouds are located in the atmosphere	nongold
29	rain; snow falls	nongold
30	the cumulus clouds are usually white and fluffy	nongold
31	typically means usually	nongold
32	classifying is when one sorts something by kind; type	nongold
33	a storm is usually a source of strong winds	nongold
34	precipitation is when water falls from the sky	nongold
35	cloudy conditions cause a low-pressure weather system	nongold
36	events occur at a specific place; at a specific time; with a specific frequency	gold
37	to cause the formation of means to form	nongold
38	clouds produce rain	nongold
39	an increase is a kind of change	nongold
40	to change into means to form	nongold
41	a type of something is a kind of property of that something	nongold
42	extreme means very high in value	nongold
43	tornado is a kind of weather	nongold
44	high is similar to increase	nongold
45	a cloud is a kind of object	nongold
46	colder; cooler means lower in temperature	nongold
47	cold means low in temperature	nongold
48	types of clouds can be used to predict the possibility of tornadoes developing in a location	nongold
49	rain is a kind of water	nongold
50	event is similar to occurrence	nongold
51	forming something is a kind of change	nongold
52	sky conditions are a property of weather	nongold
53	rainfall means precipitation	nongold
54	if cumulus clouds appear in a location , then the weather of that day will be fair	nongold
55	grey clouds appear before precipitation	nongold
56	warmer means greater; higher in temperature; warmth	nongold
57	cold  air is usually high in air pressure	nongold
58	raining is when rain falls from clouds to the Earth;ground as a liquid	nongold
59	hail is a kind of precipitation; ice	nongold
60	precipitation is a property of weather	gold
61	An example of stormy weather is rain	nongold
62	wind means moving air	nongold
63	storms;rain cause bodies of water to increase amount of water they contain	nongold
64	if weather is stormy then there is a greater chance of rain	nongold
65	to lower means to decrease	nongold
66	a change is a kind of event	nongold
67	heat has a great impact on weather	nongold
68	an event is a kind of action	nongold
69	to pass means to occur	nongold
70	grey clouds are a source of precipitation	nongold
71	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
72	cool means cold	nongold
73	climate is the usual kind of weather in a location over a period of time	nongold
74	intense means extreme	nongold
75	temperature is a property of weather	nongold
76	rainfall means the amount of precipitation	nongold
77	to change means to cause a change	nongold
78	to be made of something means to be formed of that something	nongold
79	to form means to create	nongold
80	rainy is a kind of weather	nongold
81	temperature  is a property of air mass and includes ordered values of cold; warm	nongold
82	to make means to form	nongold
83	a decrease is a kind of change	nongold
84	air is a kind of gas	nongold
85	a motion is a kind of event; action	nongold
86	to be formed by is similar to being produced by	nongold
87	state means form	nongold
88	cooler means colder	nongold
89	a kind of something is an example of that something	nongold
90	may happen means having a chance of happening	nongold
91	if a jet stream moves south of a location then that location will experience cold weather	nongold
92	to be formed by is to be the result of	nongold
93	breaking down is a kind of forming	nongold
94	precipitation is a kind of natural occurrence; cause	nongold
95	to cause an event means to make that event more likely	nongold
96	increase means more	nongold
97	south; southward is a kind of direction	nongold
98	to create means to make	nongold
99	snow is a kind of precipitation	nongold
