Question	A device that converts light energy into electricity used in many handheld calculators is a	question
Answer	photovoltaic cell.	answer
0	photovoltaic cells can be used in handheld calculator	gold
1	a calculator is a kind of tool	nongold
2	a calculator is used for adding; subtracting; multiplying; dividing	nongold
3	photovoltaic cells convert light energy into electricity	gold
4	solar cell is similar to photovoltaic cell	nongold
5	sunlight is a kind of light	nongold
6	light is a kind of energy	nongold
7	light is a kind of energy	nongold
8	a machine is a kind of  device	nongold
9	light means light energy	nongold
10	light is made of photons	nongold
11	electrical energy is a kind of energy	nongold
12	a cell is a kind of object	nongold
13	emit means produce	nongold
14	a device is a kind of object	nongold
15	instrument means device	nongold
16	converting is similar to producing	nongold
17	electricity means electrical energy	nongold
18	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
19	convert is similar to transfer	nongold
20	light is a kind of wave	nongold
21	electric devices require electrical energy to function	nongold
22	the function of something is what that something  is used to do	nongold
23	a machine is a kind of object	nongold
24	to be used for something means to be required by that something	nongold
25	a source of something emits; produces; generates; provides that something	nongold
26	electricity is used as an energy source by electrical devices	nongold
27	answering questions requires information	nongold
28	electricity is made of moving charges; moving charged particles	nongold
29	a hand is a kind of object	nongold
30	device means tool	nongold
31	emit means send out	nongold
32	a cell is very small	nongold
33	to convert means to change	nongold
34	converting is a kind of function	nongold
35	energy conversion is similar to energy transformation	nongold
36	a photon is a kind of  particles	nongold
37	if something generates energy for something else then that something powers that something else	nongold
38	sunlight is a kind of solar energy	nongold
39	an electromagnet is a kind of device	nongold
40	can be means able to be	nongold
41	matter; materials; substances are made of atoms; particles	nongold
42	to transform means to convert	nongold
43	energy transformation means one kind of energy changes into another kind of energy	nongold
44	objects are made of materials; substances; matter	nongold
45	refraction is a property of light	nongold
46	a human cell is a kind of cell	nongold
47	heat is a kind of energy	nongold
48	instrument means tool	nongold
49	an instrument is a piece of equipment	nongold
50	converting is similar to generating	nongold
51	refraction is when light passes from one medium to another medium	nongold
52	if something transfers something else then that something is a source of something else	nongold
53	to conduct is similar to to transfer	nongold
54	to give off means to be the source of	nongold
55	a kind of something is an example of that something	nongold
56	variable means able to change	nongold
57	affected means changed	nongold
58	many means high in number	nongold
59	conversion is a kind of process	nongold
60	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
61	a living thing is made of cells	nongold
62	thermal energy is a kind of energy	nongold
63	high is similar to increase	nongold
64	to emit means to release	nongold
65	electromagnets can be powered by electricity	nongold
66	to turn means to convert	nongold
67	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
68	phase means state	nongold
69	light is a kind of electromagnetic radiation	nongold
70	a plant cell is a kind of cell	nongold
71	to illuminate means to light up	nongold
72	form means kind	nongold
73	generate means produce	nongold
74	electrical devices are used for industrial purposes; household purposes by humans	nongold
75	events occur at a specific place; at a specific time; with a specific frequency	nongold
76	a star is a kind of celestial object; celestial body	nongold
77	a cell nucleus is a part of a cell	nongold
78	an object has properties	nongold
79	how many means what number	nongold
80	a particle is a kind of object	nongold
81	frequency is a property of a wave; a particel of light; an event	nongold
82	speed is a property of an object and includes values of slow; fast	nongold
83	particles in objects are a kind of matter	nongold
84	Earth is a kind of planet	nongold
85	if something causes an increase in something else then that something produces that something else	nongold
86	photosynthesis stores; captures energy	nongold
87	electromagnetic energy is a kind of energy	nongold
88	UV light is a kind of light	nongold
89	an electrical device requires electricity to turn on	nongold
90	glass; objects made of glass cause refraction of light	nongold
91	converting is similar to releasing	nongold
92	an animal cell is a kind of cell	nongold
93	to send means to transfer	nongold
94	system means a set of objects	nongold
95	a tool is a kind of object	nongold
96	refraction is when a wave goes through; transmits through; passes through a surface; a material; an object and travels in a different direction relative to the angle of incidence	nongold
97	an electromagnet is a kind of electric magnet	nongold
98	solar energy is a kind of light	nongold
99	to measure means to calculate	nongold
