Question	What do all animals need in order to survive?	question
Answer	water, air, and food	answer
0	an animal; living thing requires nutrients for survival	gold
1	animals; living things require water for survival	gold
2	an animal requires air for survival	gold
3	a plant; living thing requires food for survival	nongold
4	an animal is a kind of living thing	nongold
5	an animal needs to eat food for nutrients	gold
6	to depend on; to rely on; to need means to require	nongold
7	an animal; bacterium requires oxygen for survival; to breathe	nongold
8	an animal is a kind of organism	nongold
9	requiring something means needing that something	nongold
10	life means living things	nongold
11	a food contains nutrients for living things	nongold
12	survival means to survive	nongold
13	atmosphere means  air	nongold
14	an organism is a living thing	nongold
15	to be required means to be necessary	nongold
16	survive means live	nongold
17	survive means live	nongold
18	all animals breathe	nongold
19	requiring is similar to needing help	nongold
20	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
21	living things all require energy for survival	nongold
22	an aquatic animal; aquatic plant requires great amounts of water to survive; thrive	nongold
23	to be used for something means to be required by that something	nongold
24	water is a part of an environment	nongold
25	a human is a kind of animal	nongold
26	air is a part of the environment	nongold
27	food is what an animal eats	nongold
28	a plants; living things require water for survival; to grow	nongold
29	if something causes a process then that something is required for that process	nongold
30	death means to die	nongold
31	organism requires liquid water to survive	nongold
32	if a living thing requires something then that something has a positive impact on that living thing	nongold
33	air is a kind of gas	nongold
34	an animal requires enough nutrients to maintain good health; survive	nongold
35	water is a kind of natural resource	nongold
36	water is a kind of natural resource	nongold
37	what something needs is a property of that something	nongold
38	dying is the opposite of living; surviving	nongold
39	the air is a kind of substance	nongold
40	if something is required for a process then that something positively impacts that process	nongold
41	needing something means depending on that something	nongold
42	a living thing is a kind of object	nongold
43	heat means heat energy	nongold
44	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
45	water is a kind of substance	nongold
46	diet means what an animal eats	nongold
47	a source of something emits; produces; generates; provides that something	nongold
48	oxygen is a kind of resource	nongold
49	an aquatic animal is a kind of animal	nongold
50	organisms are a part of an environment	nongold
51	nonliving; non-living; die is the opposite of living; alive; live	nongold
52	if something is required then that something must be provided	nongold
53	the atmosphere is a part of nature; the environment	nongold
54	a body of water is a kind of environment	nongold
55	an animal requires a habitat for survival	nongold
56	if something requires something else then that something requires a source of that something else	nongold
57	a plant is a kind of organism	nongold
58	air is a kind of matter	nongold
59	killing means harming something causing death	nongold
60	a supply of something is a source of that something	nongold
61	to provide something means to be the source of that something	nongold
62	food is a kind of resource	nongold
63	a plant is a kind of living thing	nongold
64	the air is a kind of mixture	nongold
65	to eat means to consume food	nongold
66	if something is a raw material in a process then that something is required for that process	nongold
67	Earth has air	nongold
68	killing means changing a living thing from alive to dead by harming	nongold
69	live means to be alive	nongold
70	nutrients are a kind of resource	nongold
71	air is a kind of nonliving thing	nongold
72	the increase of something required by an organism has a positive impact on that organism's survival	nongold
73	human is a kind of organism	nongold
74	nutrients are a kind of matter	nongold
75	a predator is a kind of animal	nongold
76	organisms mean life	nongold
77	nutrients are a kind of substance	nongold
78	negative impact is the opposite of positive impact	nongold
79	a body of water is a source of water	nongold
80	aquatic animal means water animal	nongold
81	a process usually requires all of the stages in that process	nongold
82	a predator eats other animals for food	nongold
83	answering questions requires information	nongold
84	oxygen is a kind of gas at room temperature	nongold
85	food is a kind of substance	nongold
86	water is a kind of matter	nongold
87	if an organism makes food for itself then that organism does not need to eat other organisms	nongold
88	an animal is a kind of consumer	nongold
89	thirst is used to make an animal realize that it needs to replenish its bodily water by the body	nongold
90	gas is a kind of substance	nongold
91	prey is a kind of food for predators	nongold
92	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
93	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
94	a material is a kind of resource	nongold
95	water is a kind of liquid at room temperature	nongold
96	breathing is when animals convert oxygen into carbon dioxide	nongold
97	to be dependent on something means to depend on that something	nongold
98	heat is a kind of energy	nongold
99	if a living thing dies then that living thing is dead	nongold
