Question	Which of the following is an example of a container that is filled with a pure substance rather than with a mixture?	question
Answer	a balloon filled with helium	answer
0	a balloon is a kind of container	nongold
1	a balloon is a kind of object	nongold
2	a balloon contains gas	gold
3	to be filled with means to contain	nongold
4	helium is a kind of gas	gold
5	a container contains objects; material; substances	gold
6	a balloon is highly flexible	nongold
7	helium is a kind of element	gold
8	helium has lower; less density than air	nongold
9	contents means the substance in a container	nongold
10	a container is a kind of object	nongold
11	a mixture is a kind of substance	nongold
12	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
13	a balloon is made of rubber	nongold
14	a kind of something is an example of that something	nongold
15	an mixture is formed by two or more substances combined together physically	nongold
16	helium has a low atomic number	nongold
17	a pure substance is made of only one kind of atom; molecule	nongold
18	a solution is a kind of mixture	nongold
19	the air is a kind of mixture	nongold
20	a mixture usually is made of objects with different physical properties	nongold
21	hydrogen is a kind of gas at room temperature	nongold
22	material means substance	nongold
23	a liquid is a kind of substance	nongold
24	gas is a kind of material	nongold
25	gas is a kind of substance	nongold
26	purity is a property of substance and includes ordered values of pure substance; mixture	nongold
27	atmosphere means  air	nongold
28	a jar is a kind of container	nongold
29	air is a kind of gas	nongold
30	oxygen is a kind of gas at room temperature	nongold
31	matter; materials; substances are made of atoms; particles	nongold
32	mixture means solids combined together that maintain their physical properties	nongold
33	a bubble contains gas	nongold
34	vapor is synonymous with gas	nongold
35	liquid; solid means nongaseous	nongold
36	all elements are a kind of pure substance	gold
37	heat means heat energy	nongold
38	a mixture of solids can be easily separated	nongold
39	air is a kind of matter	nongold
40	a solid is a kind of substance	nongold
41	objects are made of materials; substances; matter	nongold
42	substances are made of matter	nongold
43	if two substances together form a mixture then those substances can be separated from one another by physical changes	nongold
44	gas is a kind of state of matter	nongold
45	the air is a kind of substance	nongold
46	gaseous means of gas	nongold
47	a graduated cylinder is a kind of container	nongold
48	gas is a kind of object	nongold
49	water is a kind of substance	nongold
50	if an object is made of a material then that object has the properties of that material	nongold
51	beaker is a kind of container	nongold
52	carbon dioxide is a kind of gas	nongold
53	the atmosphere contains gases; liquids; solids	nongold
54	An example of a container is room	nongold
55	Matter in the gas phase has variable volume	nongold
56	when a flexible container is filled with a substance , then the volume of the container will be the volume of the substance	nongold
57	a  gas is a kind of  element	nongold
58	heating means adding heat	nongold
59	helium; neon; argon; krypton; xenon; radon is located in noble gases family; group 18 on the periodic table	nongold
60	if a container contains something then that container touches that something	nongold
61	nitrogen is a kind of gas	nongold
62	air mass means a volume of air	nongold
63	a bottle is a kind of container	nongold
64	carbon monoxide is a kind of gas	nongold
65	particles in objects are a kind of matter	nongold
66	a solid is more dense than a gas	nongold
67	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
68	hydrogen is a kind of element	nongold
69	to fill up a balloon; beach ball means to blow up a balloon; beach ball	nongold
70	solid is a kind of state of matter	nongold
71	evaporation can be used for separating a mixture of a liquid and a solid	nongold
72	water is a kind of matter	nongold
73	combustion is a kind of exothermic reaction	nongold
74	water is made of hydrogen and oxygen	nongold
75	liquid is a kind of state of matter	nongold
76	if something is made of something; a material then that something contains that something; that material	nongold
77	combining; mixing two substances chemically causes chemical reactions	nongold
78	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
79	propulsion can cause a deflating balloon to fly	nongold
80	a living thing is a kind of object	nongold
81	an atom is a kind of object	nongold
82	a source of something emits; produces; generates; provides that something	nongold
83	Matter in the liquid phase has definite volume	nongold
84	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
85	Matter in the solid phase has definite volume	nongold
86	chemical reactions can cause gas to be released into the atmosphere	nongold
87	An example of moisture is water vapor in the atmosphere	nongold
88	an element is a kind of material	nongold
89	An example of combustion is explosion	nongold
90	propane;C_{3}H_{8} is a kind of gas at room temperature	nongold
91	water is a kind of liquid at room temperature	nongold
92	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	nongold
93	to add means to increase	nongold
94	dissolving is a kind of  mixing	nongold
95	temperature is a measure of heat energy	nongold
96	less dense liquids; particles in liquids; materials float liquids; particiles in liquids; materials that are more dense	nongold
97	gas is a kind of nonmetal	nongold
98	to contain means to have inside	nongold
99	a room is a kind of container	nongold
