Question	Which is the best tool to measure the angles of a triangular object?	question
Answer	a protractor	answer
0	a protractor is a kind of tool for measuring the angles of a triangular object	gold
1	a protractor is used for measuring the angles of a triangular object	gold
2	a prong is a kind of object	nongold
3	a tool is a kind of object	nongold
4	instrument means tool	nongold
5	round means circular in shape	nongold
6	best means most positive	nongold
7	elliptical is a kind of shape	nongold
8	elliptical is a kind of shape	nongold
9	diameter is a measure of length through the center of a circle	nongold
10	a living thing is a kind of object	nongold
11	length is a part of size	nongold
12	length is a property of the shape of an object	nongold
13	length is a measure of distance from one end of an object to the other end of that object	nongold
14	a circle is a kind of shape	nongold
15	an part of an object is smaller than the entire object	nongold
16	objects are made of materials; substances; matter	nongold
17	can be means able to be	nongold
18	better means good	nongold
19	answering questions requires information	nongold
20	size; amount of space means volume	nongold
21	a piece of an object is smaller in size than the whole object	nongold
22	particles in objects are a kind of matter	nongold
23	a meter is a kind of unit for measuring distance; measuring length	nongold
24	an object is made of its parts	nongold
25	shape is a property of an object	nongold
26	circular means having the shape of a circle	nongold
27	shape is a kind of physical property	nongold
28	an animal is a kind of living thing	nongold
29	form means kind	nongold
30	width is a property of size; shape and includes ordered values of narrow; wide	nongold
31	shape of the parts of something is a property of that something	nongold
32	calculation means measurement	nongold
33	property is similar to measurement	nongold
34	seconds are used to measure time	nongold
35	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
36	a centimeter is used for measuring short lengths; short distances	nongold
37	straight is a kind of shape	nongold
38	device means tool	nongold
39	measuring is used for describing an object	nongold
40	high is similar to increase	nongold
41	good means positive	nongold
42	an event is a kind of action	nongold
43	to be made of something means to be formed of that something	nongold
44	a structure of something is synonymous with a part of that something	nongold
45	an object has properties	nongold
46	a measure of time is a length of time	nongold
47	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
48	seconds are a kind of unit for measuring time	nongold
49	a piece of something is a kind of object	nongold
50	height is a measure of length from the top of an object to the bottom of an object	nongold
51	a component of something means a part of that something	nongold
52	distance is a property of space and includes ordered values of close; far	nongold
53	if an object is made of something then the parts of that object are made of that something	nongold
54	depth is a property of the shape of an object	nongold
55	flatness is a property of a surface; the shape of an object and includes ordered values of uneven; flat	nongold
56	a type is synonymous with a kind	nongold
57	to measure means to calculate	nongold
58	a human is a kind of animal	nongold
59	a motion is a kind of event; action	nongold
60	composed of means made of	nongold
61	a centimeter is a kind of unit of measurement	nongold
62	a component means a part of	nongold
63	thickness is  a measure of how thick an object  is	nongold
64	height is a property of the size of an object	nongold
65	square meter ( m^2 ) is a metric unit used for measuring area	nongold
66	nonmetal means nonmetals	nongold
67	a particle is a kind of object	nongold
68	greater means higher; more in value	nongold
69	thickness is a property of an object and includes ordered  values of thin; thick	nongold
70	a utensil is a kind of tool for eating	nongold
71	the function of something is what that something  is used to do	nongold
72	variability of shape; variability of volume is a property of matter and includes values of variable; definite	nongold
73	a landform is a kind of object	nongold
74	sharpness is a property of shape	nongold
75	round objects roll	nongold
76	if something is made of something else then that something can be broken down into that something else	nongold
77	a ratio is a measure of one measure over another measure; divided by another measure	nongold
78	increase means more	nongold
79	measuring requires reading a measurement	nongold
80	a surface is a part of an object	nongold
81	length of time means period of time	nongold
82	refraction is when a wave goes through; transmits through; passes through a surface; a material; an object and travels in a different direction relative to the angle of incidence	nongold
83	weight is a property of objects; matter	nongold
84	work is a measure of the product of force and distance	nongold
85	a kind of something is an example of that something	nongold
86	greatest means largest; highest; most amount of something	nongold
87	made up of means contains; made of	nongold
88	to be formed by is to be the result of	nongold
89	if two objects are apart from each other then matter is between those two objects	nongold
90	characteristic means property	nongold
91	shape is a kind of characteristic	nongold
92	motion is when moves an object; something to a direction	nongold
93	both means two	nongold
94	structure is a property of an object; a material; a substance	nongold
95	centimeters ( cm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 250.0	nongold
96	to be good for means to have a positive impact on	nongold
97	indefinite means variable	nongold
98	a ratio is a measure of  one value divided by another value	nongold
99	the shape  of an object can be discovered through feeling that object; touching that object	nongold
