Question	For many years, people have been curious about the stars. In the past, people have shared what they knew about the stars through stories and drawings. Which pair of tools would be most helpful for people today to gather and share information about stars?	question
Answer	a telescope and a computer	answer
0	to be helpful means to help to do	nongold
1	beneficial means helpful	nongold
2	helping something has a  positive impact on that something	nongold
3	useful means good to use	nongold
4	instrument means tool	gold
5	to help; to benefit means to be of use	nongold
6	a computer is used for communication; finding information	gold
7	a telescope is used for observing stars;planets;moons;distant objects; the sky; celestial objects by astronomers	gold
8	a telescope is a kind of optical instrument for observing celestial objects; observing the sky	gold
9	a computer is a kind of tool	gold
10	a star is a kind of celestial object; celestial body	nongold
11	requiring is similar to needing help	nongold
12	to collect means to gather	nongold
13	getting information sometimes requires observing; observation	nongold
14	device means tool	nongold
15	if studying something is used to learn about something then that something is a source of information	nongold
16	detailed observation of celestial objects requires a telescope	nongold
17	astronomy is the study of celestial (objects, bodies)	nongold
18	communicating means sharing information	gold
19	curiosity means the need to know new information	nongold
20	to observe means to gather information	gold
21	optical tools are used for observing materials up close; in greater detail	nongold
22	useful means able to be used	nongold
23	an optical telescope is a kind of telescope	nongold
24	an instrument is a piece of equipment	nongold
25	a tool is a kind of object	nongold
26	data means information	nongold
27	pair means two	nongold
28	person is synonymous with human	nongold
29	astronomy is a kind of branch of science	nongold
30	a computer controls a robot	nongold
31	helping means to assist in a change	nongold
32	a positive impact is a helpful effect	nongold
33	answering questions requires information	nongold
34	a human is a kind of animal	nongold
35	an optical telescope requires visible light for human to use	nongold
36	a person is a kind of animal	nongold
37	to be used  for something means to help to do that something	nongold
38	instrument means device	nongold
39	a property is a kind of information	nongold
40	learning; studying information causes one to know that information	nongold
41	knowing the properties of something means knowing information about that something	nongold
42	a machine is a kind of  device	nongold
43	building a tool requires knowing about the parts of that tool	nongold
44	a simple machine is a kind of tool	nongold
45	learning about something sometimes requires observing that something	nongold
46	a laptop is a kind of computer	nongold
47	a machine is a kind of object	nongold
48	helping means something can be done; completed more easily; better	nongold
49	pair is a kind of combination	nongold
50	technology is similar to tool	nongold
51	tool is similar to appliance	nongold
52	making discoveries requires observing	nongold
53	a living thing is a kind of object	nongold
54	a lens is a part of a telescope	nongold
55	a user is a kind of person	nongold
56	a radio telescope is a kind of telescope	nongold
57	help means advantage	nongold
58	curiosity is a kind of human quality	nongold
59	an animal is a kind of living thing	nongold
60	to enable is to help	nongold
61	to make something easier means to help	nongold
62	the Sun is a kind of star	nongold
63	discovering something usually requires seeing that something	nongold
64	a source of something emits; produces; generates; provides that something	nongold
65	knowledge of the stars can be used to navigate	nongold
66	a material is a kind of resource	nongold
67	both means two	nongold
68	Galileo Galilei made improvements to the telescope to make better observations of celestial bodies	nongold
69	communication has a positive impact on a person's life	nongold
70	binoculars are used for observing distant objects	nongold
71	good means positive	nongold
72	a device is a kind of object	nongold
73	a complex machine is made of more than one simple machine	nongold
74	a reflecting telescope is a kind of telescope	nongold
75	an animal is a kind of organism	nongold
76	studying  something usually requires seeing that something	nongold
77	a star is a source of light; light energy through nuclear reactions	nongold
78	scientists make observations	nongold
79	information is used to describe something	nongold
80	something that is used for communication increases communication	nongold
81	observe means see	nongold
82	an event is a kind of action	nongold
83	an invention is a kind of tool	nongold
84	stellar means related to stars	nongold
85	look at means observe	nongold
86	astronomical body means celestial body	nongold
87	binoculars are a kind of instrument for observing distant objects	nongold
88	if something used to be in the past then that something  has changed	nongold
89	a description sometimes provides information	nongold
90	if something; an invention; a discovery is invented; discovered then that something; that invention; that discovery can be used	nongold
91	stars are located light years apart from each other	nongold
92	a magnifying glass is a kind of tool for observing small things	nongold
93	if a technology that is used to study something is still being developed then that something can not be discovered; studied	nongold
94	using a resource requires acquiring that resource	nongold
95	lab equipment is often used for measuring; observing	nongold
96	a computer room is a part of a factory	nongold
97	if something requires something else then that something else is important to that something	nongold
98	if something performs a task then that task is that something's function	nongold
99	better means good	nongold
