Question	The gravitational force between two objects depends on the distance between the objects and each object's	question
Answer	mass	answer
0	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	gold
1	gravity;gravitational force causes objects that have mass; substances to be pulled down; to fall on a planet	nongold
2	the mass of an object causes the gravitational force exerted by that object	nongold
3	the gravitational force of a planet; of a celestial object does not change the mass of an object on that planet or celestial body	nongold
4	to depend on; to rely on; to need means to require	nongold
5	gravity is a kind of force	nongold
6	to be dependent on something means to depend on that something	nongold
7	to be affected by something is similar to depending on something	nongold
8	gravitational fore is a kind of non-contact force	nongold
9	mass; weight is a property of matter; objects; materials	nongold
10	mass is a measure of the amount of matter in an object	nongold
11	as the mass of an object increases , the force of gravity on that object will increase	gold
12	if something causes something else then that something else depends on that something	nongold
13	mass is a property of objects; matter	nongold
14	if two objects are apart from each other then matter is between those two objects	nongold
15	weight is a measure of the force of the gravity on the mass of an object	nongold
16	as mass of a planet; of a celestial body increases , the force of gravity on that planet will increase	nongold
17	particles in objects are a kind of matter	nongold
18	as the force  of gravity changes , the mass of the object will stay the same	nongold
19	weight means the force of gravity acting on an object	nongold
20	a particle is a kind of object	nongold
21	as distance from an object decreases , the the pull of gravity on that object increases	gold
22	both means two	nongold
23	objects are made of materials; substances; matter	nongold
24	Weight is  the  force of gravity acting on an object	nongold
25	the mass of a planet causes the pull of gravity on that planet	nongold
26	if there is no gravitational pull , then the weight of an object will be equal to zero	nongold
27	as the distance from an object increases , the force of gravity on that object will decrease	nongold
28	mass is a kind of physical property	nongold
29	a land mass is a kind of object	nongold
30	a force is a kind of push or pull on an object	nongold
31	high is similar to increase	nongold
32	a pull is a kind of force	nongold
33	matter; materials; substances are made of atoms; particles	nongold
34	as state of matter changes , mass will not change	nongold
35	force requires energy	nongold
36	distance is a property of space and includes ordered values of close; far	nongold
37	massive means great in mass	nongold
38	closer means lower; less; a decrease in distance	nongold
39	affected means changed	nongold
40	as the mass of a planet; of a celestial object decreases , the surface gravity of that planet; of that celestial object weakens	nongold
41	an event is a kind of action	nongold
42	an part of an object is smaller than the entire object	nongold
43	mass; weight are the same on Earth	nongold
44	can be means able to be	nongold
45	a motion is a kind of event; action	nongold
46	as the mass of an oject decreases , the force of gravity on that object will decrease	nongold
47	far means great in distance	nongold
48	variable means able to change	nongold
49	density is a measure of mass of an object over volume; divided by volume	nongold
50	a weight is a kind of object	nongold
51	an increase is a kind of change	nongold
52	increase means more	nongold
53	answering questions requires information	nongold
54	mass is similar to size	nongold
55	a component of something means a part of that something	nongold
56	seconds are a kind of unit for measuring time	nongold
57	as force exerted on an object increases , distance travelled will increase	nongold
58	an increase is the opposite of a decrease	nongold
59	a component means a part of	nongold
60	if something requires something else then that something requires a source of that something else	nongold
61	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
62	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
63	extreme means very high in value	nongold
64	a living thing is a kind of object	nongold
65	length is a measure of distance from one end of an object to the other end of that object	nongold
66	force causes the speed of an object to increase; to decrease	nongold
67	inertia is a property of mass	nongold
68	as the force  of gravity changes , the weight of the object will change	nongold
69	distance moved; distance travelled is a measure of how far an object moves	nongold
70	if something is made by something else then that something is affected by that something else	nongold
71	to act on means to affect	nongold
72	if two objects; two materials have the same charge then those two objects; those two materials will repel each other	nongold
73	less is similar to decrease	nongold
74	a source of something increases the amount of that something	nongold
75	exerting force on an object means a force acts on an object	nongold
76	gravity accelerates an object while that object falls by pulling on it	nongold
77	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
78	a measure of time is a length of time	nongold
79	if the volume of a substance; of a matter expands while the mass remains the same , then the molecules in that substance; matter move farther apart	nongold
80	as the force of gravity increases , the weight of objects will increase	nongold
81	to give off means to be the source of	nongold
82	a factor impacts something	nongold
83	definite is the opposite of variable	nongold
84	pulling is a kind of motion	nongold
85	a process is a kind of event	nongold
86	something that happens is a kind of event	nongold
87	not is similar to the opposite of	nongold
88	a type is synonymous with a kind	nongold
89	to impact means to affect	nongold
90	intense means extreme	nongold
91	far is the opposite of close	nongold
92	causing means influencing	nongold
93	material means substance	nongold
94	pull is similar to attract	nongold
95	a source of something emits; produces; generates; provides that something	nongold
96	to lower means to decrease	nongold
97	as the mass of an object increases , the force required to push that object will increase	nongold
98	an object is made of its parts	nongold
99	if two objects move apart from each other then those two objects separate from each other	nongold
