Question	A decrease in air temperature from 60°F to 35°F would most likely cause a person to	question
Answer	shiver	answer
0	cold temperatures; cool temperatures cause animals to shiver	gold
1	shivering is when an animal creates heat by shaking to keep the body warm	gold
2	shivering is a kind of shaking	nongold
3	a person is a kind of animal	nongold
4	person is synonymous with human	gold
5	air temperature is a kind of temperature	nongold
6	to a  human a air; environment temperature of 32 F to 50 F is considered cold	gold
7	a human is a kind of animal	gold
8	an increase is the opposite of a decrease	nongold
9	to reduce means to decrease	nongold
10	to a  human a air; environment temperature of 50 F to 70 F is considered cool	nongold
11	temperature is a measure of heat energy	nongold
12	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
13	a decrease is a kind of change	nongold
14	an increase is a kind of change	nongold
15	to a  human a air; environment temperature of -450 F to 32 F is considered very cold	nongold
16	to a  human a air; environment temperature of 0 C to 10 C is considered cold	nongold
17	heat means temperature increases	nongold
18	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
19	heat means heat energy	nongold
20	to lower means to decrease	nongold
21	to a  human a air; environment temperature of -273 C to 0 C is considered very cold	nongold
22	to a  human a air; environment temperature of 70 F to 82 F is considered warm	nongold
23	to add means to increase	nongold
24	an animal is a kind of organism	nongold
25	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	gold
26	an animal is a kind of living thing	gold
27	if the environmental temperature; air temperature is too cold then an animal; a living thing in that environment may become cold	gold
28	cold means low in temperature	nongold
29	low is similar to decrease	nongold
30	human is a kind of organism	nongold
31	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
32	to a  human a air; environment temperature of 82 F to 95 F is considered hot	nongold
33	to a  human a air; environment temperature of 10 C to 21 C is considered cool	nongold
34	to a  human a air; environment temperature of 28 C to 35 C is considered hot	nongold
35	high is similar to increase	nongold
36	answering questions requires information	nongold
37	less is similar to decrease	nongold
38	atmosphere means  air	nongold
39	the air is a kind of substance	nongold
40	colder; cooler means lower in temperature	nongold
41	gas is a kind of state of matter	nongold
42	water is a kind of liquid at room temperature	nongold
43	air is a kind of matter	nongold
44	solid is a kind of state of matter	nongold
45	as temperature decreases , the air pressure will decrease	nongold
46	a living thing is a kind of object	nongold
47	freezing is a kind of phase change	nongold
48	hot means high in heat energy; temperature	nongold
49	temperature is a property of weather	nongold
50	liquid is a kind of state of matter	nongold
51	to a  human a air; environment temperature of 95 F to 50000000 F is considered very hot	nongold
52	air is a kind of gas	nongold
53	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
54	temperature changing can cause phase changes	nongold
55	gas is a kind of substance	nongold
56	if heat is transferred to the air , then the temperature of the air will increase	nongold
57	to a  human a air; environment temperature of 35 C to 50000000 C is considered very hot	nongold
58	freezing means cold temperatures	nongold
59	cool means cold	nongold
60	air is usually a thermal; thermal energy insulator	nongold
61	cold  air is usually high in air pressure	nongold
62	an organism is a living thing	nongold
63	temperature  is a property of air mass and includes ordered values of cold; warm	nongold
64	to a  human a air; environment temperature of 21 C to 28 C is considered warm	nongold
65	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
66	to change means to cause a change	nongold
67	adding heat means increasing temperature	nongold
68	the freezing point of water; melting point of water is 32F; 0C; 273K	nongold
69	increase means more	nongold
70	if an object is touching a warmer object , then the  cooler  object will increase in temperature until two objects reach the same temperature	nongold
71	humidity is the amount of water vapor; moisture in the air; in the atmosphere	nongold
72	heat energy can change the state of matter	nongold
73	air is a part of the environment	nongold
74	if something is  cold in temperature , then something will be cold to touch	nongold
75	warmer means greater; higher in temperature; warmth	nongold
76	extreme means very high in value	nongold
77	warm means medium heat energy; temperature	nongold
78	an object moving from a cool place to a warm place causes the object's temperature to increase	nongold
79	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
80	to slow; to slow down decreases speed	nongold
81	if an object is placed in a substance; in a location that is colder then that object will cool to the same temperature of that substance; of that location	nongold
82	objects are made of materials; substances; matter	nongold
83	water is a kind of substance	nongold
84	temperature  rise means temperature increase	nongold
85	as the cause of something decreases , that something will decrease	nongold
86	as altitude increases , the temperature of the air will decrease in the troposphere	nongold
87	cooling means temperature decreases	nongold
88	heat energy is synonymous with thermal energy	nongold
89	water is a kind of matter	nongold
90	as the temperature of an object increases , the size of that object will increase	nongold
91	variable means able to change	nongold
92	cold temperatures usually have a negative impact on organisms	nongold
93	as the amount of carbon dioxide in the atmosphere increases , the temperature of the planet; the atmosphere will increase	nongold
94	keeping cool means not increasing temperature	nongold
95	when gas compresses , the temperature of the gas increases	nongold
96	moving an object from a cool place to a  warm place causes the object's temperature to increase	nongold
97	as heat is transferred from something to something else , the temperature of that something will decrease	nongold
98	something in a cold place becomes cold	nongold
99	temperature is a kind of condition	nongold
