Question	Why is water considered to be a renewable resource?	question
Answer	Water can be used over again.	answer
0	renewable resources can be used over again	gold
1	water is a renewable resource	gold
2	a renewable resource is a kind of natural resource	nongold
3	a renewable resource can be renewed	nongold
4	water is a kind of natural resource	nongold
5	water is a kind of natural resource	nongold
6	a renewable resource is a kind of naturally replaced resource	nongold
7	renewable is the opposite of nonrenewable	nongold
8	a renewable resource can be replaced	nongold
9	water is a part of an environment	nongold
10	can be means able to be	nongold
11	to be used for something means to be required by that something	nongold
12	fossil fuels are a kind of energy resource	nongold
13	a source of something emits; produces; generates; provides that something	nongold
14	renewable resources are often available for many years	nongold
15	recycling means using over again	nongold
16	a fossil fuel is a kind of natural resource	nongold
17	throughout means over	nongold
18	renewable resources are replenished more quickly than they are used	nongold
19	fossil fuels are a nonrenewable resource	nongold
20	an inexhaustible resource is a kind of renewable resource	nongold
21	once means one time	nongold
22	water is a kind of substance	nongold
23	no longer means used to be	nongold
24	to provide something means to be the source of that something	nongold
25	a natural resource is a kind of environmental factor	nongold
26	consumption means use	nongold
27	doing something more means doing something again	nongold
28	oil is a kind of fossil fuel	nongold
29	if something causes a process then that something is required for that process	nongold
30	an increase is a kind of change	nongold
31	reusing is similar to using many times	nongold
32	a body of water is a source of water	nongold
33	a cycle happens; occurs repeatedly	nongold
34	answering questions requires information	nongold
35	to depend on; to rely on; to need means to require	nongold
36	irrigation requires water use	nongold
37	change is a kind of process	nongold
38	something reusable can be used more than once	nongold
39	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
40	resources sometimes are used for energy	nongold
41	natural gas is a kind of fossil fuel	nongold
42	water is when humans pollute the environment with pollutants	nongold
43	a process usually requires all of the stages in that process	nongold
44	to turn means to change	nongold
45	a part of a process means a stage in a process	nongold
46	if something is a raw material in a process then that something is required for that process	nongold
47	a process is a kind of event	nongold
48	if something requires something else then that something requires a source of that something else	nongold
49	high is similar to increase	nongold
50	an event is a kind of action	nongold
51	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
52	if something is required for a process then that something positively impacts that process	nongold
53	increase means more	nongold
54	something is used for that something's purpose	nongold
55	nature is the source of natural resources	nongold
56	a component of something means a part of that something	nongold
57	animals are a renewable resource	nongold
58	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
59	a cycle is a kind of process	nongold
60	using less of a resource means conserving that resource	nongold
61	an energy source is a kind of resource	nongold
62	to add means to increase	nongold
63	a step in a process means a stage in a process	nongold
64	a source of something increases the amount of that something	nongold
65	a component means a part of	nongold
66	drinking is a kind of water use	nongold
67	to be formed by is similar to being produced by	nongold
68	emit means produce	nongold
69	a body of water is a kind of environment	nongold
70	if something used to be in the past then that something  has changed	nongold
71	an environment means an area	nongold
72	natural gas is a nonrenewable resource	nongold
73	an environment is similar to an ecosystem	nongold
74	if something comes from something else then that something else is a source of that something	nongold
75	if something; an invention; a discovery is invented; discovered then that something; that invention; that discovery can be used	nongold
76	a change is a kind of event	nongold
77	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
78	the function of something is what that something  is used to do	nongold
79	heat means heat energy	nongold
80	a supply of something is a source of that something	nongold
81	plants are a kind of resource	nongold
82	where something  comes from is a source of that something	nongold
83	if an event is required for a process then that event must occur before that process can occur	nongold
84	a body of water contains water	nongold
85	to use means to utilize	nongold
86	water is a kind of matter	nongold
87	ground water is a kind of water	nongold
88	petroleum is a kind of fossil fuel	nongold
89	good means positive	nongold
90	tidal energy is a renewable resource	nongold
91	replace means change from one thing into  another	nongold
92	land is a kind of resource	nongold
93	to convert means to change	nongold
94	once per means every	nongold
95	if something causes an increase in something else then that something produces that something else	nongold
96	variable means able to change	nongold
97	using resources decreases those resources	nongold
98	sunlight produces heat	nongold
99	flowing is a kind of action	nongold
