Question	What is one way to change water from a liquid to a solid?	question
Answer	decrease the temperature	answer
0	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	gold
1	heat means temperature increases	nongold
2	temperature is a measure of heat energy	gold
3	adding heat means increasing temperature	nongold
4	water is a kind of liquid at room temperature	gold
5	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
6	to reduce means to decrease	gold
7	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
8	a decrease is a kind of change	nongold
9	to lower means to decrease	nongold
10	cooling means temperature decreases	nongold
11	an increase is the opposite of a decrease	nongold
12	heating means adding heat	nongold
13	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
14	heat means heat energy	gold
15	to add means to increase	nongold
16	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
17	an increase is a kind of change	nongold
18	a solid is a kind of substance	nongold
19	boiling is a kind of phase change	nongold
20	boiling is when liquids are heated above their boiling point	nongold
21	a liquid is a kind of substance	nongold
22	water is a kind of substance	nongold
23	as heat is transferred from something to something else , the temperature of that something will decrease	nongold
24	boiling point means temperature at which a liquid boils; above which a liquid boils	nongold
25	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
26	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	gold
27	increase means more	nongold
28	temperature changing can cause phase changes	nongold
29	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
30	melting point means temperature at which a solid melts; above which a solid melts	nongold
31	heating is the opposite of cooling	nongold
32	to limit means to decrease	nongold
33	a phase change is a kind of physical change	nongold
34	freezing is a kind of phase change	nongold
35	freezing point means temperature at which a liquid freezes; below which a liquid freezes	nongold
36	high is similar to increase	nongold
37	temperature  rise means temperature increase	nongold
38	warm up means increase temperature	nongold
39	boiling point is the highest temperature a liquid can reach	nongold
40	as temperature increases , the ability of that liquid to dissolve solids will increase	nongold
41	if an object is touching a warmer object , then the  cooler  object will increase in temperature until two objects reach the same temperature	nongold
42	boiling means the volume of a liquid decreases	nongold
43	sublimation means matter; a substance changes from a solid into a gas by increasing heat energy	nongold
44	affected means changed	nongold
45	as the specific heat of a material decreases , the temperature of the material will increase given the same amount of energy	nongold
46	less is similar to decrease	nongold
47	water is an thermal; thermal energy conductor	nongold
48	temperature drop means temperature decrease	nongold
49	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
50	the boiling point of water is 212F; 100C; 373K	nongold
51	cold means low in temperature	nongold
52	warm means medium heat energy; temperature	nongold
53	reducing is a kind of change	nongold
54	colder; cooler means lower in temperature	nongold
55	warmer means greater; higher in temperature; warmth	nongold
56	if heat is added to a substance then that substance absorbs that heat	nongold
57	keeping cool means not increasing temperature	nongold
58	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
59	if something absorbs; requires more heat than it gives off in an reaction , then something will be cold in temperature	nongold
60	evaporating is a kind of phase change	nongold
61	air temperature is a kind of temperature	nongold
62	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
63	as the temperature of a liquid increases , the rate of evaporation of that liquid will increase	nongold
64	low is similar to decrease	nongold
65	moisture means liquid; liquid water	nongold
66	as the cause of something decreases , that something will decrease	nongold
67	ability to undergo a phase change is a property of a substance; material	nongold
68	solid is a kind of state of matter	nongold
69	if an object is placed in a substance; in a location that is colder then that object will cool to the same temperature of that substance; of that location	nongold
70	a source of something increases the amount of that something	nongold
71	variable means able to change	nongold
72	heat energy is synonymous with thermal energy	nongold
73	warm; becoming warm means heat is added	nongold
74	melting is a kind of phase change	nongold
75	temperature drop means cooling	nongold
76	adding something is a kind of change	nongold
77	as the temperature of a substance; of an object decreases , the molecules in that substance will move slower; closer	nongold
78	a liquid is a kind of fluid	nongold
79	freezing means cold temperatures	nongold
80	water is a kind of matter	nongold
81	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
82	melting is when solids are heated above their melting point	nongold
83	worldwide temperature means atmospheric temperature	nongold
84	cooling is a kind of process	nongold
85	when gas compresses , the temperature of the gas increases	nongold
86	extreme means very high in value	nongold
87	liquid is a kind of state of matter	nongold
88	as the amount of a source of something decreases , the amount of that something will decrease	nongold
89	condensing means matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
90	volume has no impact on boiling; melting; freezing point	nongold
91	if something emits something else then that something increases the amount of that something else	nongold
92	boiling point is a property of a substance; material	nongold
93	mass has no impact on boiling; melting; freezing point	nongold
94	to convert means to change	nongold
95	desublimation; deposition means matter; a substance changes from a gas into a solid by decreasing heat energy	nongold
96	water is a kind of object	nongold
97	cool means cold	nongold
98	a source of something emits; produces; generates; provides that something	nongold
99	heat means the transfer of thermal energy	nongold
