Question	Carolina uses a microscope to view a soil sample taken from her backyard. Which part of the soil would she ONLY be able to see with a microscope?	question
Answer	bacteria	answer
0	bacteria is a part of soil	gold
1	bacteria is small; microscopic in size	gold
2	bacteria is a kind of living thing	nongold
3	studying a soil sample means studying the microorganisms in that soil	nongold
4	a microscope is a kind of tool for observing small things	gold
5	microscope is used to see small things; microscopic things; specimens by biologists by making them appear bigger	gold
6	a bacterium is a kind of organism	nongold
7	microscopic means very small in size	nongold
8	magnifying makes seeing small things easier through using a magnifying glass; using a microscope	nongold
9	soil is a kind of material	nongold
10	to view means to see	nongold
11	soil is a kind of nonliving thing	nongold
12	seeing is used for sensing visual things	nongold
13	soil is usually part of an environment	nongold
14	bacteria is a kind of pathogen sometimes	nongold
15	to see means to look	nongold
16	soil is found on the surface of the Earth	nongold
17	soil contains water; humus; weathered rocks; organic matter	nongold
18	a bacterium is a kind of decomposer	nongold
19	soil is made of very small rocks; minerals	nongold
20	sight means to see	nongold
21	visible means able to be seen	nongold
22	observe means see	gold
23	a structure of something is synonymous with a part of that something	nongold
24	often soil is found in an environment	nongold
25	an organism is a living thing	nongold
26	can be means able to be	nongold
27	a microorganism is very small in size	nongold
28	bacteria sometimes cause disease	nongold
29	ability    is a property of things and includes ordered values of able; unable; can; cannot	nongold
30	soil is made of solid particles	nongold
31	soil contains nutrients for plants	nongold
32	studying  something usually requires seeing that something	nongold
33	not looking means not seeing	nongold
34	sample is similar to small amount of substance; matter	nongold
35	soil is a part of the ground outside	nongold
36	a decomposer is usually a bacterium; fungus	nongold
37	the ability to do means be able to do	nongold
38	a plant is a kind of organism	nongold
39	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
40	a plant is a kind of living thing	nongold
41	a living thing is a kind of object	nongold
42	bacteria have the greatest amount of diversity	nongold
43	to be used for something means to be required by that something	nongold
44	able is the opposite of unable	nongold
45	if something is visible , then that something can be observed	nongold
46	an part of an object is smaller than the entire object	nongold
47	an animal is a kind of living thing	nongold
48	organisms mean life	nongold
49	bacillus is a kind of rod-shaped bacteria	nongold
50	if an object is made of something then the parts of that object are made of that something	nongold
51	bacteria grow in a bacterial culture	nongold
52	eyes are a part of a human for seeing	nongold
53	an animal is a kind of organism	nongold
54	high quality; rich; good soil has a high number of nutrients; amount of nitrogen	nongold
55	soil is formed by weathering	nongold
56	as the size of an object appears larger , that object will be seen;be observed more easily; better	nongold
57	not visible means cannot be seen	nongold
58	soil usually has layers	nongold
59	sight is a kind of sense	nongold
60	looking is similar to observing	nongold
61	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
62	eyes are usually part of an animal for seeing	nongold
63	soil is permeable	nongold
64	an animal; bacterium requires oxygen for survival; to breathe	nongold
65	look at means observe	nongold
66	instrument means tool	nongold
67	seeing requires light	nongold
68	An example of observing things is taking a picture	nongold
69	to look like means to have the visual properties of	nongold
70	In the food chain process bacteria have the role of decomposer	nongold
71	a fungus is a kind of living thing	nongold
72	sight means vision	nongold
73	an object is made of its parts	nongold
74	cannot means not be able to	nongold
75	nitrogen fixation is when nitrogen becomes fixed by bacteria in the soil	nongold
76	a magnifying glass is a kind of tool for observing small things	nongold
77	biotic means living	nongold
78	can means having the ability to	nongold
79	bacteria can show significant trait changes in the shortest period of time	nongold
80	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
81	a part of a living thing is a natural structure	nongold
82	a human is a kind of animal	nongold
83	bacteria; viruses cause food poisoning	nongold
84	adding heat to something kills viruses; bacteria in that something	nongold
85	an organism is made of organic matter	nongold
86	bacteria; molds; yeast cause food to spoil	nongold
87	nonliving; non-living; die is the opposite of living; alive; live	nongold
88	low quality soil has a small; a low number of nutrients	nongold
89	a fungus is a kind of organism	nongold
90	organisms are a part of an environment	nongold
91	abiotic means nonliving	nongold
92	harming something has a  negative impact on; effect on that something	nongold
93	if something is made of something; a material then that something contains that something; that material	nongold
94	a fungus is a kind of eukaryote	nongold
95	to study means to examine	nongold
96	viewing means observing light	nongold
97	if an organism can do something , then that organism is able to do that something	nongold
98	studying is similar to observing	nongold
99	person is synonymous with human	nongold
