Question	Which of the following animals goes through metamorphosis?	question
Answer	frog	answer
0	a frog is an adult form of a frog	nongold
1	a frog is a kind of animal	nongold
2	metamorphosis means complete metamorphosis	nongold
3	metamorphosis is a stage in the life cycle process of some animals	nongold
4	a frog is a kind of amphibian	gold
5	metamorphosis is when an amphibian; insect changes from  an immature form to an adult form	gold
6	metamorphosis is a kind of process	nongold
7	amphibians undergo metamorphosis	gold
8	a frog is a kind of aquatic animal	nongold
9	metamorphosed rock is a kind of rock	nongold
10	the  mature form of a frog is called a frog	nongold
11	metamorphosis of rocks is when rocks change from  one type into another type by  extreme heat and pressure	nongold
12	the pupa stage is a stage in the metamorphosis process of some animals	nongold
13	extreme heat and pressure change; metamorphose rock into metamorphic rock	nongold
14	an animal is a kind of living thing	nongold
15	a tadpole changes from  a tadpole into a frog through metamorphosis	nongold
16	metamorphic is a kind of rock	nongold
17	a reptile is a kind of animal	nongold
18	an organism is a living thing	nongold
19	to undergo is similar to to pass through	nongold
20	an animal is a kind of organism	nongold
21	a frog eats insects	nongold
22	metamorphic rock is a kind of rock	nongold
23	a frog is the mature form of a; adult form of a tadpole	gold
24	a living thing is a kind of object	nongold
25	incomplete metamorphosis is when an insect reaches the adult stage without being a pupa	nongold
26	organisms move through the stages of the life cycle	nongold
27	a tree frog is a kind of animal	nongold
28	frogs lay eggs	nongold
29	a human is a kind of animal	nongold
30	a lizard is a kind of animal	nongold
31	an animal is a member of an animal species	nongold
32	an amphibian is a kind of animal	gold
33	the immature form of a frog is called a tadpole	nongold
34	to happen means to occur	nongold
35	life means living things	nongold
36	phase means state	nongold
37	something that happens is a kind of event	nongold
38	an event is a kind of action	nongold
39	events occur at a specific place; at a specific time; with a specific frequency	nongold
40	all living things have life cycles	nongold
41	carnivores; omnivores; herbivores are a kind of animal	nongold
42	to pass through means to move through	nongold
43	to pass means to occur	nongold
44	a mammal is a kind of animal	nongold
45	a reptile is a kind of vertebrate	nongold
46	a tadpole is the immature form of a frog	gold
47	when a hibernating frog emergest from mud , that frog has ended its hibernation	nongold
48	an animal; living thing requires nutrients for survival	nongold
49	an object is made of its parts	nongold
50	a process is a kind of event	nongold
51	an animal is a kind of eukaryote	nongold
52	state means form	nongold
53	answering questions requires information	nongold
54	An example of hibernation is a frog burying itself in mud	nongold
55	affected means changed	nongold
56	high is similar to increase	nongold
57	the body of an animal contains arteries; veins	nongold
58	matter; materials; substances are made of atoms; particles	nongold
59	dissolving is similar to breaking down	nongold
60	the formation of something is a kind of process	nongold
61	a process usually requires all of the stages in that process	nongold
62	mammals is a kind of class	nongold
63	a brain is a part of an animal	nongold
64	formation of a state of matter is a kind of process	nongold
65	to cause the formation of means to form	nongold
66	an amphibian is a kind of vertebrate	nongold
67	motion; movement means moving; to move	nongold
68	gradual means slow; over time	nongold
69	to change into means to form	nongold
70	the head is a part of an animal	nongold
71	animals are a part of the biological kingdom Animalia	nongold
72	a motion is a kind of event; action	nongold
73	a reptile is cold-blooded	nongold
74	some frogs live in ponds	nongold
75	increasing is a kind of order	nongold
76	a step in a process means a stage in a process	nongold
77	living things can all reproduce	nongold
78	a moth undergoes metamorphosis	nongold
79	to split means to break down	nongold
80	to be made of something means to be formed of that something	nongold
81	alligators eat frogs; turtles; fish; mice; birds	nongold
82	an animal requires energy to move	nongold
83	motion is when moves an object; something to a direction	nongold
84	separate is similar to break down	nongold
85	evolution is a kind of process	nongold
86	a source of something emits; produces; generates; provides that something	nongold
87	breaking down is a kind of forming	nongold
88	living things perform biological processes	nongold
89	made up of means contains; made of	nongold
90	a tadpole is a kind of young; baby frog	nongold
91	an aquatic animal is a kind of animal	nongold
92	a cycle happens; occurs repeatedly	nongold
93	a part of a process means a stage in a process	nongold
94	growth means size;number;value;strength increases	nongold
95	limbs are part of an animal	nongold
96	class is a property of a rock and includes values of sedimentary; metamorphic; igneous	nongold
97	can be means able to be	nongold
98	food contains carbohydrates	nongold
99	variable means able to change	nongold
