Question	Which terms can be used to describe the properties of both a wave and a particle of light?	question
Answer	speed and frequency	answer
0	light is a kind of wave	gold
1	frequency is a property of a wave; a particel of light; an event	gold
2	a wave is a kind of object	gold
3	the properties of something are used for describing that something	nongold
4	a molecule is a kind of particle	nongold
5	speed is a property of an object and includes values of slow; fast	gold
6	a particle is a kind of object	gold
7	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
8	amplitude is a property of wave	nongold
9	both means two	nongold
10	matter; materials; substances are made of atoms; particles	nongold
11	rate is similar to speed	nongold
12	waves can travel through matter	nongold
13	particles in objects are a kind of matter	nongold
14	structure is a property of an object; a material; a substance	nongold
15	speed is  a measure of how fast the wave passes the medium	nongold
16	state of matter is a kind of physical property	nongold
17	an object has properties	nongold
18	wavelength is a property of wave	nongold
19	electromagnetic wave is a kind of  wave	nongold
20	the properties of something can be used to identify; used to describe that something	nongold
21	measuring is used for describing an object	nongold
22	a wave is formed by the vibration of the source spreading around from the source	nongold
23	atoms are made of particles	nongold
24	light is a kind of energy	nongold
25	light is a kind of energy	nongold
26	a physical property is a kind of property	nongold
27	electromagnetic wave is not a mechanical wave	nongold
28	as the wavelength; frequency of a wave changes , the speed of the wave in the same medium will usually stay the same	nongold
29	a vibration is similar to a wave	nongold
30	sound wave is a kind of wave	nongold
31	speed is a measure of how fast an object is moving	nongold
32	pitch of a sound can be  used to describe the frequency of the sound wave	nongold
33	light means light energy	nongold
34	as the frequency of a wave increases ,  the energy of the wave will increase	nongold
35	electromagnetic energy travels as electromagnetic waves	nongold
36	light is a kind of electromagnetic radiation	nongold
37	high speed means fast	nongold
38	state of matter at room temperature is a kind of physical property	nongold
39	the ability to refract is a property of waves	nongold
40	can be means able to be	nongold
41	sound wave is similar to sound	nongold
42	a molecule is a kind of object	nongold
43	sound wave is a kind of mechanical wave	nongold
44	faster means an increase; higher in speed	nongold
45	sound waves means sound energy	nongold
46	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
47	the  property of something is the same for the things of same kind	nongold
48	radiation is when electromagnetic waves transfers heat and light energy	nongold
49	characteristic means property	nongold
50	to be characterized by  a property means to have that property	nongold
51	a living thing is a kind of object	nongold
52	the effects of something is a property of that something	nongold
53	all electromagnetic waves have the same speed of 300000 km/s	nongold
54	Doppler Effect is when the  frequency of the waves changes when the distance from the wave source changes	nongold
55	electromagnetic energy is a kind of energy	nongold
56	vibration is a kind of motion	nongold
57	objects are made of materials; substances; matter	nongold
58	answering questions requires information	nongold
59	speed up means increase	nongold
60	refraction is a property of light	nongold
61	what something needs is a property of that something	nongold
62	all waves transfer; transmit energy from one place to another	nongold
63	ocean wave is a kind of wave	nongold
64	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
65	state of matter means physical state	nongold
66	faster means increased rate	nongold
67	a property is a kind of information	nongold
68	oscillation means physical vibration	nongold
69	variable means able to change	nongold
70	physical state means state of matter	nongold
71	mass is a kind of physical property	nongold
72	seconds are a kind of unit for measuring time	nongold
73	a pure substance is made of only one kind of atom; molecule	nongold
74	property is similar to measurement	nongold
75	an atom is the smallest particle; unit that has the properties of an element	nongold
76	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
77	if two objects are similar , then the two objects share properties	nongold
78	a property is similar to a factor	nongold
79	information is used to describe something	nongold
80	Rossby wave is slow in speed	nongold
81	substances are made of matter	nongold
82	a motion is a kind of event; action	nongold
83	form means kind	nongold
84	waves contain mechanical energy	nongold
85	a component of something means a part of that something	nongold
86	radiation is when heat is transferred through waves; particles	nongold
87	to slow; to slow down decreases speed	nongold
88	light travels faster than sound	nongold
89	opposite is a kind of different	nongold
90	all the other means the rest of	nongold
91	conductivity is a kind of physical property	nongold
92	meters;centimeters;kilometers are used to describe distance; describe length	nongold
93	slowest means lowest in  speed	nongold
94	phase means state	nongold
95	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
96	high is similar to increase	nongold
97	amplitude is  a measure of the loudness of the sound wave	nongold
98	a velocity is a measure of a speed in a direction	nongold
99	absorbance is when a wave absorbs at; stops at a surface	nongold
