Question	The skin of a chameleon can change colors to help it blend with its surroundings. How would this adaptation most likely help a chameleon survive?	question
Answer	by helping the chameleon hide from its predators	answer
0	coloration is a kind of adaptation for hiding;camouflage	nongold
1	camouflage is used for protection; hiding by prey; animals against predators; from predators	nongold
2	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	gold
3	hiding is a kind of protection against predators; from predators	nongold
4	camouflage is a kind of adaptation for hiding in an environment	gold
5	camouflage is a kind of protection against predators; from predators; against consumers	gold
6	An example of camouflage is when something changes color in order to have the same color as its environment	gold
7	a chameleon is a kind of lizard	nongold
8	hiding means visibility; ability to be seen decreases for camouflage	nongold
9	An example of camouflage is when something is; has the same color as its environment	nongold
10	hiding can be used for avoiding predators	nongold
11	disguise means  changing appearance to hide	nongold
12	camouflage can be used for hunting for prey; food	nongold
13	avoiding predators has a positive impact on prey's; an organism's survival; health; ability to reproduce	nongold
14	An example of camouflage is when an organism looks like its environment	nongold
15	avoiding predators; escaping predators; avoiding consumers is a kind of protection	nongold
16	Camouflage is synonymous with visual disguise	nongold
17	blending in is synonymous with hiding	gold
18	protecting a living thing has a  positive impact on that living thing's survival; health	gold
19	adaptations are used for survival	nongold
20	an adaptation is a kind of characteristic	nongold
21	skin is a part of an animal; plant	nongold
22	coloration means a thing's color	nongold
23	a predator is a kind of animal	nongold
24	an adaptation is a kind of change	nongold
25	helping something has a  positive impact on that something	gold
26	the color of an environment means the color of the things that environment contains	nongold
27	surroundings means environment	gold
28	helping means to assist in a change	nongold
29	protecting something means preventing harm to that something	nongold
30	an organism is a living thing	nongold
31	an environment means an area	nongold
32	harming something has a  negative impact on; effect on that something	nongold
33	a living thing is a kind of object	nongold
34	coloration means a pattern of colors	nongold
35	an animal is a kind of living thing	nongold
36	if an animal's skin is a certain color then that animal is that color	nongold
37	color is a property of  an object; a material	nongold
38	covering something is a kind of protection	nongold
39	to be used  for something means to help to do that something	nongold
40	trait is synonymous with characteristic	nongold
41	most predators live in; live near the same environment as their prey	nongold
42	survival means to survive	nongold
43	the colors of parts of an organism are inherited characteristics	nongold
44	an animal is a kind of organism	nongold
45	to help means to aid	nongold
46	an adaptation is an adaptive feature	nongold
47	hair; fur is  a part of skin for protection; keeping warm	nongold
48	if something has a positive impact on the survival of an organism then that organism is likely going to survive	nongold
49	an animal; living thing requires nutrients for survival	nongold
50	prey  is a kind of animal	nongold
51	if a living thing requires something then that something has a positive impact on that living thing	nongold
52	an animal is a member of an animal species	nongold
53	a covering is a kind of object	nongold
54	skin is used for protecting the body from harmful substances	nongold
55	organisms are a part of an environment	nongold
56	survive means live	nongold
57	survive means live	nongold
58	an organism's environment affects that organism's acquired characteristics	nongold
59	An example of camouflage is an organism looking like leaves	nongold
60	something hard; something strong can be used for protection	nongold
61	a part of something means a characteristic of something	nongold
62	hunting requires seeing; sensing prey	nongold
63	avoiding  predators is synonymous with avoiding being eaten	nongold
64	predators eat prey	nongold
65	killing means harming something causing death	nongold
66	an increase is the opposite of a decrease	nongold
67	negative impact is the opposite of positive impact	nongold
68	killing means changing a living thing from alive to dead by harming	nongold
69	if an animal's skin looks like something then that animal looks like that something	nongold
70	to change means to have an effect	nongold
71	an part of an object is smaller than the entire object	nongold
72	an adaptation  is  a change in a population over successive generations that  helps  individuals organisms in that population to  survive; reproduce	nongold
73	to change means to become different	nongold
74	an animal requires a habitat for survival	nongold
75	requiring is similar to needing help	nongold
76	adaptation is when an organism develops a trait over time for survival	nongold
77	a panther is a kind of predator	nongold
78	the color of; coloration of fur is an inherited characteristic	nongold
79	to protect means to defend	nongold
80	as the ability to survive; ability to reproduce of a living thing increases , the likelyhood of  passing on its traits to its decendents will increase	nongold
81	an increase is a kind of change	nongold
82	prey is a kind of food for predators	nongold
83	animals; living things live and feed in their habitats; near their habitats	nongold
84	nonliving; non-living; die is the opposite of living; alive; live	nongold
85	better senses have a positive impact on an animal's survival; health; ability to reproduce	nongold
86	keeping means staying	nongold
87	dark means dark in color	nongold
88	high is similar to increase	nongold
89	harming an environment causes harm to the living things; to the organisms in that environment	nongold
90	harming an animal species has a  negative impact on the population size of that species	nongold
91	habitat is similar to environment	nongold
92	an environment is a kind of place	nongold
93	human skin is a kind of object	nongold
94	to help; to benefit means to be of use	nongold
95	staying warm has a positive impact on an animal's survival; health	nongold
96	eating prey requires catching prey	nongold
97	a lack of something that a living thing requires prevents the survival of that living thing	nongold
98	positively impacting an organism's survival increases the likelihood of survival of that organism	nongold
99	affected means changed	nongold
