Question	A student reaches one hand into a bag filled with smooth objects. The student feels the objects but does not look into the bag. Which property of the objects can the student most likely identify?	question
Answer	shape	answer
0	shape is a property of an object	gold
1	the shape  of an object can be discovered through feeling that object; touching that object	gold
2	shape of the parts of something is a property of that something	nongold
3	shape is a property of the appearance of an object	nongold
4	a student is a kind of human	gold
5	a hand is a kind of object	nongold
6	structure is a property of an object; a material; a substance	nongold
7	touching something means feeling that something	nongold
8	structure is similar to shape	nongold
9	a container contains objects; material; substances	nongold
10	texture is a property of  surfaces; materials; objects and includes ordered  values of smooth; rough	nongold
11	a hand is a part of the body	nongold
12	the properties of something can be used to identify; used to describe that something	nongold
13	a surface is a part of a material	nongold
14	feeling is when an living thing senses through touch	nongold
15	smooth is a kind of texture	nongold
16	shape is a kind of characteristic	nongold
17	shape is a kind of physical property	nongold
18	a surface is a part of an object	nongold
19	shape is an extensive property	nongold
20	a property of something is a feature of that something	nongold
21	being  on something; placed in something; placed over something means touching  that something	nongold
22	variability of shape; variability of volume is a property of matter and includes values of variable; definite	nongold
23	appearance is a property of objects; materials	nongold
24	texture means how an object feels	nongold
25	not looking means not seeing	gold
26	if a container contains something then that container touches that something	nongold
27	an object has properties	nongold
28	a type of something is a kind of property of that something	nongold
29	if one surface; one substance; one object touches something then one is exposed to that something	nongold
30	if an object is made of a material then that object has the properties of that material	nongold
31	objects are made of materials; substances; matter	nongold
32	variability of shape; variability of volume is a kind of physical property	nongold
33	a container is a kind of object	nongold
34	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	nongold
35	color is a kind of physical; visual property	nongold
36	being in something means touching that something	nongold
37	a human is a kind of animal	gold
38	rough is the opposite of smooth	nongold
39	surface area is a property of shape	nongold
40	material means substance	nongold
41	composition is a property of an object; matter	nongold
42	Matter in the solid phase has definite shape	nongold
43	a structure of something is synonymous with a part of that something	nongold
44	a surface is a kind of object	nongold
45	identifying sometimes requires examining	nongold
46	if one is holding an object then one is touching that object	nongold
47	identifying is similar to determining	nongold
48	to see means to look	nongold
49	the shape of body parts is an inherited characteristic	nongold
50	an part of an object is smaller than the entire object	nongold
51	to touch means to contact	nongold
52	how something  appears is how that something  looks	nongold
53	to be filled with means to contain	nongold
54	looking in a container sometimes requires opening that container	nongold
55	a body part is a kind of object	nongold
56	the texture of an object can sometimes be told by looking at the object	nongold
57	something's function can be used to describe; identify that something	nongold
58	to look like means to have the visual properties of	nongold
59	if one surface is moved against; moved over; moved down another surface then those surfaces are touching	nongold
60	a living thing is a kind of object	nongold
61	if something is definite in shape then that something will not change shape easily	nongold
62	form is similar to body	nongold
63	touch is a kind of sense	nongold
64	a physical property is a kind of property	nongold
65	characteristic means property	nongold
66	Matter in the liquid phase has variable shape	nongold
67	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
68	a structure is a kind of feature	nongold
69	form means kind	nongold
70	Matter in the gas phase has variable shape	nongold
71	contents means the substance in a container	nongold
72	appearance  is a kind of physical property	nongold
73	the body is a part of an organism	nongold
74	felt is high in roughness	nongold
75	a part of something means a characteristic of something	nongold
76	size is an extensive property	nongold
77	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
78	a human hand is large enough to be visible	nongold
79	color is a property of  an object; a material	nongold
80	an object is an item	nongold
81	as amount; size of something increases , the intensive properties of that something will not change	nongold
82	matter with variable shape changes shape in different container	nongold
83	touching is when a body part makes contact with the surface of an object	nongold
84	texture is a kind of physical property	nongold
85	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
86	definite shape means the shape of an object stays the same when moved to different spot	nongold
87	an animal is a kind of living thing	nongold
88	if an object is held under a substance then that object is touching that substance	nongold
89	an object is made of its parts	nongold
90	as the size of an object appears larger , that object will be seen;be observed more easily; better	nongold
91	feature is synonymous with characteristic	nongold
92	similarity means the same property	nongold
93	mass; weight is an extensive property	nongold
94	motion; movement means moving; to move	nongold
95	an animal is a kind of organism	nongold
96	soft is a kind of touch sensation	nongold
97	if something is dropped into a container of something else then that something is touching that something else	nongold
98	looking is similar to observing	nongold
99	variable means able to change	nongold
