Question	When large areas of the rainforests are cleared and burned, climate can be affected. Which best explains how rainforest destruction can contribute to the greenhouse effect?	question
Answer	by releasing carbon into the atmosphere	answer
0	destruction means to destroy	gold
1	carbon dioxide is a kind of greenhouse gas	nongold
2	the greenhouse effect is when carbon in the air heats a planet's atmosphere	gold
3	impact means effect	nongold
4	to impact means to affect	nongold
5	a rainforest is a kind of ecosystem	nongold
6	greenhouse gases are a part of the atmosphere	nongold
7	destruction means loss	nongold
8	affected means changed	nongold
9	releasing something into the atmosphere increases the amount of that something in the atmosphere	nongold
10	fossil fuels release carbon dioxide into the atmosphere	nongold
11	clearing a forest is similar to deforestation	nongold
12	clearing is similar to removing	nongold
13	an environment means an area	nongold
14	clearing a forest means humans cutting down the trees	nongold
15	water vapor is a kind of greenhouse gas	nongold
16	a climate is synonymous with an environment	nongold
17	a forest is a kind of environment	nongold
18	burning fossil fuels increases the carbon in the atmosphere	nongold
19	atmosphere means  air	nongold
20	the atmosphere is a kind of area	nongold
21	destroying a forest means cutting down the trees in that forest	gold
22	humans changing an environment sometimes causes that environment to be destroyed	nongold
23	to emit means to release	nongold
24	causing is a kind of affecting	nongold
25	producing is similar to releasing	nongold
26	destroying something decreases the amount of that something	nongold
27	carbon dioxide is a kind of gas	nongold
28	change is a kind of impact	nongold
29	to cause means to have an effect	nongold
30	a plant absorbs carbon dioxide from the air for photosynthesis	nongold
31	water vapor is the largest amount of greenhouse gas in the atmosphere	nongold
32	to change means to have an effect	nongold
33	if something releases something else then that something is the source of that something else	nongold
34	produce is similar to release	nongold
35	to add means to increase	nongold
36	a source of something emits; produces; generates; provides that something	nongold
37	converting is similar to releasing	nongold
38	if something releases something else then that something else decreases in that something	nongold
39	as the population of plants decreases , carbon in the atmosphere will increase	gold
40	to reduce means to decrease	nongold
41	fire destroys plants in an environment	nongold
42	best means most positive	nongold
43	destroying something causes harm to that something	nongold
44	the atmosphere is a part of nature; the environment	nongold
45	harming something has a  negative impact on; effect on that something	nongold
46	air is a part of the environment	nongold
47	a forest is a kind of ecosystem	nongold
48	air is a kind of gas	nongold
49	gases released during the use of fossil fuels causes global warming	nongold
50	something being destroyed means that something no longer exists	nongold
51	greenhouse gases building up can cause global warming	nongold
52	fossil fuels burning causes pollution	nongold
53	burning is a kind of action	nongold
54	to lower means to decrease	nongold
55	fire causes burning	nongold
56	when carbon dioxide in the atmosphere is absorbed by plants , the amount of carbon dioxide in the atmosphere is reduced in the atmosphere	nongold
57	to give off means to be the source of	nongold
58	to cause something means to contribute to that something happening	nongold
59	to act on means to affect	nongold
60	increase means more	nongold
61	humans changing ecosystems;environments usually has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
62	to contribute is similar to produce	nongold
63	loss means reduction	nongold
64	rainforests contain many species	nongold
65	a forest contains  lots of plants; trees	gold
66	an increase is the opposite of a decrease	nongold
67	atmospheric means of the atmosphere	nongold
68	an increase is a kind of change	nongold
69	the atmosphere contains gases; liquids; solids	nongold
70	temperature is a measure of heat energy	nongold
71	if something is required for a process then that something positively impacts that process	nongold
72	high is similar to increase	nongold
73	loss is similar to removal	nongold
74	removing a forest means cutting down a forest	nongold
75	destroying animal habitats changes an ecosystem	nongold
76	removing forests means removing animal habitats	nongold
77	damage has a negative impact on a thing	nongold
78	if something affects a part of something else then that something affects that something else	nongold
79	if something is made by something else then that something is affected by that something else	nongold
80	a source of something increases the amount of that something	nongold
81	biofuel releases carbon dioxide into the atmosphere	nongold
82	absorbing something from the air means removing that something from Earth's atmosphere	nongold
83	chemical reactions can cause gas to be released into the atmosphere	nongold
84	a decrease is a kind of change	nongold
85	to be used for something means to be required by that something	nongold
86	an environment is similar to an ecosystem	nongold
87	if something causes a process then that something is required for that process	nongold
88	destroying animal habitats has a negative  impact on an ecosystem	nongold
89	releasing energy is a kind of function	nongold
90	to contribute means to add	nongold
91	destroying is a kind of function	nongold
92	the emission of something is when something is added into the atmosphere	nongold
93	reducing is a kind of change	nongold
94	loss is a kind of change	nongold
95	if something emits something else then that something increases the amount of that something else	nongold
96	adverse effect means negative impact	nongold
97	carbon is a kind of element	nongold
98	change is a kind of process	nongold
99	water vapor is found in the atmosphere	nongold
