Question	Aluminum containers can be melted and made into new products. How will recycling aluminum most likely benefit communities?	question
Answer	People will add less to landfills.	answer
0	landfills have a negative impact on the environment; communities	gold
1	recycling reduces; decreases the amount of waste sent to landfills	gold
2	an landfill is a source of pollution	nongold
3	humans move waste to a  landfill for disposal;storage	nongold
4	recycling has a  positive impact on the environment	nongold
5	less means a reduced amount	nongold
6	recycling means reusing	nongold
7	person is synonymous with human	nongold
8	less is similar to decrease	gold
9	recycling reduces the resources needed to make something	nongold
10	recycling is similar to reusing	nongold
11	a positive impact is  a benefit	gold
12	recycling resources; nonrenewable resources has a  positive impact on the environment; conservation of those resources	nongold
13	human waste often causes harm to an environment	nongold
14	recycling is a kind of method of disposal	nongold
15	if a human discards an object then that object will become waste	nongold
16	less is the opposite of more	nongold
17	aluminum is a kind of metal	nongold
18	to reduce means to decrease	nongold
19	a container contains objects; material; substances	nongold
20	waste has a  negative impact on the environment	nongold
21	An example of recycling is using an object to make a new object	nongold
22	to lower means to decrease	nongold
23	negative impact is the opposite of positive impact	gold
24	fewer means lower; less in number	nongold
25	to add means to increase	nongold
26	helping something has a  positive impact on that something	nongold
27	an increase is the opposite of a decrease	nongold
28	recyclable means a material can be recycled	nongold
29	waste must be removed	nongold
30	increase means more	nongold
31	recycling is a kind of action	nongold
32	replacing is similar to recycling	nongold
33	recycling means using over again	nongold
34	decreasing something negative has a positive impact on a thing	nongold
35	decreasing something positive has a negative impact on a thing	nongold
36	low is similar to decrease	nongold
37	a person is a kind of animal	nongold
38	to contribute means to add	nongold
39	to help; to benefit means to be of use	nongold
40	a decrease is a kind of change	nongold
41	aluminum is a kind of element	nongold
42	harming something has a  negative impact on; effect on that something	nongold
43	saving money has a positive impact on a person; a company	nongold
44	aluminum is recyclable	nongold
45	a community is made of many types of organisms in an area	nongold
46	lower means less	nongold
47	as the cause of something decreases , that something will decrease	nongold
48	trash is synonymous with waste	nongold
49	adding something is a kind of change	nongold
50	humans discarding waste in an environment causes harm to that environment	nongold
51	if an event occurs by adding something then that event requires that something	nongold
52	best means most positive	nongold
53	if something is required for a process then that something positively impacts that process	nongold
54	a container is a kind of object	nongold
55	good means positive	nongold
56	dumping something in an environment means adding that something to that environment	nongold
57	metal is a kind of material	nongold
58	to depend on; to rely on; to need means to require	nongold
59	as the amount of a source of something decreases , the amount of that something will decrease	nongold
60	requiring is similar to needing help	nongold
61	to be used for something means to be required by that something	nongold
62	pollution has a negative impact on the environment; air quality; water quality; society	nongold
63	a human is a kind of animal	nongold
64	aluminum is a nonrenewable resource	nongold
65	humans cause pollution	nongold
66	if something has a negative impact on something else then increasing the amount of that something has a negative impact on that something else	nongold
67	discarding aluminum cans wastes aluminum	nongold
68	little is similar to decrease	nongold
69	solution is similar to a positive impact	nongold
70	garbage means waste	nongold
71	if something has a positive impact on something else then increasing the amount of that something has a positive impact on that something else	nongold
72	metal is a kind of natural resource	nongold
73	requiring something means needing that something	nongold
74	high is similar to increase	nongold
75	an increase is a kind of change	nongold
76	melting is a kind of process	nongold
77	if something causes a process then that something is required for that process	nongold
78	metal is a kind of substance	nongold
79	greatest means largest; highest; most amount of something	nongold
80	processes sometimes produce waste products	nongold
81	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
82	using less resources usually causes money to be saved	nongold
83	to recycle means return	nongold
84	adverse effect means negative impact	nongold
85	absorbing something harmful has a negative impact on a thing	nongold
86	materials are used for making products by manufacturers	nongold
87	all living things eliminate waste	nongold
88	a source of something emits; produces; generates; provides that something	nongold
89	to impact means to affect	nongold
90	a metal is usually a solid at room temperature	nongold
91	to conserve means to not change	nongold
92	aluminum is a kind of matter	nongold
93	damage has a negative impact on a thing	nongold
94	change is a kind of impact	nongold
95	to create means to make	nongold
96	a positive impact is a helpful effect	nongold
97	objects are made of materials; substances; matter	nongold
98	to be good for means to have a positive impact on	nongold
99	organisms are a part of an environment	nongold
