Question	Which animals are most likely to carry the seeds found in berries from the parent plant to another area?	question
Answer	birds	answer
0	seed dispersal is when the seeds of a plant are moved; are carried; are spread; are dropped; from the parent plant to another area	gold
1	a bird is a kind of living thing	nongold
2	to be found in means to be contained in	nongold
3	a bird is a kind of animal	gold
4	seeds are a part of  berries	nongold
5	found in means existing in	nongold
6	seed dispersal is when the seeds of a plant are moved from the plant to  a new environment	gold
7	an environment means an area	gold
8	an animal is a kind of living thing	nongold
9	seed dispersers are a vehicle for spreading the seeds of a plant	gold
10	a region is similar to an environment	nongold
11	A bird is a pollinating animal	nongold
12	fruit contains seeds	gold
13	area is similar to location	nongold
14	if something is a part of something then that something can be found in that something	nongold
15	to carry means to transport	nongold
16	birds sometimes eat berries;seeds	gold
17	a region is a kind of location	nongold
18	to carry something means to contain something	nongold
19	place means area	nongold
20	to carry means to move something	nongold
21	an animal is a kind of organism	nongold
22	a seed is a part of a plant	nongold
23	a berry contains seeds	nongold
24	if something does not move then that something can be found in the same location	nongold
25	if something is located  in somewhere , then something can be found in somewhere	nongold
26	a seed is a kind of food for birds	nongold
27	a plant is a kind of living thing	nongold
28	carrying something means moving that something	nongold
29	plant requires seed dispersal for reproduction	nongold
30	carrier means the ones that carry	nongold
31	to transmit means to carry to another place	nongold
32	seed dispersal has a positive impact on a plant; a plant's reproduction	nongold
33	often is similar to likely	nongold
34	a plant is a kind of organism	nongold
35	a population is made of one type of organism in an area	nongold
36	a seed is a kind of young plant	nongold
37	a living thing is a kind of object	nongold
38	transport means to move; to make travel	nongold
39	An example of seed dispersal is animals eating; excreting seeds	nongold
40	a human is a kind of animal	nongold
41	answering questions requires information	nongold
42	some birds are predators	nongold
43	a flower is a part of a plant for attracting pollinators; producing seeds	nongold
44	if a plant is planted; growing somewhere then that plant is located there	nongold
45	a vehicle is used for transportation	nongold
46	a berry is a kind of fruit	gold
47	carrying is similar to conducting	nongold
48	a tree is a kind of plant	nongold
49	a tree is a kind of living thing	nongold
50	pollination is when pollinating animals; wind; water carry pollen from one flower to another flower	nongold
51	plant reproduction; seed production requires pollination	nongold
52	if seeds stick to the fur of an animal then that seed will be transported by the animal	nongold
53	if something is located in some place , then the presence of that something can be found in that location	nongold
54	an organism is a living thing	nongold
55	local means relating to a certain area	nongold
56	a vehicle is a kind of tool for travel; transport	nongold
57	distributing is similar to carrying	nongold
58	to bring means to transport	nongold
59	a plant; living thing requires food for survival	nongold
60	an object; material; substance comes from that object or material's source	nongold
61	a vehicle is used for travel	nongold
62	area; space is a kind of resource	nongold
63	some birds live in forests	nongold
64	An example of  seed dispersal is is an animal hiding; gathering; burying seeds	nongold
65	a seed is used for storing food for a new plant	nongold
66	the atmosphere is a kind of area	nongold
67	pollination requires pollinators; pollinating animals	nongold
68	corn is a kind of seed	nongold
69	a flower's purpose is to produce seeds	nongold
70	an acorn is a kind of seed	nongold
71	vegetation means plants	nongold
72	fruit is a part of a plant; tree	nongold
73	to transfer is similar to transport	nongold
74	plants of the same species have the same type of seed	nongold
75	an environment is a kind of place	nongold
76	a medium carries something to someplace	nongold
77	contains means located in	nongold
78	if something required by something else is in a place then that something else may be in that place	nongold
79	where something  comes from is a source of that something	nongold
80	usually something can be found  near a source in greater concentrations	nongold
81	objects in an environment are a part of that environment	nongold
82	made of is similar to contains	nongold
83	a flower is a kind of plant	nongold
84	a vehicle can be used for transferring	nongold
85	surroundings means environment	nongold
86	a community is made of many types of organisms in an area	nongold
87	plants are a part of the environment	nongold
88	an event is a kind of action	nongold
89	when an animal moves away from an area then the population of that animal decreases in that area	nongold
90	a bird is warm-blooded	nongold
91	a source of something emits; produces; generates; provides that something	nongold
92	if a living thing requires something then that something has a positive impact on that living thing	nongold
93	crops are a kind of edible plant for eating	nongold
94	pollinated means after pollination	nongold
95	a gourd is a kind of fruit	nongold
96	travel means to move	nongold
97	a flower produces pollen and seeds	nongold
98	to contain means to have inside	nongold
99	all living things grow	nongold
