Question	A certain animal has specialized cells that can cause it to change color rapidly. This color change will most likely help the animal	question
Answer	hide from predators.	answer
0	camouflage is used for protection; hiding by prey; animals against predators; from predators	gold
1	hiding means visibility; ability to be seen decreases for camouflage	nongold
2	protecting a living thing has a  positive impact on that living thing's survival; health	nongold
3	helping something has a  positive impact on that something	gold
4	hiding is a kind of protection against predators; from predators	nongold
5	hiding can be used for avoiding predators	gold
6	disguise means  changing appearance to hide	nongold
7	an animal is a kind of living thing	nongold
8	camouflage is a kind of protection against predators; from predators; against consumers	nongold
9	rapidly means quickly	nongold
10	a living thing is made of cells	nongold
11	protecting something means preventing harm to that something	nongold
12	fast means quickly	nongold
13	An example of camouflage is when something is; has the same color as its environment	nongold
14	Camouflage is synonymous with visual disguise	nongold
15	An example of camouflage is when an organism looks like its environment	nongold
16	coloration is a kind of adaptation for hiding;camouflage	nongold
17	camouflage is a kind of adaptation for hiding in an environment	nongold
18	an animal cell is a kind of cell	nongold
19	helping means to assist in a change	nongold
20	An example of camouflage is when something changes color in order to have the same color as its environment	gold
21	a living thing is a kind of object	nongold
22	camouflage can be used for hunting for prey; food	nongold
23	quickly means in a short period of time	nongold
24	coloration means a thing's color	nongold
25	if a living thing requires something then that something has a positive impact on that living thing	nongold
26	an animal is a kind of organism	gold
27	a predator is a kind of animal	nongold
28	helping means something can be done; completed more easily; better	nongold
29	faster means an increase; higher in speed	nongold
30	to be used  for something means to help to do that something	nongold
31	an organism is a living thing	nongold
32	a cell is a kind of object	nongold
33	to help; to benefit means to be of use	nongold
34	requiring is similar to needing help	nongold
35	An example of camouflage is an organism looking like leaves	nongold
36	if an animal's fur is a color then that animal is that color	nongold
37	if an animal's skin is a certain color then that animal is that color	nongold
38	harming something has a  negative impact on; effect on that something	nongold
39	a human is a kind of animal	nongold
40	to help means to aid	nongold
41	a cell is very small	nongold
42	color is a property of  an object; a material	nongold
43	certain is similar to specific	nongold
44	animals usually distance themselves from humans	nongold
45	color is a kind of physical; visual property	nongold
46	fur is a covering around the body of an animal	nongold
47	avoiding predators has a positive impact on prey's; an organism's survival; health; ability to reproduce	gold
48	an increase is a kind of change	nongold
49	fur is often part of an animal	nongold
50	coloration means a pattern of colors	nongold
51	if an animal's fur is a certain color then the skin of that animal is probably that same color	nongold
52	a face is often a part of an animal	nongold
53	green is a kind of color	nongold
54	cells are a part of the body	nongold
55	if an animal's skin looks like something then that animal looks like that something	nongold
56	some animals move quickly to escape predators	nongold
57	answering questions requires information	nongold
58	faster means increased rate	nongold
59	blending in is synonymous with hiding	nongold
60	white is a kind of color	nongold
61	difficulty seeing means visibility decreases	nongold
62	eyes are usually part of an animal for seeing	nongold
63	a mammal is a kind of animal	nongold
64	ink is used for hiding from predators by octopuses	nongold
65	the color of an environment means the color of the things that environment contains	nongold
66	a human cell is a kind of cell	nongold
67	killing means changing a living thing from alive to dead by harming	nongold
68	fur is usually part of a mammal	nongold
69	high is similar to increase	nongold
70	skin is a part of an animal; plant	nongold
71	a panther is a kind of predator	nongold
72	black is a kind of color	nongold
73	dark means dark in color	nongold
74	specialized cells are a source of chemicals that destroy disease-causing microbes	nongold
75	hair; fur is  a part of skin for protection; keeping warm	nongold
76	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
77	fur is usually soft in texture	nongold
78	white fur is white in color	nongold
79	colorless means no color	nongold
80	harming an environment causes harm to the living things; to the organisms in that environment	nongold
81	a rabbit is a kind of animal	nongold
82	red is a kind of color	nongold
83	brown is a kind of color	nongold
84	helping bodily processes has a positive impact on an animal; an animal's health	nongold
85	looking like is similar to camouflaging as	nongold
86	an environment means an area	nongold
87	fast is the opposite of slow	nongold
88	eyes are a part of a human for seeing	nongold
89	an animal; living thing requires nutrients for survival	nongold
90	black is dark in color	nongold
91	the color of; coloration of fur is an inherited characteristic	nongold
92	coat means fur coat	nongold
93	brown is dark in color	nongold
94	a part of a living thing is a natural structure	nongold
95	mimicry is used for avoiding predators by animals by camouflaging as a dangerous animal	nongold
96	can means having the ability to	nongold
97	the color of an object can be discovered by looking at that object	nongold
98	a predator is a kind of enemy to its prey	nongold
99	to slow; to slow down decreases speed	nongold
