Question	Some businesses offer customers the option to pay for merchandise using their fingerprints as identification. Which of the following would most benefit customers that use this new technology?	question
Answer	protection of private information	answer
0	biometric authentication has a positive impact on the protection of private information	gold
1	protecting something means preventing harm to that something	nongold
2	An example of biometric authentication is using fingerprints for identification	gold
3	to help; to benefit means to be of use	nongold
4	harming something has a  negative impact on; effect on that something	nongold
5	a positive impact is  a benefit	gold
6	fingerprints are usually unique	nongold
7	a fingerprint is small in size	nongold
8	biometric authentication is a kind of  technology	gold
9	something hard; something strong can be used for protection	nongold
10	a computer is used for communication; finding information	nongold
11	answering questions requires information	nongold
12	a finger is a part of a hand	nongold
13	a user is a kind of person	nongold
14	to protect means to defend	nongold
15	a property is a kind of information	nongold
16	covering something is a kind of protection	nongold
17	an animal is a kind of consumer	nongold
18	negative impact is the opposite of positive impact	nongold
19	to be used for something means to be required by that something	nongold
20	data means information	nongold
21	person is synonymous with human	nongold
22	helping something has a  positive impact on that something	nongold
23	knowing the properties of something means knowing information about that something	nongold
24	a consumer is a kind of organism	nongold
25	to protect means to make safe	nongold
26	a human is a kind of animal	nongold
27	protecting is a kind of function	nongold
28	solution is similar to a positive impact	nongold
29	communicating means sharing information	nongold
30	the properties of something can be used to identify; used to describe that something	nongold
31	to identify means to discover	nongold
32	an animal is a kind of organism	nongold
33	information is used to describe something	nongold
34	a person is a kind of animal	nongold
35	technology is similar to tool	nongold
36	being used for is similar to providing	nongold
37	a positive impact is a helpful effect	nongold
38	a product is a kind of object	nongold
39	money usually has a positive impact on a person's life	nongold
40	a description sometimes provides information	nongold
41	indication is similar to a piece of information	nongold
42	saving money has a positive impact on a person; a company	nongold
43	something that is used for communication increases communication	nongold
44	something's function can be used to describe; identify that something	nongold
45	a negative impact is a kind of consequence; risk	nongold
46	if something has a negative impact on something else then increasing the amount of that something has a negative impact on that something else	nongold
47	to obtain means to get	nongold
48	identifying sometimes requires examining	nongold
49	location is a kind of information	nongold
50	identical means copy	nongold
51	monitoring something is used for knowing information about that something	nongold
52	to detect means to find	nongold
53	human is a kind of organism	nongold
54	if something has a positive impact on something else then increasing the amount of that something has a positive impact on that something else	nongold
55	a computer is a kind of tool	nongold
56	the function of something is what that something  is used to do	nongold
57	best means most positive	nongold
58	appliance is similar to technology	nongold
59	the automobile is a kind of technology	nongold
60	avoiding predators; escaping predators; avoiding consumers is a kind of protection	nongold
61	to serve as means to be used as	nongold
62	high is similar to increase	nongold
63	to touch means to contact	nongold
64	if a living thing requires something then that something has a positive impact on that living thing	nongold
65	getting information sometimes requires observing; observation	nongold
66	a device is a kind of object	nongold
67	device means tool	nongold
68	adverse effect means negative impact	nongold
69	the composition of something can be used to identify that something	nongold
70	communication has a positive impact on a person's life	nongold
71	sense is used for obtaining information about one's environment	nongold
72	a source of something emits; produces; generates; provides that something	nongold
73	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
74	trait is a kind of genetic information	nongold
75	decreasing use  of a resource protects that resource	nongold
76	if something is required for a process then that something positively impacts that process	nongold
77	to provide something means to be the source of that something	nongold
78	having a job has a positive impact on a human	nongold
79	if something is required then that something must be provided	nongold
80	identifying is similar to determining	nongold
81	can be means able to be	nongold
82	old is the opposite of new	nongold
83	a vehicle transmits something	nongold
84	largest amount means most	nongold
85	a machine is a kind of  device	nongold
86	if something has a positive impact on something else then that something is important to that something else	nongold
87	greatest means largest; highest; most amount of something	nongold
88	an animal is a kind of living thing	nongold
89	to be good for means to have a positive impact on	nongold
90	beneficial means helpful	nongold
91	to impact means to affect	nongold
92	a human requires new information to invent things	nongold
93	most means over 50% of something	nongold
94	to depend on; to rely on; to need means to require	nongold
95	curiosity means the need to know new information	nongold
96	if something requires something else then that something requires a source of that something else	nongold
97	as the sale of a product decreases , the amount of money made by the person selling that product will decrease	nongold
98	a sharp object can be used for protection	nongold
99	causing is a kind of affecting	nongold
