Question	Which of these describes water in a solid state?	question
Answer	Hail during a storm	answer
0	hailing is when hail fall from clouds to the Earth;ground	nongold
1	hail is a kind of precipitation; ice	gold
2	precipitation is when rain;snow;hail fall from clouds to the Earth;ground	nongold
3	storm is a kind of weather; weather event	nongold
4	the properties of something are used for describing that something	nongold
5	a storm is usually a source of strong winds	nongold
6	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	gold
7	solid is a kind of state of matter	nongold
8	amount of water in a body of water increases by storms; rain; glaciers melting; snow melting; ice melting	nongold
9	storms;rain cause bodies of water to increase amount of water they contain	nongold
10	a storm is a source of precipitation	nongold
11	a solid is a kind of substance	nongold
12	liquid is a kind of state of matter	nongold
13	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
14	water is a kind of liquid at room temperature	nongold
15	rainstorm means rain storm	nongold
16	water is a kind of substance	nongold
17	temperature is a measure of heat energy	nongold
18	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
19	precipitation is a property of weather	nongold
20	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
21	water is a kind of matter	nongold
22	rain is a kind of water	nongold
23	the properties of something can be used to identify; used to describe that something	nongold
24	gas is a kind of state of matter	nongold
25	measuring is used for describing an object	nongold
26	ice is a kind of solid	nongold
27	water is a kind of object	nongold
28	a liquid is a kind of substance	nongold
29	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
30	a thunderstorm is a kind of storm	nongold
31	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
32	raining is when rain falls from clouds to the Earth;ground as a liquid	nongold
33	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
34	An example of stormy weather is rain	nongold
35	precipitation is a kind of weather	nongold
36	heat means heat energy	nongold
37	the location of an object can be used to describe that object	nongold
38	a rock is usually a solid	nongold
39	phase means state	nongold
40	a description sometimes provides information	nongold
41	a weather report describes weather	nongold
42	temperature is a property of weather	nongold
43	frozen means solid	nongold
44	water is a kind of water phase	nongold
45	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
46	precipitation is when water falls from the sky	nongold
47	a container contains objects; material; substances	nongold
48	ice is a kind of water phase	nongold
49	state of matter means physical state	nongold
50	gas is a kind of substance	nongold
51	variable means able to change	nongold
52	objects are made of materials; substances; matter	nongold
53	state of matter is a kind of physical property	nongold
54	something's function can be used to describe; identify that something	nongold
55	state of matter at room temperature is a kind of physical property	nongold
56	a change is a kind of event	nongold
57	high is similar to increase	nongold
58	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
59	rain is a kind of precipitation	nongold
60	state means form	nongold
61	Earth contains water; ice; (steam, water vapor)	nongold
62	something that happens is a kind of event	nongold
63	affected means changed	nongold
64	to add means to increase	nongold
65	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
66	physical state means state of matter	nongold
67	a blizzard is a kind of storm	nongold
68	a surface is a part of an object	nongold
69	weather is a property of a environment	nongold
70	an event is a kind of action	nongold
71	to change means to cause a change	nongold
72	rain is a source of water	nongold
73	the freezing point of water; melting point of water is 32F; 0C; 273K	nongold
74	to reduce means to decrease	nongold
75	freezing is a kind of phase change	nongold
76	substances are made of matter	nongold
77	ice is a kind of object	nongold
78	a body of water contains water	nongold
79	a type is synonymous with a kind	nongold
80	freezing causes a solid to form	nongold
81	H2O means water	nongold
82	low is similar to decrease	nongold
83	water exists in three states on Earth	nongold
84	events occur at a specific place; at a specific time; with a specific frequency	nongold
85	Matter in the solid phase has definite volume	nongold
86	water expanding when it freezes is a physical property of water	nongold
87	an increase is a kind of change	nongold
88	water is a part of an environment	nongold
89	material means substance	nongold
90	a source of something emits; produces; generates; provides that something	nongold
91	meters;centimeters;kilometers are used to describe distance; describe length	nongold
92	something that contains water is similar to a body of water	nongold
93	moisture means liquid; liquid water	nongold
94	extreme means very high in value	nongold
95	steam;water vapor is a kind of water above 100 degrees celsius	nongold
96	a surface is a kind of object	nongold
97	to lower means to decrease	nongold
98	an increase is the opposite of a decrease	nongold
99	answering questions requires information	nongold
