Question	A student put 200 milliliters	question
Answer	It condensed.	answer
0	milliliters is a kind of unit for measuring volume of liquids	nongold
1	mL means milliliters	nongold
2	milliliters ( mL ) is a metric unit used for measuring volume generally used for values between 1.0 and 1000.0	nongold
3	condensing means matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
4	condensing means liquid water coming together in the air	nongold
5	condensing causes a liquid to form	nongold
6	a student is a kind of human	nongold
7	condensing is when gasses are  cooled below their boiling point	nongold
8	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
9	condensing is similar to collecting	nongold
10	a human is a kind of animal	nongold
11	length is a part of size	nongold
12	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
13	a living thing is a kind of object	nongold
14	condensing is a kind of  phase change	nongold
15	condensing is a kind of process	nongold
16	liquid is a kind of state of matter	nongold
17	density is a property of an object; a substance and includes ordered values of dense; not dense	nongold
18	a calculator is used for adding; subtracting; multiplying; dividing	nongold
19	dew is a kind of condensation	nongold
20	water vapor;steam cooling causes that water vapor;steam to condense	nongold
21	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
22	matter; materials; substances are made of atoms; particles	nongold
23	an part of an object is smaller than the entire object	nongold
24	to add means to increase	nongold
25	water is a kind of matter	nongold
26	can be means able to be	nongold
27	condensation is a kind of process	nongold
28	condensation is a stage in the water cycle process	nongold
29	centimeters ( cm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 250.0	nongold
30	state of matter means physical state	nongold
31	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
32	microscopic means very small in size	nongold
33	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	gold
34	Matter in the solid phase has definite shape	nongold
35	an animal is a kind of living thing	nongold
36	water is a kind of medium for light	nongold
37	a meter is a kind of unit for measuring distance; measuring length	nongold
38	matter is made of molecules	nongold
39	a centimeter is a kind of unit of measurement	nongold
40	state of matter is a kind of physical property	nongold
41	gas is a kind of state of matter	nongold
42	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	nongold
43	thickness is a property of an object and includes ordered  values of thin; thick	nongold
44	objects are made of materials; substances; matter	nongold
45	structure is a property of an object; a material; a substance	nongold
46	water is a kind of liquid at room temperature	gold
47	an animal is a kind of organism	nongold
48	solid is a kind of state of matter	nongold
49	physical state means state of matter	nongold
50	plant and animal matter means organic matter	nongold
51	beads of water are formed by water vapor condensing	nongold
52	Matter in the liquid phase has variable shape	nongold
53	a physical property is a kind of property	nongold
54	Matter in the gas phase has variable shape	nongold
55	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
56	compressibility is a property of  matter and includes ordered values of compressible; not compressible	nongold
57	matter in the liquid state drips	nongold
58	water is a kind of object	nongold
59	a star is a kind of celestial object; celestial body	nongold
60	a molecule is a kind of object	nongold
61	high is similar to increase	nongold
62	a paper is a kind of object	nongold
63	person is synonymous with human	nongold
64	materials are made of matter	nongold
65	a pure substance is made of only one kind of atom; molecule	nongold
66	condensation causes clouds to form	nongold
67	an element is made of one kind of atoms	nongold
68	composition is a property of an object; matter	nongold
69	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
70	a tree is a kind of matter	nongold
71	meters ( m ) are a  metric; SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
72	a gram  is a kind of unit for measuring mass	nongold
73	an object is made of its parts	nongold
74	an organism is a living thing	nongold
75	the volume of an object can be used to describe  the size of that object	nongold
76	water droplets scatter light	nongold
77	Matter in the solid phase has definite volume	nongold
78	greatest means largest; highest; most amount of something	nongold
79	length is a property of the shape of an object	nongold
80	room contains walls	nongold
81	Matter in the liquid phase has definite volume	nongold
82	an event is a kind of action	nongold
83	substances are made of matter	nongold
84	a liquid is a kind of substance	nongold
85	water is a kind of substance	gold
86	an atom is the smallest particle; unit that has the properties of an element	nongold
87	an atom is exceptionally small in size	nongold
88	particles in objects are a kind of matter	nongold
89	density is a measure of mass of an object over volume; divided by volume	nongold
90	a sheet of paper is a kind of object	nongold
91	variable means able to change	nongold
92	a graduated cylinder is used to measure volume of a liquid; of an object	nongold
93	made up of means contains; made of	nongold
94	a landform is a kind of object	nongold
95	meters;centimeters;kilometers are used to describe distance; describe length	nongold
96	composed of means made of	nongold
97	gas is a kind of object	nongold
98	state of matter at room temperature is a kind of physical property	nongold
99	an atom is a kind of object	nongold
