Question	Which of these causes the atmosphere to change?	question
Answer	increased buildup of greenhouse gases	answer
0	greenhouse gases are a part of the atmosphere	gold
1	buildup means increase	gold
2	carbon dioxide is a kind of greenhouse gas	nongold
3	the greenhouse effect is when carbon in the air heats a planet's atmosphere	nongold
4	water vapor is a kind of greenhouse gas	nongold
5	greenhouse gases building up can cause global warming	nongold
6	greenhouse gases heat the atmosphere by absorbing infrared radiation released by Earth	nongold
7	an increase is a kind of change	gold
8	to add means to increase	nongold
9	a decrease is a kind of change	nongold
10	water vapor is the largest amount of greenhouse gas in the atmosphere	nongold
11	releasing something into the atmosphere increases the amount of that something in the atmosphere	nongold
12	increase means more	nongold
13	to change means to cause a change	gold
14	to reduce means to decrease	nongold
15	as the amount of carbon dioxide in the atmosphere increases , the temperature of the planet; the atmosphere will increase	nongold
16	heat means temperature increases	nongold
17	high is similar to increase	nongold
18	an increase is the opposite of a decrease	nongold
19	atmospheric means of the atmosphere	nongold
20	a source of something increases the amount of that something	nongold
21	a change is a kind of event	nongold
22	if something causes an increase in something else then that something produces that something else	nongold
23	carbon dioxide is a kind of gas	nongold
24	if something releases something else then that something is the source of that something else	nongold
25	temperature is a measure of heat energy	nongold
26	variable means able to change	nongold
27	the emission of something is when something is added into the atmosphere	nongold
28	gases released during the use of fossil fuels causes global warming	nongold
29	an event is a kind of action	nongold
30	a greenhouse converts sunlight from radiation into thermal energy	nongold
31	if something emits something else then that something increases the amount of that something else	nongold
32	affected means changed	nongold
33	gas is a kind of substance	nongold
34	to be a source of something means to cause that something	nongold
35	atmosphere means  air	nongold
36	chemical reactions can cause gas to be released into the atmosphere	nongold
37	low is similar to decrease	nongold
38	the atmosphere contains gases; liquids; solids	nongold
39	to emit means to release	nongold
40	as the amount of a source of something decreases , the amount of that something will decrease	nongold
41	action can cause change	nongold
42	to change means to have an effect	nongold
43	air is a part of the environment	nongold
44	to lower means to decrease	nongold
45	something that happens is a kind of event	nongold
46	change is a kind of process	nongold
47	a process is a kind of event	nongold
48	change is a kind of impact	nongold
49	less is similar to decrease	nongold
50	heat means heat energy	nongold
51	the Earth's atmosphere is made of .036 percent carbon dioxide by volume	nongold
52	adding heat means increasing temperature	nongold
53	to cause means to have an effect	nongold
54	a source of something emits; produces; generates; provides that something	nongold
55	the Earth's atmosphere is made of 0 to 4 percent hydrogen; water vapor by volume	nongold
56	the atmosphere is a kind of area	nongold
57	global warming is when worldwide temperature increases	nongold
58	fossil fuels release carbon dioxide into the atmosphere	nongold
59	as atmospheric temperature increases , the amount of water vapor able to be held by the atmosphere will increase	nongold
60	to cause an event is similar to being involved in that event	nongold
61	as the cause of something decreases , that something will decrease	nongold
62	air is a kind of gas	nongold
63	when carbon dioxide in the atmosphere is absorbed by plants , the amount of carbon dioxide in the atmosphere is reduced in the atmosphere	nongold
64	air temperature is a kind of temperature	nongold
65	thermosphere is a  layer of Earth's atmosphere	nongold
66	events occur at a specific place; at a specific time; with a specific frequency	nongold
67	impact means effect	nongold
68	carbon dioxide concentrations in the air have increased over the last decade dramatically	nongold
69	worldwide temperature means atmospheric temperature	nongold
70	if something causes a process then that something is required for that process	nongold
71	as the amount of polluting gasses in the atmoshere increases , the atmospheric temperature will increase	nongold
72	answering questions requires information	nongold
73	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
74	reducing is a kind of change	nongold
75	to happen means to occur	nongold
76	vapor is synonymous with gas	nongold
77	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
78	extreme means very high in value	nongold
79	temperature changing can cause phase changes	nongold
80	the atmosphere is a part of nature; the environment	nongold
81	hydrogen is a kind of gas at room temperature	nongold
82	harming something has a  negative impact on; effect on that something	nongold
83	if greenhouse gases are absent , then the atmosphere will be cooler	nongold
84	to remain means to not change	nongold
85	a  gas is a kind of  element	nongold
86	temperature  rise means temperature increase	nongold
87	producing is similar to causing	nongold
88	too much is similar to increase	nongold
89	hot means high in heat energy; temperature	nongold
90	a factor impacts something	nongold
91	evaporating is a kind of phase change	nongold
92	to maintain means to not change	nongold
93	when gas compresses , the temperature of the gas increases	nongold
94	as the size of a source of something increases , the amount of the something that that source produces will decrease	nongold
95	staying means not changing	nongold
96	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
97	humidity is the amount of water vapor; moisture in the air; in the atmosphere	nongold
98	unchanged means not changed	nongold
99	a greenhouse is a kind of shelter for plants	nongold
