Question	The gravitational attraction of the Moon causes which effect on Earth?	question
Answer	ocean tides	answer
0	the gravitational pull of the Moon on Earth's oceans causes the tides	gold
1	the gravitational pull of the Sun on Earth's oceans causes the tides	nongold
2	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	gold
3	a moon is a kind of celestial object; body	nongold
4	ocean tides are a kind of phenomenon	nongold
5	Earth is a kind of planet	nongold
6	the Moon is Earth's moon	nongold
7	the moon orbits the Earth	nongold
8	as gravitational pull of the moon decreases , the ocean tides will be lower	nongold
9	a planet is a kind of celestial object; body	nongold
10	gravity causes orbits	nongold
11	an ocean is a kind of body of water	nongold
12	the tide is when ocean levels periodically rise; fall	nongold
13	tidal means related to tides	nongold
14	as the gravitational pull of the moon on the Earth decreases , the size of the tides on Earth decrease	nongold
15	moons are large; solid; spherical	nongold
16	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
17	to cause means to have an effect	gold
18	gravity is a kind of force	nongold
19	as mass of a planet; of a celestial body increases , the force of gravity on that planet will increase	nongold
20	the moon rotates on its axis	nongold
21	impact means effect	nongold
22	the moon is the celestial object that is closest to the  Earth	nongold
23	the earth has more mass than the moon	nongold
24	the lowest gravitational pull is during a quarter moon	nongold
25	to change means to have an effect	nongold
26	the Moon has less water; air than Earth	nongold
27	an increase is a kind of change	nongold
28	the gravitational force of a planet; of a celestial object does not change the mass of an object on that planet or celestial body	nongold
29	the mass of a planet causes the pull of gravity on that planet	nongold
30	a tide is a kind of natural event	nongold
31	gravity;gravitational force causes objects that have mass; substances to be pulled down; to fall on a planet	nongold
32	as the mass of a planet; of a celestial object decreases , the surface gravity of that planet; of that celestial object weakens	nongold
33	moons orbit planets	nongold
34	high is similar to increase	nongold
35	a planet's  moon is smaller than that planet	nongold
36	the Moon is closer to the Earth than the Sun	nongold
37	to be a source of something means to cause that something	nongold
38	the new moon is when the lighted half of the moon faces the Sun	nongold
39	a motion is a kind of event; action	nongold
40	if an object escapes the gravitational pull of a planet then that object is no longer affected by the gravitational pull of that planet	nongold
41	type of moon; kind of moon means moon phase	nongold
42	the moon orbiting the Earth occurs approximately 13 times per year	nongold
43	the Earth revolves around the sun	nongold
44	the moon's orbit is elliptical	nongold
45	a moon is a kind of satellite	nongold
46	a full moon is a kind of phase of the moon	nongold
47	the new moon is when the dark half of the moon faces the Earth	nongold
48	an animal is a kind of living thing	nongold
49	spring tides occur during a full moon	nongold
50	the moon does not contain air; water	nongold
51	change is a kind of impact	nongold
52	moons; comets; planets are part of the solar system	nongold
53	a phase of the moon is a kind of state	nongold
54	the moon reflects sunlight towards the Earth	nongold
55	to impact means to affect	nongold
56	a new moon is a kind of phase of the moon	nongold
57	Earth is made of rock	nongold
58	to change means to cause a change	nongold
59	the moon rising occurs once per day	nongold
60	spring tides occur during a new moon	nongold
61	a full moon occurs after a waxing gibbous moon	nongold
62	the moon orbiting the Earth occurs once per month	nongold
63	an event is a kind of action	nongold
64	oceans are located on Earth	nongold
65	if something is made by something else then that something is affected by that something else	nongold
66	the effects of something is a property of that something	nongold
67	the Sun is a kind of star	nongold
68	a human is a kind of animal	nongold
69	the solar system contains the moon	nongold
70	harming something has a  negative impact on; effect on that something	nongold
71	a source of something emits; produces; generates; provides that something	nongold
72	the  moon's surface contains flat areas	nongold
73	a revolution of the moon around the Earth takes 1; one month	nongold
74	the sun is the strongest source of gravity in the solar system	nongold
75	a source of something increases the amount of that something	nongold
76	pulling is a kind of motion	nongold
77	increase means more	nongold
78	each of the moon's phases occurs once per month	nongold
79	an ocean contains waves	nongold
80	as the mass of an object increases , the force of gravity on that object will increase	nongold
81	creating is similar to causing	nongold
82	a decrease is a kind of change	nongold
83	a change is a kind of event	nongold
84	to cause means to make	nongold
85	causing is a kind of affecting	nongold
86	the Moon completes a lunar cycle over a period of 29 days	nongold
87	a waning gibbous is a kind of phase of the moon	nongold
88	the surface of the Earth is made of 70% ocean	nongold
89	extreme means very high in value	nongold
90	a moon phase is a kind of natural event	nongold
91	a process is a kind of event	nongold
92	affected means changed	nongold
93	gravitational fore is a kind of non-contact force	nongold
94	a body of water is a kind of environment	nongold
95	water is a kind of matter	nongold
96	if something emits something else then that something increases the amount of that something else	nongold
97	spring tide is similar to high tide	nongold
98	high tide is a stage in the tide cycle process	nongold
99	to create means to make	nongold
