Question	The depth of Lake Superior can be measured by sending sound waves to the bottom and measuring the period of time it takes for the reflected sound waves to return to the surface. Which of the following would indicate a shallow depth?	question
Answer	The return signal appears almost instantaneously.	answer
0	instantaneously means short in time	gold
1	shallow means low  in  depth	gold
2	the bottom of a body of water is the deepest	nongold
3	deeper means greater in depth	nongold
4	sound wave can be used to measure distance by measuring the time delay of the reflected wave	gold
5	to bounce back means to reflect	nongold
6	sound wave is a kind of wave	nongold
7	a lake is a kind of body of water	nongold
8	the bottom is the lowest part of something	nongold
9	sound wave is similar to sound	nongold
10	as the distance decreases ,  the period  of time a reflected wave uses to return will decrease	gold
11	depth is a kind of distance vertically	gold
12	reflection is when particles bounce off a surface	nongold
13	period is similar to amount of time	nongold
14	length of time means period of time	nongold
15	deepest means greatest in depth	nongold
16	acoustic signal is a kind of sound wave	gold
17	how long something takes is a kind of measurement of time	nongold
18	sound waves means sound energy	nongold
19	sound wave is a kind of mechanical wave	nongold
20	water is a kind of object	nongold
21	a body of water is a kind of environment	nongold
22	water is a kind of liquid at room temperature	nongold
23	reflection is when light is reflected from one object; one place to  another object; another place	nongold
24	a surface is a kind of object	nongold
25	reflecting light; sound is the opposite of absorbing light; sound	nongold
26	a wave is a kind of object	nongold
27	occur is similar to appear	nongold
28	waves are made of moving water	nongold
29	water is a kind of substance	nongold
30	to reflect light means to scatter light	nongold
31	echo is when sound reflects off of a surface	nongold
32	high-frequency sound waves have low; short wavelengths	nongold
33	a measure of time is a length of time	nongold
34	to lower means to decrease	nongold
35	a body of water contains water	nongold
36	indented means a little deep in depth	nongold
37	can be means able to be	nongold
38	a surface is a part of an object	nongold
39	returning is a kind of movement	nongold
40	the ability to reflect is a property of sound wave	nongold
41	reflection is when a wave bounces off a surface and travels in the  opposite direction relative to the angle of incidence	nongold
42	a pond is smaller; shallower than a lake	nongold
43	a body of water is a source of water	nongold
44	frequency is a property of a wave; a particel of light; an event	nongold
45	an ocean is a kind of body of water	nongold
46	appear is similar to apparent	nongold
47	appearing is similar to seeming	nongold
48	an ocean contains waves	nongold
49	ocean wave is a kind of wave	nongold
50	a unit for measuring time is a kind of time interval	nongold
51	a source of something emits; produces; generates; provides that something	nongold
52	underwater means below water	nongold
53	if something returns to a place then that something increases in that place	nongold
54	sound waves spread in all directions away from their source	nongold
55	transmitance is when a wave goes through; transmits through a surface and travels in the  same direction relative to the angle of incidence	nongold
56	seconds are used to measure time	nongold
57	if an object is close then that object will appear large	nongold
58	water is a kind of matter	nongold
59	measuring is used for describing an object	nongold
60	a landform is a kind of object	nongold
61	an aquatic animal is a kind of animal	nongold
62	depth is a property of the shape of an object	nongold
63	bouncing something back means reflecting that something	nongold
64	high is similar to increase	nongold
65	light is a kind of wave	nongold
66	bodies of water are located on Earth's surface	nongold
67	below means lower down	nongold
68	affected means changed	nongold
69	determining often requires measuring; observing	nongold
70	downward means down	nongold
71	sound means sound energy	nongold
72	some deep lakes; bowl-shaped lakes are formed by glaciers	nongold
73	to send means to transfer	nongold
74	radio signal is a kind of radio wave	nongold
75	landform means surface feature; physical feature; land feature	nongold
76	emit means send out	nongold
77	wavelength is a property of wave	nongold
78	water is a part of an environment	nongold
79	variable means able to change	nongold
80	an increase is a kind of change	nongold
81	waves travel outward from the source	nongold
82	to return means to get back	nongold
83	a particle is a kind of object	nongold
84	how something  appears is how that something  looks	nongold
85	extreme means very high in value	nongold
86	a rock is a kind of object	nongold
87	water level is similar to ocean level	nongold
88	absorbance is when a wave absorbs at; stops at a surface	nongold
89	to reduce means to decrease	nongold
90	low is similar to decrease	nongold
91	a measurement is a kind of data	nongold
92	an event is a kind of action	nongold
93	measuring requires reading a measurement	nongold
94	sediment falls to the bottom of bodies of water	nongold
95	sound is a kind of sound energy	nongold
96	low means down	nongold
97	a motion is a kind of event; action	nongold
98	a body of water is a kind of land feature	nongold
99	a wave is formed by the vibration of the source spreading around from the source	nongold
