Question	All rocks are composed of	question
Answer	minerals	answer
0	rock is made of minerals	gold
1	all minerals are formed by natural geological processes	nongold
2	composition means the (materials, substances) of which something is composed	nongold
3	a mineral is a kind of object	nongold
4	a mineral is a kind of solid; natural material	nongold
5	composed of means made of	gold
6	to be made of something means to be formed of that something	nongold
7	to be made of means to consist of	nongold
8	substances are made of elements	nongold
9	some minerals are nutrients	nongold
10	a mineral usually has a crystal structure	nongold
11	metamorphic is a kind of rock	nongold
12	metamorphic rock is a kind of rock	nongold
13	a rock is a kind of object	nongold
14	igneous rocks; minerals are formed by magma; lava cooling; crystallizing	nongold
15	composition is a property of an object; matter	nongold
16	rock is a kind of material	nongold
17	if something is made of something else then that something can be broken down into that something else	nongold
18	made up of means contains; made of	nongold
19	all elements are a kind of pure substance	nongold
20	a rock is usually a solid	nongold
21	all living and nonliving materials are made of elements	nongold
22	made of is similar to contains	nongold
23	if something is made of something; a material then that something contains that something; that material	nongold
24	class is a measure of how a rock is formed	nongold
25	metamorphosed rock is a kind of rock	nongold
26	class is a property of a rock and includes values of sedimentary; metamorphic; igneous	nongold
27	objects are made of materials; substances; matter	nongold
28	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
29	can be means able to be	nongold
30	to be formed by is similar to being produced by	nongold
31	matter; materials; substances are made of atoms; particles	nongold
32	answering questions requires information	nongold
33	sand is made of very small rocks; minerals	nongold
34	igneous is a kind of rock	nongold
35	a type is synonymous with a kind	nongold
36	rock means stone	nongold
37	including means containing	nongold
38	composition is a kind of information	nongold
39	different classes of rocks are formed by different methods	nongold
40	to be found in means to be contained in	nongold
41	to belong to a class means to be a kind of something	nongold
42	talc is a kind of mineral	nongold
43	soil is made of very small rocks; minerals	nongold
44	minerals are a nonrenewable resource	nongold
45	rock is hard	nongold
46	sedimentary is a kind of rock	nongold
47	to contain means to have inside	nongold
48	Earth is made of rock	nongold
49	classifying means grouping objects; materials by their properties	nongold
50	granite is a kind of nonmetal	nongold
51	form means kind	nongold
52	an object is made of its parts	nongold
53	to give is similar to to cause	nongold
54	materials are made of matter	nongold
55	if an object is made of something then the parts of that object are made of that something	nongold
56	gypsum is a kind of mineral	nongold
57	if something is made of something else , then that something else will be the component of that something	nongold
58	a component means a part of	nongold
59	provide is similar to give; make	nongold
60	zinc is a kind of mineral	nongold
61	material means substance	nongold
62	to be made of is similar to collection	nongold
63	no longer means used to be	nongold
64	granite is a kind of igneous rock	nongold
65	quartz is a kind of mineral	nongold
66	substances are made of matter	nongold
67	greatest means largest; highest; most amount of something	nongold
68	sulfur is a kind of mineral	nongold
69	a source of something emits; produces; generates; provides that something	nongold
70	an element is a kind of  substance	nongold
71	limestone is formed by water evaporating from a solution of water and minerals	nongold
72	if something is made of something else then the formation of that something requires that something else	nongold
73	affected means changed	nongold
74	products are formed; are produced; are created	nongold
75	a component of something means a part of that something	nongold
76	sedimentary rocks are made of small particles	nongold
77	if something is a part of something else then that something else contains that something	nongold
78	to decompose means to separate	nongold
79	the chemical composition of moon rocks is similar to the chemical composition of Earth rocks	nongold
80	mica is a kind of mineral	nongold
81	a whole is formed by its parts	nongold
82	metalloid is a kind of element	nongold
83	unit is similar to part	nongold
84	to form means to create	nongold
85	to create means to make	nongold
86	sediment is a kind of matter	nongold
87	if something is a part of something then that something can be found in that something	nongold
88	a kind of something is an example of that something	nongold
89	decomposing is similar to separating	nongold
90	to disperse means to separate	nongold
91	to produce means to create	nongold
92	sometimes rocks are formed by quartz; feldspar mixed together	nongold
93	typically means usually	nongold
94	usually means most of the time	nongold
95	if two objects are composed of similar materials then those objects may have come from the same source	nongold
96	if something is a source of something else then that something usually contains that something else	nongold
97	make means produce	nongold
98	to be formed by is to be the result of	nongold
99	gold is a kind of element	nongold
