Question	Two identical lamps contain the same amount of different types of oil. They are allowed to burn until all the oil has been burned. Which measurement will best provide the total difference in chemical energy between the two oils?	question
Answer	time it took for lamps to use oil	answer
0	the length of time of a substance burning can be used to measure the amount of the chemical energy in the substance	gold
1	combustion means fire converts chemical energy into light energy and heat energy	nongold
2	oil can be used to light up the lamp by burning	gold
3	to be used for is similar to allowing	nongold
4	to be used for something means to be required by that something	nongold
5	oil is a kind of substance; matter	gold
6	different substances usually have different amount of chemical energy	gold
7	chemical energy is a kind of energy	nongold
8	how long something takes is a kind of measurement of time	nongold
9	fire causes burning	nongold
10	objects contain chemical energy	nongold
11	to provide something means to be the source of that something	nongold
12	a type is synonymous with a kind	nongold
13	to combust means to catch fire	nongold
14	chemicals means substances	nongold
15	oil is a kind of liquid	nongold
16	oil is a kind of liquid	nongold
17	a change is a kind of difference	nongold
18	same means identical; equal in value; amount; number; quantity	nongold
19	if something contains something , then something is able to provide something	nongold
20	oil is a source of energy	nongold
21	combustion is a kind of chemical change	nongold
22	heat is a kind of energy	nongold
23	not allowed to means can not	nongold
24	identical is the opposite of different	nongold
25	a source of something emits; produces; generates; provides that something	nongold
26	to use means to utilize	nongold
27	temperature is a measure of heat energy	nongold
28	a type of something is a kind of property of that something	nongold
29	a flame are a part of a fire	nongold
30	length of time means period of time	nongold
31	fire gives off light; heat; smoke	nongold
32	a measure of time is a length of time	nongold
33	heat means heat energy	nongold
34	burning is a kind of action	nongold
35	both means two	nongold
36	when one kind of energy changes into another kind of energy , the total amount of energy is constant	nongold
37	different is the opposite of the same	nongold
38	a vehicle for something allows; enables that something to occur	nongold
39	all elements are a kind of pure substance	nongold
40	consumption means use	nongold
41	period is similar to amount of time	nongold
42	to enable means to allow	nongold
43	the  property of something is the same for the things of same kind	nongold
44	cooking oil is a kind of oil	nongold
45	containing something is similar to providing that something	nongold
46	larger is a kind of difference	nongold
47	substances have chemical properties	nongold
48	best means most positive	nongold
49	fuel contains chemical energy	nongold
50	being used for is similar to providing	nongold
51	seconds are a kind of unit for measuring time	nongold
52	seconds are used to measure time	nongold
53	to power means to provide energy for	nongold
54	if something is made of something; a material then that something contains that something; that material	nongold
55	combustibility means the ability of combustion	nongold
56	putting out a fire stops the burning of that fire	nongold
57	a fire requires  oxygen to burn	nongold
58	oil is a kind of pollutant	nongold
59	calculation means measurement	nongold
60	all the other means the rest of	nongold
61	electrical energy is a kind of energy	nongold
62	as the oxygen a fire is exposed to increases the longer that fire will burn	nongold
63	fossil fuel contains chemical energy	nongold
64	causing is similar to allowing	nongold
65	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
66	oil is a source of gasoline	nongold
67	fire is a kind of chemical reaction	nongold
68	instantaneously means short in time	nongold
69	if something is required for something else then that something allows that something else	nongold
70	quantity means amount	nongold
71	measuring requires reading a measurement	nongold
72	all the time means at day and at night	nongold
73	different types of matter have different chemical properties	nongold
74	if something changes , then that something is not the same	nongold
75	combining; mixing two substances chemically causes chemical reactions	nongold
76	if something is a part of something else then that something else contains that something	nongold
77	seconds ( s; sec ) are a  metric unit used for measuring time generally used for values between 1.0 and 300.0	nongold
78	an event is a kind of action	nongold
79	opposite is a kind of different	nongold
80	chemical reactions cause chemical change	nongold
81	to contain something means to have that something	nongold
82	if something is a source of something else then that something usually contains that something else	nongold
83	if something is required then that something must be provided	nongold
84	to distinguish means to tell the difference between	nongold
85	to depend on; to rely on; to need means to require	nongold
86	a chemical property is the opposite of a physical property	nongold
87	a  chemical property is a kind of  property	nongold
88	combustibility is a kind of  chemical property	nongold
89	fire transfers heat through waves	nongold
90	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
91	solar energy is a kind of energy	nongold
92	an object; material; substance comes from that object or material's source	nongold
93	solar energy is a kind of heat energy	nongold
94	made up of means contains; made of	nongold
95	stay the same means not changing	nongold
96	heating means adding heat	nongold
97	food is a kind of chemical energy	nongold
98	Tuesday is a kind of  time	nongold
99	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
